"SECTION","SCHOOL","COURSE_CODE.","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE.................","...............................................................................................................................................................................................................................................................................","MODE","Link....PUBLISH.","START_TIME","END_TIME","DAYS..","TOTAL_ENR","MODALITY....ASSIGNED_ROOM","TOTAL_ENR.1","DEPT.OWNER.NAME....................................................................................","CAMPUS","SEATS","Beg.Date..","End.Date..","DEPARTMENT........................................","........................."
"21910","ANSC","ASCJ-200",1,4,4,"Navigating Media and News in","the Digital Age","C","A       Y","14:00","15:20","TH",71,"ANN L105A",71,"Annenberg School for Communication and Journalism","UPC",74,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21919","ANSC","ASCJ-200",1,0,0,"Navigating Media and News in","the Digital Age","L","A       Y","10:30","11:50","H",17,"ANN405",17,"Annenberg School for Communication and Journalism","UPC",18,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21915","ANSC","ASCJ-200",1,0,0,"Navigating Media and News in","the Digital Age","L","A       Y","9:00","10:20","T",18,"ANN211",18,"Annenberg School for Communication and Journalism","UPC",19,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21917","ANSC","ASCJ-200",1,0,0,"Navigating Media and News in","the Digital Age","L","A       Y","9:00","10:20","H",18,"ANN211",18,"Annenberg School for Communication and Journalism","UPC",19,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21913","ANSC","ASCJ-200",1,0,0,"Navigating Media and News in","the Digital Age","L","A       Y","12:30","13:50","T",18,"ANN408",18,"Annenberg School for Communication and Journalism","UPC",19,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21912","ANSC","ASCJ-200",1,0,0,"Navigating Media and News in","the Digital Age","L","A       Y","16:00","17:20","T",18,"ANN413",18,"Annenberg School for Communication and Journalism","UPC",19,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21916","ANSC","ASCJ-200",1,0,0,"Navigating Media and News in","the Digital Age","L","A       Y","16:00","17:20","H",18,"ANN408",18,"Annenberg School for Communication and Journalism","UPC",19,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21918","ANSC","ASCJ-200",1,0,0,"Navigating Media and News in","the Digital Age","L","A       Y","12:30","13:50","H",20,"ANN308",20,"Annenberg School for Communication and Journalism","UPC",20,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21914","ANSC","ASCJ-200",1,0,0,"Navigating Media and News in","the Digital Age","L","A       Y","16:00","17:20","T",18,"ANN308",18,"Annenberg School for Communication and Journalism","UPC",18,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21920","ANSC","ASCJ-210",1,4,4,"Contours of Change in Media a","nd Communication","C","B       Y","11:00","12:20","TH",51,"ANN L101",51,"Annenberg School for Communication and Journalism","UPC",51,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21921","ANSC","ASCJ-210",1,0,0,"Contours of Change in Media a","nd Communication","D","B       Y","10:00","10:50","W",25,"ANN L115",25,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21922","ANSC","ASCJ-210",1,0,0,"Contours of Change in Media a","nd Communication","D","B       Y","11:00","11:50","W",26,"ANN L115",26,"Annenberg School for Communication and Journalism","UPC",26,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21950","ANSC","ASCJ-420",1,4,4,"Annenberg Collaboratory","","C","Y","17:00","19:50","M",13,"ANN209",13,"Annenberg School for Communication and Journalism","UPC",15,"1/13/2020","5/1/2020","Communication and Journalism",NA
"21701","ANSC","CMGT-500",169,4,4,"Managing Communication","","C","Y","TBA","TBA","",31,"A           ONLINE",31,"Annenberg School for Communication and Journalism","OFC",90,"1/8/2020","4/21/2020","Communication Management",NA
"21704","ANSC","CMGT-501",1,4,4,"Communication Management Pro-","Seminar","C","Y","15:30","18:20","H",39,"ANN L101",39,"Annenberg School for Communication and Journalism","UPC",45,"1/13/2020","5/1/2020","Communication Management",NA
"21702","ANSC","CMGT-501",1,4,4,"Communication Management Pro-","Seminar","C","Y","14:00","16:50","T",42,"ASC204",42,"Annenberg School for Communication and Journalism","UPC",45,"1/13/2020","5/1/2020","Communication Management",NA
"21703","ANSC","CMGT-501",1,4,4,"Communication Management Pro-","Seminar","C","Y","18:30","21:20","T",42,"ASC204",42,"Annenberg School for Communication and Journalism","UPC",45,"1/13/2020","5/1/2020","Communication Management",NA
"21706","ANSC","CMGT-503",1,4,4,"Strategic Communication Consu","lting","C","Y","18:30","21:20","W",15,"ASC204",15,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21708","ANSC","CMGT-505",1,4,4,"Communication in Work Setting","s","C","Y","18:00","20:50","W",17,"ASC328",17,"Annenberg School for Communication and Journalism","UPC",20,"1/13/2020","5/1/2020","Communication Management",NA
"21712","ANSC","CMGT-508",1,4,4,"Communicating Strategy and Ch","ange","C","Y","18:30","21:20","H",20,"ANN209",20,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21713","ANSC","CMGT-508",169,4,4,"Communicating Strategy and Ch","ange","C","Y","TBA","TBA","",59,"A           ONLINE",59,"Annenberg School for Communication and Journalism","OFC",80,"1/8/2020","4/21/2020","Communication Management",NA
"21717","ANSC","CMGT-510",169,4,4,"Communication, Values, Attitu","des and Behavior","C","Y","TBA","TBA","",36,"A           ONLINE",36,"Annenberg School for Communication and Journalism","OFC",80,"1/8/2020","4/21/2020","Communication Management",NA
"21715","ANSC","CMGT-510",1,4,4,"Communication, Values, Attitu","des and Behavior","C","Y","14:00","16:50","M",7,"ASC240",7,"Annenberg School for Communication and Journalism","UPC",24,"1/13/2020","5/1/2020","Communication Management",NA
"21720","ANSC","CMGT-514",1,4,4,"Analytical Tools for Communic","ation Decisions","C","Y","14:00","16:50","M",20,"ASC328",20,"Annenberg School for Communication and Journalism","UPC",20,"1/13/2020","5/1/2020","Communication Management",NA
"21721","ANSC","CMGT-515",1,4,4,"Innovation and the Informatio","n Economy","C","Y","14:00","16:50","M",21,"ANN L115",21,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21722","ANSC","CMGT-520",1,4,4,"Social Roles of Communication","Media","C","Y","18:30","21:20","T",10,"ASC G34",10,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21723","ANSC","CMGT-528",1,4,4,"Web Strategies for Organizati","ons","C","Y","18:30","21:20","W",30,"ANN L116",30,"Annenberg School for Communication and Journalism","UPC",30,"1/13/2020","5/1/2020","Communication Management",NA
"21724","ANSC","CMGT-529",1,4,4,"Social Media Entertainment: C","reator Industry, Management and","C","Y","18:30","21:20","H",19,"ASC228",19,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21725","ANSC","CMGT-531",1,4,4,"Communication and the Interna","tional Economy","C","Y","15:30","18:20","T",10,"ASC228",10,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21732","ANSC","CMGT-537",1,4,4,"The Industry, Science and Cul","ture of Video Games","C","Y","17:00","19:50","M",24,"ANN309",24,"Annenberg School for Communication and Journalism","UPC",26,"1/13/2020","5/1/2020","Communication Management",NA
"21735","ANSC","CMGT-540",169,4,4,"Uses of Communication Researc","h","C","Y","TBA","TBA","",26,"A           ONLINE",26,"Annenberg School for Communication and Journalism","OFC",90,"1/8/2020","4/21/2020","Communication Management",NA
"21737","ANSC","CMGT-541",169,4,4,"Integrated Communication Stra","tegies","C","Y","TBA","TBA","",52,"A           ONLINE",52,"Annenberg School for Communication and Journalism","OFC",80,"1/8/2020","4/21/2020","Communication Management",NA
"21758","ANSC","CMGT-544",1,4,4,"Creating Organizational Ident","ity: Meaning Through Messages","C","Y","18:30","21:20","T",22,"ASC328",22,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21761","ANSC","CMGT-546",1,4,4,"Sports Media and Society","","C","Y","18:30","21:20","T",10,"ANN209",10,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21766","ANSC","CMGT-551",1,4,4,"Communicating Entertainment M","edia Identities","C","Y","18:30","21:20","W",21,"ASC231",21,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21769","ANSC","CMGT-553",1,4,4,"Marketing Communication Theor","y and Application","C","Y","17:30","20:20","M",22,"ASC331",22,"Annenberg School for Communication and Journalism","UPC",22,"1/13/2020","5/1/2020","Communication Management",NA
"21771","ANSC","CMGT-555",1,4,4,"Online Marketing Communicatio","n Development and Analysis","C","Y","18:30","21:20","H",18,"ASC204",18,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21773","ANSC","CMGT-556",1,4,4,"Global Marketing Communicatio","n","C","Y","14:00","16:50","H",22,"ANN L116",22,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21782","ANSC","CMGT-564",1,4,4,"Methodological Fundamentals o","f Big Data in Communication","C","Y","15:30","18:20","W",19,"ANN L115",19,"Annenberg School for Communication and Journalism","UPC",21,"1/13/2020","5/1/2020","Communication Management",NA
"21792","ANSC","CMGT-574",1,4,4,"Tele-Media: Strategic and Cri","tical Analysis","C","Y","18:30","21:20","M",21,"ASC228",21,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21796","ANSC","CMGT-578",1,4,4,"Non-profit Advocacy","","C","Y","18:30","21:20","M",19,"ANN L101",19,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21804","ANSC","CMGT-586",1,4,4,"Entertainment Media: Content,","Theory, and Industry Practices","C","Y","18:30","21:20","W",17,"ASC331",17,"Annenberg School for Communication and Journalism","UPC",21,"1/13/2020","5/1/2020","Communication Management",NA
"21805","ANSC","CMGT-587",1,4,4,"Audience Analysis","","C","Y","18:30","21:20","M",25,"ASC328",25,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21809","ANSC","CMGT-590",1,2,2,"Directed Research","","C","Y","18:30","20:10","T",20,"ANN210",20,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21814","ANSC","CMGT-590",1,1,12,"Directed Research","","C","Y","TBA","TBA","",2,"OFFICE",2,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21810","ANSC","CMGT-590",1,1,12,"Directed Research","","C","Y","TBA","TBA","",1,"OFFICE",1,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
"21812","ANSC","CMGT-590",1,1,12,"Directed Research","","C","Y","TBA","TBA","",0,"OFFICE",0,"Annenberg School for Communication and Journalism","UPC",25,"1/13/2020","5/1/2020","Communication Management",NA
