"X","goal","keyword","pattern","weight","color"
81,1,"eradicate poverty","\b(\d*)eradicate poverty(\d*)\b",0.36,"#E5243B"
82,1,"poverty eradication","\b(\d*)poverty eradication(\d*)\b",0.36,"#E5243B"
83,1,"disparities","\b(\d*)disparities(\d*)\b",0.36,"#E5243B"
84,1,"infant mortality rate","\b(\d*)infant mortality rate(\d*)\b",0.36,"#E5243B"
85,1,"injustice","\b(\d*)injustice(\d*)\b",0.36,"#E5243B"
86,1,"hiv prevalence","\b(\d*)hiv prevalence(\d*)\b",0.36,"#E5243B"
87,1,"destitution","\b(\d*)destitution(\d*)\b",0.36,"#E5243B"
88,1,"insecurity","\b(\d*)insecurity(\d*)\b",0.36,"#E5243B"
89,1,"gender equality","\b(\d*)gender equality(\d*)\b",0.36,"#E5243B"
90,1,"poverty stricken","\b(\d*)poverty stricken(\d*)\b",0.36,"#E5243B"
91,1,"education","\b(\d*)education(\d*)\b",0.36,"#E5243B"
92,1,"tribalism","\b(\d*)tribalism(\d*)\b",0.36,"#E5243B"
93,1,"pers","\b(\d*)pers(\d*)\b",0.36,"#E5243B"
94,1,"salary","\b(\d*)salary(\d*)\b",0.36,"#E5243B"
95,1,"actuarial","\b(\d*)actuarial(\d*)\b",0.36,"#E5243B"
96,1,"actuaries","\b(\d*)actuaries(\d*)\b",0.36,"#E5243B"
97,1,"mutual fund","\b(\d*)mutual fund(\d*)\b",0.36,"#E5243B"
98,1,"jobless rate","\b(\d*)jobless rate(\d*)\b",0.36,"#E5243B"
99,1,"welfare recipients","\b(\d*)welfare recipients(\d*)\b",0.36,"#E5243B"
100,1,"economy","\b(\d*)economy(\d*)\b",0.36,"#E5243B"
101,1,"life expectancy","\b(\d*)life expectancy(\d*)\b",0.36,"#E5243B"
102,1,"flooding","\b(\d*)flooding(\d*)\b",0.36,"#E5243B"
103,1,"families","\b(\d*)families(\d*)\b",0.36,"#E5243B"
104,1,"taxes","\b(\d*)taxes(\d*)\b",0.36,"#E5243B"
105,1,"floods","\b(\d*)floods(\d*)\b",0.36,"#E5243B"
106,1,"underwriting","\b(\d*)underwriting(\d*)\b",0.36,"#E5243B"
107,1,"cigna","\b(\d*)cigna(\d*)\b",0.36,"#E5243B"
108,1,"income","\b(\d*)income(\d*)\b",0.34,"#E5243B"
109,1,"policy","\b(\d*)policy(\d*)\b",0.33,"#E5243B"
110,1,"empowerment","\b(\d*)empowerment(\d*)\b",0.32,"#E5243B"
111,1,"beneficiaries","\b(\d*)beneficiaries(\d*)\b",0.31,"#E5243B"
112,1,"globalization","\b(\d*)globalization(\d*)\b",0.31,"#E5243B"
113,1,"drought","\b(\d*)drought(\d*)\b",0.31,"#E5243B"
114,1,"aids","\b(\d*)aids(\d*)\b",0.31,"#E5243B"
115,1,"malnutrition","\b(\d*)malnutrition(\d*)\b",0.31,"#E5243B"
116,1,"dropout rate","\b(\d*)dropout rate(\d*)\b",0.31,"#E5243B"
117,1,"domestic violence","\b(\d*)domestic violence(\d*)\b",0.31,"#E5243B"
118,1,"urbanization","\b(\d*)urbanization(\d*)\b",0.31,"#E5243B"
119,1,"social cohesion","\b(\d*)social cohesion(\d*)\b",0.31,"#E5243B"
120,1,"superannuation","\b(\d*)superannuation(\d*)\b",0.31,"#E5243B"
121,1,"employee benefits","\b(\d*)employee benefits(\d*)\b",0.31,"#E5243B"
122,1,"workers compensation","\b(\d*)workers compensation(\d*)\b",0.31,"#E5243B"
123,1,"annuities","\b(\d*)annuities(\d*)\b",0.31,"#E5243B"
124,1,"erisa","\b(\d*)erisa(\d*)\b",0.31,"#E5243B"
125,1,"mutual funds","\b(\d*)mutual funds(\d*)\b",0.31,"#E5243B"
126,1,"axa","\b(\d*)axa(\d*)\b",0.31,"#E5243B"
127,1,"mortgage","\b(\d*)mortgage(\d*)\b",0.31,"#E5243B"
128,1,"needy","\b(\d*)needy(\d*)\b",0.31,"#E5243B"
129,1,"disabled","\b(\d*)disabled(\d*)\b",0.31,"#E5243B"
130,1,"rates","\b(\d*)rates(\d*)\b",0.31,"#E5243B"
131,1,"baby boomers","\b(\d*)baby boomers(\d*)\b",0.31,"#E5243B"
132,1,"oppression","\b(\d*)oppression(\d*)\b",0.31,"#E5243B"
133,1,"carers","\b(\d*)carers(\d*)\b",0.31,"#E5243B"
134,1,"healthcare","\b(\d*)healthcare(\d*)\b",0.31,"#E5243B"
135,1,"destitute","\b(\d*)destitute(\d*)\b",0.31,"#E5243B"
136,1,"catastrophe","\b(\d*)catastrophe(\d*)\b",0.31,"#E5243B"
137,1,"tornado","\b(\d*)tornado(\d*)\b",0.31,"#E5243B"
138,1,"insurance premiums","\b(\d*)insurance premiums(\d*)\b",0.31,"#E5243B"
139,1,"disadvantaged","\b(\d*)disadvantaged(\d*)\b",0.29,"#E5243B"
140,1,"urban","\b(\d*)urban(\d*)\b",0.28,"#E5243B"
141,1,"exclusion","\b(\d*)exclusion(\d*)\b",0.28,"#E5243B"
142,1,"social protection","\b(\d*)social protection(\d*)\b",0.28,"#E5243B"
143,1,"health insurance","\b(\d*)health insurance(\d*)\b",0.28,"#E5243B"
144,1,"vulnerable","\b(\d*)vulnerable(\d*)\b",0.27,"#E5243B"
145,1,"policies","\b(\d*)policies(\d*)\b",0.27,"#E5243B"
146,1,"poverty alleviation","\b(\d*)poverty alleviation(\d*)\b",0.27,"#E5243B"
147,1,"dropout rates","\b(\d*)dropout rates(\d*)\b",0.27,"#E5243B"
148,1,"inequities","\b(\d*)inequities(\d*)\b",0.27,"#E5243B"
149,1,"employability","\b(\d*)employability(\d*)\b",0.27,"#E5243B"
150,1,"pension fund","\b(\d*)pension fund(\d*)\b",0.27,"#E5243B"
151,1,"pension schemes","\b(\d*)pension schemes(\d*)\b",0.27,"#E5243B"
152,1,"retirement system","\b(\d*)retirement system(\d*)\b",0.27,"#E5243B"
153,1,"compensation","\b(\d*)compensation(\d*)\b",0.27,"#E5243B"
154,1,"life insurance","\b(\d*)life insurance(\d*)\b",0.27,"#E5243B"
155,1,"actuary","\b(\d*)actuary(\d*)\b",0.27,"#E5243B"
156,1,"long term care","\b(\d*)long term care(\d*)\b",0.27,"#E5243B"
157,1,"policyholders","\b(\d*)policyholders(\d*)\b",0.27,"#E5243B"
158,1,"policyholder","\b(\d*)policyholder(\d*)\b",0.27,"#E5243B"
159,1,"hsa","\b(\d*)hsa(\d*)\b",0.27,"#E5243B"
160,1,"liability","\b(\d*)liability(\d*)\b",0.27,"#E5243B"
161,1,"job","\b(\d*)job(\d*)\b",0.27,"#E5243B"
162,1,"job seekers","\b(\d*)job seekers(\d*)\b",0.27,"#E5243B"
163,1,"productivity","\b(\d*)productivity(\d*)\b",0.27,"#E5243B"
164,1,"childcare","\b(\d*)childcare(\d*)\b",0.27,"#E5243B"
165,1,"hourly wages","\b(\d*)hourly wages(\d*)\b",0.27,"#E5243B"
166,1,"underemployed","\b(\d*)underemployed(\d*)\b",0.27,"#E5243B"
167,1,"impoverished","\b(\d*)impoverished(\d*)\b",0.27,"#E5243B"
168,1,"orphans","\b(\d*)orphans(\d*)\b",0.27,"#E5243B"
169,1,"oppressed","\b(\d*)oppressed(\d*)\b",0.27,"#E5243B"
170,1,"shelter","\b(\d*)shelter(\d*)\b",0.27,"#E5243B"
171,1,"workers","\b(\d*)workers(\d*)\b",0.27,"#E5243B"
172,1,"unequal","\b(\d*)unequal(\d*)\b",0.27,"#E5243B"
173,1,"earthquake","\b(\d*)earthquake(\d*)\b",0.27,"#E5243B"
174,1,"quake","\b(\d*)quake(\d*)\b",0.27,"#E5243B"
175,1,"tsunami","\b(\d*)tsunami(\d*)\b",0.27,"#E5243B"
176,1,"landslide","\b(\d*)landslide(\d*)\b",0.27,"#E5243B"
177,1,"hurricane","\b(\d*)hurricane(\d*)\b",0.27,"#E5243B"
178,1,"hsas","\b(\d*)hsas(\d*)\b",0.27,"#E5243B"
179,1,"medicare","\b(\d*)medicare(\d*)\b",0.27,"#E5243B"
180,1,"food pantry","\b(\d*)food pantry(\d*)\b",0.27,"#E5243B"
181,1,"child support","\b(\d*)child support(\d*)\b",0.26,"#E5243B"
182,1,"reimbursement","\b(\d*)reimbursement(\d*)\b",0.26,"#E5243B"
183,1,"security","\b(\d*)security(\d*)\b",0.23,"#E5243B"
184,1,"bullying","\b(\d*)bullying(\d*)\b",0.22,"#E5243B"
185,1,"obesity","\b(\d*)obesity(\d*)\b",0.22,"#E5243B"
186,1,"literacy","\b(\d*)literacy(\d*)\b",0.22,"#E5243B"
187,1,"inequity","\b(\d*)inequity(\d*)\b",0.22,"#E5243B"
188,1,"racial","\b(\d*)racial(\d*)\b",0.22,"#E5243B"
189,1,"teenage pregnancy","\b(\d*)teenage pregnancy(\d*)\b",0.22,"#E5243B"
190,1,"neglect","\b(\d*)neglect(\d*)\b",0.22,"#E5243B"
191,1,"prostitution","\b(\d*)prostitution(\d*)\b",0.22,"#E5243B"
192,1,"mortality","\b(\d*)mortality(\d*)\b",0.22,"#E5243B"
193,1,"violent crime","\b(\d*)violent crime(\d*)\b",0.22,"#E5243B"
194,1,"societal","\b(\d*)societal(\d*)\b",0.22,"#E5243B"
195,1,"prosperity","\b(\d*)prosperity(\d*)\b",0.22,"#E5243B"
196,1,"demographic","\b(\d*)demographic(\d*)\b",0.22,"#E5243B"
197,1,"economically disadvantaged","\b(\d*)economically disadvantaged(\d*)\b",0.22,"#E5243B"
198,1,"landless","\b(\d*)landless(\d*)\b",0.22,"#E5243B"
199,1,"governance","\b(\d*)governance(\d*)\b",0.22,"#E5243B"
200,1,"ethnic minorities","\b(\d*)ethnic minorities(\d*)\b",0.22,"#E5243B"
201,1,"tax","\b(\d*)tax(\d*)\b",0.22,"#E5243B"
202,1,"kiwisaver","\b(\d*)kiwisaver(\d*)\b",0.22,"#E5243B"
203,1,"civil service","\b(\d*)civil service(\d*)\b",0.22,"#E5243B"
204,1,"k","\b(\d*)k(\d*)\b",0.22,"#E5243B"
205,1,"unfunded liability","\b(\d*)unfunded liability(\d*)\b",0.22,"#E5243B"
206,1,"asset allocation","\b(\d*)asset allocation(\d*)\b",0.22,"#E5243B"
207,1,"variable annuities","\b(\d*)variable annuities(\d*)\b",0.22,"#E5243B"
208,1,"iras","\b(\d*)iras(\d*)\b",0.22,"#E5243B"
209,1,"variable annuity","\b(\d*)variable annuity(\d*)\b",0.22,"#E5243B"
210,1,"employee","\b(\d*)employee(\d*)\b",0.22,"#E5243B"
211,1,"seasonally adjusted","\b(\d*)seasonally adjusted(\d*)\b",0.22,"#E5243B"
212,1,"minimum wage","\b(\d*)minimum wage(\d*)\b",0.22,"#E5243B"
213,1,"underprivileged","\b(\d*)underprivileged(\d*)\b",0.22,"#E5243B"
214,1,"basic necessities","\b(\d*)basic necessities(\d*)\b",0.22,"#E5243B"
215,1,"underclass","\b(\d*)underclass(\d*)\b",0.22,"#E5243B"
216,1,"rents","\b(\d*)rents(\d*)\b",0.22,"#E5243B"
217,1,"tuition","\b(\d*)tuition(\d*)\b",0.22,"#E5243B"
218,1,"prices","\b(\d*)prices(\d*)\b",0.22,"#E5243B"
219,1,"household incomes","\b(\d*)household incomes(\d*)\b",0.22,"#E5243B"
220,1,"economies","\b(\d*)economies(\d*)\b",0.22,"#E5243B"
221,1,"seniors","\b(\d*)seniors(\d*)\b",0.22,"#E5243B"
222,1,"renters","\b(\d*)renters(\d*)\b",0.22,"#E5243B"
223,1,"aarp","\b(\d*)aarp(\d*)\b",0.22,"#E5243B"
224,1,"senior citizens","\b(\d*)senior citizens(\d*)\b",0.22,"#E5243B"
225,1,"immigrants","\b(\d*)immigrants(\d*)\b",0.22,"#E5243B"
226,1,"savers","\b(\d*)savers(\d*)\b",0.22,"#E5243B"
227,1,"nurses","\b(\d*)nurses(\d*)\b",0.22,"#E5243B"
228,1,"racial discrimination","\b(\d*)racial discrimination(\d*)\b",0.22,"#E5243B"
229,1,"segregation","\b(\d*)segregation(\d*)\b",0.22,"#E5243B"
230,1,"inequitable","\b(\d*)inequitable(\d*)\b",0.22,"#E5243B"
231,1,"affluence","\b(\d*)affluence(\d*)\b",0.22,"#E5243B"
232,1,"repression","\b(\d*)repression(\d*)\b",0.22,"#E5243B"
233,1,"stagnation","\b(\d*)stagnation(\d*)\b",0.22,"#E5243B"
234,1,"hopelessness","\b(\d*)hopelessness(\d*)\b",0.22,"#E5243B"
235,1,"mental illness","\b(\d*)mental illness(\d*)\b",0.22,"#E5243B"
236,1,"autism","\b(\d*)autism(\d*)\b",0.22,"#E5243B"
237,1,"charitable","\b(\d*)charitable(\d*)\b",0.22,"#E5243B"
238,1,"relief","\b(\d*)relief(\d*)\b",0.22,"#E5243B"
239,1,"worker","\b(\d*)worker(\d*)\b",0.22,"#E5243B"
240,1,"typhoon","\b(\d*)typhoon(\d*)\b",0.22,"#E5243B"
241,1,"cyclone","\b(\d*)cyclone(\d*)\b",0.22,"#E5243B"
242,1,"bird flu","\b(\d*)bird flu(\d*)\b",0.22,"#E5243B"
243,1,"storm","\b(\d*)storm(\d*)\b",0.22,"#E5243B"
244,1,"insured","\b(\d*)insured(\d*)\b",0.22,"#E5243B"
245,1,"deductibles","\b(\d*)deductibles(\d*)\b",0.22,"#E5243B"
246,1,"medicare advantage","\b(\d*)medicare advantage(\d*)\b",0.22,"#E5243B"
247,1,"hmo","\b(\d*)hmo(\d*)\b",0.22,"#E5243B"
248,1,"casualty insurance","\b(\d*)casualty insurance(\d*)\b",0.22,"#E5243B"
249,1,"tricare","\b(\d*)tricare(\d*)\b",0.22,"#E5243B"
250,1,"indemnity","\b(\d*)indemnity(\d*)\b",0.22,"#E5243B"
251,1,"pensioner","\b(\d*)pensioner(\d*)\b",0.22,"#E5243B"
252,1,"medicaid","\b(\d*)medicaid(\d*)\b",0.22,"#E5243B"
253,2,"agricultural","\b(\d*)agricultural(\d*)\b",17.19,"#DDA63A"
254,2,"agriculture","\b(\d*)agriculture(\d*)\b",12.73,"#DDA63A"
255,2,"crop","\b(\d*)crop(\d*)\b",7.49,"#DDA63A"
256,2,"farming","\b(\d*)farming(\d*)\b",7.18,"#DDA63A"
257,2,"farmers","\b(\d*)farmers(\d*)\b",6.99,"#DDA63A"
258,2,"agri","\b(\d*)agri(\d*)\b",5.45,"#DDA63A"
259,2,"malnutrition","\b(\d*)malnutrition(\d*)\b",5.35,"#DDA63A"
260,2,"farm","\b(\d*)farm(\d*)\b",4.52,"#DDA63A"
261,2,"crops","\b(\d*)crops(\d*)\b",4.15,"#DDA63A"
262,2,"dairy","\b(\d*)dairy(\d*)\b",3.43,"#DDA63A"
263,2,"livestock","\b(\d*)livestock(\d*)\b",3.28,"#DDA63A"
264,2,"agribusiness","\b(\d*)agribusiness(\d*)\b",3.22,"#DDA63A"
265,2,"organic farming","\b(\d*)organic farming(\d*)\b",3.07,"#DDA63A"
266,2,"growers","\b(\d*)growers(\d*)\b",2.86,"#DDA63A"
267,2,"ag","\b(\d*)ag(\d*)\b",2.86,"#DDA63A"
268,2,"farms","\b(\d*)farms(\d*)\b",2.85,"#DDA63A"
269,2,"farmer","\b(\d*)farmer(\d*)\b",2.78,"#DDA63A"
270,2,"farmland","\b(\d*)farmland(\d*)\b",2.43,"#DDA63A"
271,2,"organic","\b(\d*)organic(\d*)\b",2.38,"#DDA63A"
272,2,"cattle","\b(\d*)cattle(\d*)\b",2.36,"#DDA63A"
273,2,"horticulture","\b(\d*)horticulture(\d*)\b",2.36,"#DDA63A"
274,2,"poultry","\b(\d*)poultry(\d*)\b",2.28,"#DDA63A"
275,2,"soybean","\b(\d*)soybean(\d*)\b",2.21,"#DDA63A"
276,2,"agro","\b(\d*)agro(\d*)\b",1.93,"#DDA63A"
277,2,"fertilizer","\b(\d*)fertilizer(\d*)\b",1.86,"#DDA63A"
278,2,"aquaculture","\b(\d*)aquaculture(\d*)\b",1.86,"#DDA63A"
279,2,"wheat","\b(\d*)wheat(\d*)\b",1.78,"#DDA63A"
280,2,"grain","\b(\d*)grain(\d*)\b",1.71,"#DDA63A"
281,2,"vegetable","\b(\d*)vegetable(\d*)\b",1.71,"#DDA63A"
282,2,"dairy farmers","\b(\d*)dairy farmers(\d*)\b",1.57,"#DDA63A"
283,2,"grains","\b(\d*)grains(\d*)\b",1.57,"#DDA63A"
284,2,"corn","\b(\d*)corn(\d*)\b",1.57,"#DDA63A"
285,2,"rural development","\b(\d*)rural development(\d*)\b",1.5,"#DDA63A"
286,2,"grower","\b(\d*)grower(\d*)\b",1.5,"#DDA63A"
287,2,"ethanol","\b(\d*)ethanol(\d*)\b",1.5,"#DDA63A"
288,2,"irrigation","\b(\d*)irrigation(\d*)\b",1.43,"#DDA63A"
289,2,"biofuel","\b(\d*)biofuel(\d*)\b",1.36,"#DDA63A"
290,2,"biofuels","\b(\d*)biofuels(\d*)\b",1.36,"#DDA63A"
291,2,"food","\b(\d*)food(\d*)\b",1.32,"#DDA63A"
292,2,"beef cattle","\b(\d*)beef cattle(\d*)\b",1.29,"#DDA63A"
293,2,"dairy cows","\b(\d*)dairy cows(\d*)\b",1.29,"#DDA63A"
294,2,"potato","\b(\d*)potato(\d*)\b",1.21,"#DDA63A"
295,2,"sugar beet","\b(\d*)sugar beet(\d*)\b",1.21,"#DDA63A"
296,2,"soybeans","\b(\d*)soybeans(\d*)\b",1.21,"#DDA63A"
297,2,"alfalfa","\b(\d*)alfalfa(\d*)\b",1.21,"#DDA63A"
298,2,"malnourished","\b(\d*)malnourished(\d*)\b",1.2,"#DDA63A"
299,2,"oilseed","\b(\d*)oilseed(\d*)\b",1.14,"#DDA63A"
300,2,"tillage","\b(\d*)tillage(\d*)\b",1.08,"#DDA63A"
301,2,"meat","\b(\d*)meat(\d*)\b",1.07,"#DDA63A"
302,2,"breeding","\b(\d*)breeding(\d*)\b",1.07,"#DDA63A"
303,2,"dairy farm","\b(\d*)dairy farm(\d*)\b",1.07,"#DDA63A"
304,2,"harvest","\b(\d*)harvest(\d*)\b",1.07,"#DDA63A"
305,2,"orchards","\b(\d*)orchards(\d*)\b",1.07,"#DDA63A"
306,2,"ranchers","\b(\d*)ranchers(\d*)\b",1,"#DDA63A"
307,2,"farm bureau","\b(\d*)farm bureau(\d*)\b",1,"#DDA63A"
308,2,"forestry","\b(\d*)forestry(\d*)\b",1,"#DDA63A"
309,2,"dairy farms","\b(\d*)dairy farms(\d*)\b",1,"#DDA63A"
310,2,"rural","\b(\d*)rural(\d*)\b",0.94,"#DDA63A"
311,2,"nutrition","\b(\d*)nutrition(\d*)\b",0.94,"#DDA63A"
312,2,"cropland","\b(\d*)cropland(\d*)\b",0.93,"#DDA63A"
313,2,"fruit","\b(\d*)fruit(\d*)\b",0.93,"#DDA63A"
314,2,"orchard","\b(\d*)orchard(\d*)\b",0.93,"#DDA63A"
315,2,"oilseeds","\b(\d*)oilseeds(\d*)\b",0.93,"#DDA63A"
316,2,"irrigated","\b(\d*)irrigated(\d*)\b",0.93,"#DDA63A"
317,2,"pork","\b(\d*)pork(\d*)\b",0.93,"#DDA63A"
318,2,"cotton","\b(\d*)cotton(\d*)\b",0.93,"#DDA63A"
319,2,"feedlot","\b(\d*)feedlot(\d*)\b",0.93,"#DDA63A"
320,2,"cows","\b(\d*)cows(\d*)\b",0.93,"#DDA63A"
321,2,"biodiesel","\b(\d*)biodiesel(\d*)\b",0.93,"#DDA63A"
322,2,"soil","\b(\d*)soil(\d*)\b",0.86,"#DDA63A"
323,2,"dairy farmer","\b(\d*)dairy farmer(\d*)\b",0.86,"#DDA63A"
324,2,"breeders","\b(\d*)breeders(\d*)\b",0.86,"#DDA63A"
325,2,"dairies","\b(\d*)dairies(\d*)\b",0.86,"#DDA63A"
326,2,"beef","\b(\d*)beef(\d*)\b",0.86,"#DDA63A"
327,2,"sheep","\b(\d*)sheep(\d*)\b",0.86,"#DDA63A"
328,2,"sorghum","\b(\d*)sorghum(\d*)\b",0.86,"#DDA63A"
329,2,"soybean crop","\b(\d*)soybean crop(\d*)\b",0.86,"#DDA63A"
330,2,"barley","\b(\d*)barley(\d*)\b",0.86,"#DDA63A"
331,2,"bioenergy","\b(\d*)bioenergy(\d*)\b",0.86,"#DDA63A"
332,2,"seed","\b(\d*)seed(\d*)\b",0.79,"#DDA63A"
333,2,"veterinary","\b(\d*)veterinary(\d*)\b",0.79,"#DDA63A"
334,2,"biotechnology","\b(\d*)biotechnology(\d*)\b",0.79,"#DDA63A"
335,2,"crop yields","\b(\d*)crop yields(\d*)\b",0.79,"#DDA63A"
336,2,"swine","\b(\d*)swine(\d*)\b",0.79,"#DDA63A"
337,2,"biomass","\b(\d*)biomass(\d*)\b",0.79,"#DDA63A"
338,2,"syngenta","\b(\d*)syngenta(\d*)\b",0.79,"#DDA63A"
339,2,"silage","\b(\d*)silage(\d*)\b",0.79,"#DDA63A"
340,2,"cattlemen association","\b(\d*)cattlemen association(\d*)\b",0.71,"#DDA63A"
341,2,"cooperatives","\b(\d*)cooperatives(\d*)\b",0.71,"#DDA63A"
342,2,"nurseries","\b(\d*)nurseries(\d*)\b",0.71,"#DDA63A"
343,2,"agricultural sciences","\b(\d*)agricultural sciences(\d*)\b",0.71,"#DDA63A"
344,2,"sugarcane","\b(\d*)sugarcane(\d*)\b",0.71,"#DDA63A"
345,2,"animal husbandry","\b(\d*)animal husbandry(\d*)\b",0.71,"#DDA63A"
346,2,"produce","\b(\d*)produce(\d*)\b",0.71,"#DDA63A"
