"SECTION","SCHOOL","COURSE_CODE","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"10229","ACAD","ACAD-245","1","4","4","Designing Products I","C","","Y","14:00","16:50","TH","0","","Delgatty, Grant","IYH110","0","An introductory course in learning how to design physical products, including the processes for determining consumer need, market opportunity and competitive product analysis.","ACAD","20233"
"10241","ACAD","ACAD-276","1","4","4","Dev II","C","","Y","14:00","16:50","TH","0","","Dent, Patrick, H","IYH210","0","Fundamentals of server-side scripting and web templates. Design and creation of data structures and databases. Visualize analytics and data.","ACAD","20233"
"10251","ACAD","ACAD-302","1","4","4","The Hacker Imagination: from Ancient Greece to Cupertino","C","","Y","11:00","12:50","MW","0","","Thomas, Doug","IYH210","0","Exploring issues in innovation, design and invention from the perspective of the hacker imagination.","ACAD","20233"
"10256","ACAD","ACAD-324","1","4","4","The Practice of Design: Ideation to Innovation","C","","Y","9:00","11:50","MW","0","","Wolter, Davina","IYH212/213","0","History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","ACAD","20233"
"10257","ACAD","ACAD-324","1","4","4","The Practice of Design: Ideation to Innovation","C","","Y","10:00","12:50","TH","0","","Wolter, Davina","IYH213","0","History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","ACAD","20233"
"10258","ACAD","ACAD-345","1","4","4","Designing Products II","C","","Y","17:00","19:50","TH","0","","Delgatty, Grant","IYH110","0","A thorough look into developing a feasible consumer product through implementing all aspects of the R&D process, including consumer insights, competitive analysis, ideation and manufacturability.","ACAD","20233"
"10269","ACAD","ACAD-376","1","4","4","Industry Practicum I: Designing and Implementing Real-World Solutions","C","","Y","15:00","16:50","MW","0","","Lim, Yihyun","IYH210/211","0","Practicum through which students serve as design strategists for high-profile industry collaborators, and learn advanced methods and processes to solve problems in field-specific environments.","ACAD","20233"
"10276","ACAD","ACAD-419","1","2","2","Professional Internship","C","","Y","TBA","TBA","","0","","Dent, Patrick, H","OFFICE","0","An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.","ACAD","20233"
"10285","ACAD","ACAD-475A","1","4","4","The Garage Experience","C","","Y","12:00","14:50","MW","0","","Manos, Matthew","IYH110","0","Academy capstone leading to innovative outcomes, including advanced research artifacts, operational prototypes, and breakthrough enterprises across multiple fields and industries.","ACAD","20233"
"10291","ACAD","ACAD-490","1","1","8","Directed Research","C","","Y","TBA","TBA","","0","","","OFFICE","0","Individual research and readings. Not available for graduate credit.","ACAD","20233"
"10293","ACAD","ACAD-499","1","4","4","Special Topics","C","","Y","11:00","13:50","TH","0","","Jones, Trent","","0","Comprehensive exploration of particular aspects of art, technology and the business of innovation.","ACAD","20233"
"10295","ACAD","ACAD-499","1","2","2","Special Topics","C","","Y","TBA","TBA","","0","","Swain, Chris","OFFICE","0","Comprehensive exploration of particular aspects of art, technology and the business of innovation.","ACAD","20233"
"14027","BUAD","ACCT-370","1","4","4","External Financial Reporting Issues","C","A","Y","16:00","17:50","TH","0","","Wiesen, Taylor","BRI8","0","Understanding of decision-making, problem solving, and research skills as a supplement to financial accounting knowledge for accounting professionals.","ACCT","20233"
"14026","BUAD","ACCT-370","1","4","4","External Financial Reporting Issues","C","A","Y","14:00","15:50","TH","0","","Wiesen, Taylor","BRI8","0","Understanding of decision-making, problem solving, and research skills as a supplement to financial accounting knowledge for accounting professionals.","ACCT","20233"
"14028","BUAD","ACCT-370","1","4","4","External Financial Reporting Issues","C","","N","8:00","9:50","TH","0","","","BRI8","0","Understanding of decision-making, problem solving, and research skills as a supplement to financial accounting knowledge for accounting professionals.","ACCT","20233"
"14029","BUAD","ACCT-370","1","0","0","External Financial Reporting Issues","L","A","Y","10:00","11:50","F","0","","Wiesen, Taylor","HOH1","0","Understanding of decision-making, problem solving, and research skills as a supplement to financial accounting knowledge for accounting professionals.","ACCT","20233"
"14041","BUAD","ACCT-371","1","4","4","Introduction to Accounting Systems","C","A","Y","12:00","13:50","MW","0","","Simon, Andreas","ACC201","0","Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting, auditing and taxation.","ACCT","20233"
"14040","BUAD","ACCT-371","1","4","4","Introduction to Accounting Systems","C","A","Y","14:00","15:50","MW","0","","Simon, Andreas","ACC201","0","Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting, auditing and taxation.","ACCT","20233"
"14044","BUAD","ACCT-371","1","0","0","Introduction to Accounting Systems","D","A","Y","TBA","TBA","F","0","","Simon, Andreas","OFFICE","0","Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting, auditing and taxation.","ACCT","20233"
"14067","BUAD","ACCT-377","442","2","2","Valuation for Financial Statement Purposes","C","","Y","16:00","17:50","TH","0","","Tully, Michael","ACC310","0","Explores Accounting Standards Codification (ASC) 820 Fair Value Measurements and Disclosures and reviews the historical background of US GAAP fair value guidance. Prerequisite: ACCT 370.","ACCT","20233"
"14010","BUAD","ACCT-380","1","4","4","Introduction to Enterprise Risk Management","C","","Y","10:00","11:50","TH","0","","Jaconi, Kristen, Elizabeth","ACC236","0","Understand the concept of risk, risk assessment, and management frameworks. Learn to identify, analyze, manage and mitigate, and communicate this risk to stakeholders.","ACCT","20233"
"14011","BUAD","ACCT-380","1","4","4","Introduction to Enterprise Risk Management","C","","Y","12:00","13:50","TH","0","","Jaconi, Kristen, Elizabeth","ACC236","0","Understand the concept of risk, risk assessment, and management frameworks. Learn to identify, analyze, manage and mitigate, and communicate this risk to stakeholders.","ACCT","20233"
"14012","BUAD","ACCT-385","1","4","4","Introduction to Risk Management and Insurance","C","","Y","18:00","21:30","M","0","","Ching, Ward","ACC236","0","Understand the underlying economics, structure, and business models of an organization (often an insurance carrier) willing to accept risk for diverse situations: property, life, healthcare. Not for major credit for Accounting majors.","ACCT","20233"
"14013","BUAD","ACCT-387","1","4","4","Risk Management in Entertainment, Sports and the Arts","C","","Y","14:00","15:50","TH","0","","Jaconi, Kristen, Elizabeth","ACC236","0","Knowledge and skills needed to identify, analyze, control, finance and report on the risks particular to entertainment, sports and the arts.","ACCT","20233"
"14093","BUAD","ACCT-410","1","4","4","Foundations of Accounting","C","","Y","12:00","13:50","MW","0","","Bonner, Sarah, Elizabeth","JFF239","0","Non-technical presentation of accounting for users of accounting information; introduction to financial and managerial accounting. Not open to students with course credits in accounting. Not available for unit or course credit toward a degree in Accounting or Business.","ACCT","20233"
"14097","BUAD","ACCT-410","1","4","4","Foundations of Accounting","C","","Y","8:00","9:50","MW","0","","Davila, Ruben, Allen","ACC236","0","Non-technical presentation of accounting for users of accounting information; introduction to financial and managerial accounting. Not open to students with course credits in accounting. Not available for unit or course credit toward a degree in Accounting or Business.","ACCT","20233"
"14091","BUAD","ACCT-410","1","4","4","Foundations of Accounting","C","","Y","10:00","11:50","MW","0","","Bonner, Sarah, Elizabeth","JFF239","0","Non-technical presentation of accounting for users of accounting information; introduction to financial and managerial accounting. Not open to students with course credits in accounting. Not available for unit or course credit toward a degree in Accounting or Business.","ACCT","20233"
"14095","BUAD","ACCT-410","1","4","4","Foundations of Accounting","C","","Y","10:00","11:50","TH","0","","","JFF328","0","Non-technical presentation of accounting for users of accounting information; introduction to financial and managerial accounting. Not open to students with course credits in accounting. Not available for unit or course credit toward a degree in Accounting or Business.","ACCT","20233"
"14090","BUAD","ACCT-410","1","4","4","Foundations of Accounting","C","","N","8:00","9:50","TH","0","","","JFF328","0","Non-technical presentation of accounting for users of accounting information; introduction to financial and managerial accounting. Not open to students with course credits in accounting. Not available for unit or course credit toward a degree in Accounting or Business.","ACCT","20233"
"14096","BUAD","ACCT-410","1","4","4","Foundations of Accounting","C","","Y","14:00","15:50","TH","0","","","JFF239","0","Non-technical presentation of accounting for users of accounting information; introduction to financial and managerial accounting. Not open to students with course credits in accounting. Not available for unit or course credit toward a degree in Accounting or Business.","ACCT","20233"
"14106","BUAD","ACCT-416","1","4","4","Financial Statement Analysis","C","","Y","10:00","11:50","TH","0","","","ACC201","0","Analysis of corporate financial reports from a decision-maker's perspective.","ACCT","20233"
"14061","BUAD","ACCT-451","1","4","4","Tax Analysis with Data Analytics","C","","Y","8:00","9:50","MW","0","","Wang, Shiing-Wu","ACC201","0","Capabilities to identify and analyze relevant tax issues; apply research tools to find solutions and provide alternate approaches using data analytics. Duplicates credit in ACCT 374 and ACCT 474.","ACCT","20233"
"14062","BUAD","ACCT-451","1","4","4","Tax Analysis with Data Analytics","C","","Y","10:00","11:50","MW","0","","Wang, Shiing-Wu","ACC201","0","Capabilities to identify and analyze relevant tax issues; apply research tools to find solutions and provide alternate approaches using data analytics. Duplicates credit in ACCT 374 and ACCT 474.","ACCT","20233"
"14063","BUAD","ACCT-451","1","0","0","Tax Analysis with Data Analytics","L","","Y","12:00","13:50","F","0","","Wang, Shiing-Wu","HOH2","0","Capabilities to identify and analyze relevant tax issues; apply research tools to find solutions and provide alternate approaches using data analytics. Duplicates credit in ACCT 374 and ACCT 474.","ACCT","20233"
"14057","BUAD","ACCT-456","1","4","4","Auditing with Data Analytics","C","","Y","14:00","15:50","TH","0","","Layton, Rose, M.","ACC201","0","Auditing with data analytics from the perspective of management and other users of financial statements including external auditors and assurance professionals. Duplicates credit in ACCT 373 and ACCT 473.","ACCT","20233"
"14056","BUAD","ACCT-456","1","4","4","Auditing with Data Analytics","C","","Y","12:00","13:50","TH","0","","Layton, Rose, M.","ACC201","0","Auditing with data analytics from the perspective of management and other users of financial statements including external auditors and assurance professionals. Duplicates credit in ACCT 373 and ACCT 473.","ACCT","20233"
"14058","BUAD","ACCT-456","1","0","0","Auditing with Data Analytics","D","","Y","10:00","11:50","F","0","","Layton, Rose, M.","HOH2","0","Auditing with data analytics from the perspective of management and other users of financial statements including external auditors and assurance professionals. Duplicates credit in ACCT 373 and ACCT 473.","ACCT","20233"
"14186","ACCT","ACCT-462","431","2","2","Detecting Fraudulent Financial Reporting","C","","Y","16:00","17:50","TH","0","","","ACC310","0","Understanding/identifying methods of fraudulent financial reporting, and signals that financial statements were fictitiously prepared; major frameworks for analyzing ethical dilemmas; reforms in corporate reporting environment.","ACCT","20233"
"14120","BUAD","ACCT-470","1","4","4","Advanced External Financial Reporting Issues","C","","Y","10:00","11:50","MW","0","","Randhawa, Smrity, P.","JFF236","0","Develop capabilities to identify and resolve advanced external financial reporting challenges, focusing primarily on operating, financing, and investing activities of business enterprises.","ACCT","20233"
"14136","BUAD","ACCT-473","442","2","2","Financial Statement Auditing","C","A","Y","14:00","15:50","TH","0","","Layton, Rose, M.","ACC201","0","Course builds on the background developed in ACCT 373, specifically the process used by external auditors to conduct financial statement audits. Prerequisites: ACCT-373. Duplicates credit in ACCT 456.","ACCT","20233"
"14137","BUAD","ACCT-473","442","0","0","Financial Statement Auditing","D","A","Y","10:00","11:50","F","0","","Layton, Rose, M.","HOH2","0","Course builds on the background developed in ACCT 373, specifically the process used by external auditors to conduct financial statement audits. Prerequisites: ACCT-373. Duplicates credit in ACCT 456.","ACCT","20233"
"14140","ACCT","ACCT-474","442","2","2","Tax Issues for Business","C","A","Y","10:00","11:50","MW","0","","Wang, Shiing-Wu","ACC201","0","Capabilities to identify and articulate tax issues related to a business entity's life: formation, investing, financing and operations, and change of form. Duplicates credit in ACCT 451.","ACCT","20233"
"14142","ACCT","ACCT-474","442","0","0","Tax Issues for Business","L","A","Y","12:00","13:50","F","0","","Wang, Shiing-Wu","HOH2","0","Capabilities to identify and articulate tax issues related to a business entity's life: formation, investing, financing and operations, and change of form. Duplicates credit in ACCT 451.","ACCT","20233"
"14180","BUAD","ACCT-490","1","2","8","Directed Research","C","","Y","TBA","TBA","","0","","","OFFICE","0","Individual research and readings. Not available for graduate credit.","ACCT","20233"
"14188","BUAD","ACCT-494","1","2","2","Marshall Honors Research and Thesis","C","","Y","17:00","18:50","H","0","","","OFFICE","0","Experience in conducting research and writing a thesis under supervision of a faculty adviser.","ACCT","20233"
"14181","BUAD","ACCT-499","1","4","4","Special Topics","C","","Y","12:00","13:50","TH","0","","Dechow, Patricia","JFF239","0","Selected topics reflecting current trends and recent developments in the field of accounting. Topics vary each semester.","ACCT","20233"
"14322","GSBA","ACCT-505","1","3","3","Business Sustainability Reporting and Analysis","C","","Y","14:00","15:20","TH","0","","","JKP202","0","A critical analysis of practices in business sustainability reporting.Provides guidance for synthesizing information from corporate sustainability disclosures into traditional financial and valuation analyses.","ACCT","20233"
"14321","GSBA","ACCT-505","33","3","3","Business Sustainability Reporting and Analysis","C","","Y","14:00","15:20","TH","0","","","JKP202","0","A critical analysis of practices in business sustainability reporting.Provides guidance for synthesizing information from corporate sustainability disclosures into traditional financial and valuation analyses.","ACCT","20233"
"14208","GSBA","ACCT-528","442","1.5","1.5","Fair Value Accounting: GAAP, IFRS and Emerging Issues","C","","Y","15:30","16:50","TH","0","","Aaron, Tony","JKP202","0","Case study approach to explore fair value issues in accounting; research and analysis of causes of valuation differences.","ACCT","20233"
"14206","GSBA","ACCT-528","431","1.5","1.5","Fair Value Accounting: GAAP, IFRS and Emerging Issues","C","","Y","15:30","16:50","TH","0","","Aaron, Tony","JKP202","0","Case study approach to explore fair value issues in accounting; research and analysis of causes of valuation differences.","ACCT","20233"
"14209","GSBA","ACCT-528","415","1.5","1.5","Fair Value Accounting: GAAP, IFRS and Emerging Issues","C","","Y","15:30","16:50","TH","0","","Aaron, Tony","JKP202","0","Case study approach to explore fair value issues in accounting; research and analysis of causes of valuation differences.","ACCT","20233"
"14207","GSBA","ACCT-528","411","1.5","1.5","Fair Value Accounting: GAAP, IFRS and Emerging Issues","C","","Y","15:30","16:50","TH","0","","Aaron, Tony","JKP202","0","Case study approach to explore fair value issues in accounting; research and analysis of causes of valuation differences.","ACCT","20233"
"14205","GSBA","ACCT-529","1","3","3","Tax Data Analytics","C","","Y","17:00","19:50","M","0","","Swenson, Charles, W","JKP102","0","Tax analytics from managements perspective; sources of accounting data, introduction to database and ERP tools; application of data and analytics to tax issues.","ACCT","20233"
"14252","GSBA","ACCT-531T","1","3","3","Taxation of Cross-Border Transactions Using Data Analytics","C","","Y","14:00","15:20","MW","0","","Swenson, Charles, W Wang, Shiing-Wu","JKP202","0","Introduction to income taxation of cross-border transactions, state/local and multinational tax rules; application of data and analytics tools to multijurisdictional tax issues.","ACCT","20233"
"14216","GSBA","ACCT-532","431","1.5","1.5","Financial Accounting for Mergers and Acquisitions","C","","Y","14:00","15:20","MW","0","","","JKP102","0","Practical problems in accounting for business combinations. Consolidated financial statements: fair value, acquisition and equity basis accounting. Duplicates credit in former ACCT 582.","ACCT","20233"
"14217","GSBA","ACCT-532","411","1.5","1.5","Financial Accounting for Mergers and Acquisitions","C","","Y","14:00","15:20","MW","0","","","JKP102","0","Practical problems in accounting for business combinations. Consolidated financial statements: fair value, acquisition and equity basis accounting. Duplicates credit in former ACCT 582.","ACCT","20233"
"14218","GSBA","ACCT-533","442","1.5","1.5","Mergers and Acquisitions: Tax Planning and Strategy","C","","Y","14:00","15:20","MW","0","","Wang, Shiing-Wu","JKP102","0","Tax planning and strategy in corporate restructuring including mergers, acquisitions, and divestitures.Tax background not required to be successful in this course.Duplicates credit in former ACCT 582.","ACCT","20233"
"14219","GSBA","ACCT-533","415","1.5","1.5","Mergers and Acquisitions: Tax Planning and Strategy","C","","Y","14:00","15:20","MW","0","","Wang, Shiing-Wu","JKP102","0","Tax planning and strategy in corporate restructuring including mergers, acquisitions, and divestitures.Tax background not required to be successful in this course.Duplicates credit in former ACCT 582.","ACCT","20233"
"14240","GSBA","ACCT-549","1","3","3","Advanced Enterprise Systems and Technologies","C","","N","8:00 12:30","9:20 13:50","MW F","0","","Simon, Andreas","JKP102 JKP210","0","Design, control and development of advanced enterprise systems, using reengineering, focusing on accounting and financial systems, using a wide range of emerging existing technologies.","ACCT","20233"
"14241","GSBA","ACCT-549","1","3","3","Advanced Enterprise Systems and Technologies","C","","Y","9:30 12:30","10:50 13:50","MW F","0","","Simon, Andreas","JKP102 JKP210","0","Design, control and development of advanced enterprise systems, using reengineering, focusing on accounting and financial systems, using a wide range of emerging existing technologies.","ACCT","20233"
"14244","GSBA","ACCT-551T","1","3","3","Taxation of Partnerships","C","","Y","12:30","13:50","MW","0","","Mills, Patricia","JKP202","0","Federal taxation of flow-through entities including partnerships, limited liability partnerships (LLPs), and limited liability companies (LLCs).","ACCT","20233"
"14253","GSBA","ACCT-554T","1","3","3","Research, Theory and Ethics in Taxation","C","","Y","9:30","12:20","T","0","","Barcal, Jack Comi, Diane","JKP104","0","Basic theories of tax law, application of research tools, interpretation of statutes, cases and rulings, within the context of the professional responsibilities of tax practice. Duplicates credit in ACCT 550T and ACCT 560T.","ACCT","20233"
"14246","GSBA","ACCT-554T","378","3","3","Research, Theory and Ethics in Taxation","C","","Y","17:30","19:00","W","0","A","Barcal, Jack Comi, Diane","ONLINE","0","Basic theories of tax law, application of research tools, interpretation of statutes, cases and rulings, within the context of the professional responsibilities of tax practice. Duplicates credit in ACCT 550T and ACCT 560T.","ACCT","20233"
"14260","GSBA","ACCT-559","1","3","3","Strategy and Operations Through CFO Lens","C","","N","8:00","9:20","TH","0","","Perlmutter, Herbert","JKP110","0","Examination of strategic objectives and operations within specific industries and companies. Chief Financial Officers present how they view the business as a whole and measure performance effectively.","ACCT","20233"
"14262","GSBA","ACCT-559","33","3","3","Strategy and Operations Through CFO Lens","C","","Y","8:00","9:20","TH","0","","Perlmutter, Herbert","JKP110","0","Examination of strategic objectives and operations within specific industries and companies. Chief Financial Officers present how they view the business as a whole and measure performance effectively.","ACCT","20233"
"14261","GSBA","ACCT-559","1","3","3","Strategy and Operations Through CFO Lens","C","","Y","9:30","10:50","TH","0","","Perlmutter, Herbert","JKP202","0","Examination of strategic objectives and operations within specific industries and companies. Chief Financial Officers present how they view the business as a whole and measure performance effectively.","ACCT","20233"
"14263","GSBA","ACCT-559","33","3","3","Strategy and Operations Through CFO Lens","C","","Y","9:30 8:00","10:50 9:20","TH TH","0","","Perlmutter, Herbert","JKP202 JKP110","0","Examination of strategic objectives and operations within specific industries and companies. Chief Financial Officers present how they view the business as a whole and measure performance effectively.","ACCT","20233"
"14266","ACCT","ACCT-561T","1","3","3","Income Tax of Corporations and Their Shareholders","C","","Y","14:00","15:20","TH","0","","Kling, Greg","TBA","0","Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600.","ACCT","20233"
"14276","GSBA","ACCT-567T","378","3","3","Taxation of Transactions in Property","C","","Y","17:30","19:00","W","0","","Kling, Greg","ONLINE","0","Taxation of gains and losses from sales, exchanges and other transactions involving property, especially real estate; tax planning. Prerequisite: ACCT 550T. Web registration open only to graduate accounting majors.","ACCT","20233"
"14298","GSBA","ACCT-581","1","3","3","Financial Statement Analysis","C","","Y","11:00","12:20","TH","0","","","JKP202","0","Analysis of corporate financial reports from a decision-maker's perspective. This course is case-and-applications-oriented. Applications include credit analysis, equity valuation, and financial distress. Duplicates credit in ACCT 527.","ACCT","20233"
"14300","GSBA","ACCT-581","1","3","3","Financial Statement Analysis","C","","Y","18:30","21:30","H","0","","Dechow, Patricia","JKP202","0","Analysis of corporate financial reports from a decision-maker's perspective. This course is case-and-applications-oriented. Applications include credit analysis, equity valuation, and financial distress. Duplicates credit in ACCT 527.","ACCT","20233"
"14302","GSBA","ACCT-581","33","3","3","Financial Statement Analysis","C","","Y","12:30","13:50","TH","0","","Sloan, Richard, Geoffrey","JKP202","0","Analysis of corporate financial reports from a decision-maker's perspective. This course is case-and-applications-oriented. Applications include credit analysis, equity valuation, and financial distress. Duplicates credit in ACCT 527.","ACCT","20233"
"14303","GSBA","ACCT-581","33","3","3","Financial Statement Analysis","C","","Y","18:30","21:30","H","0","","Dechow, Patricia","JKP202","0","Analysis of corporate financial reports from a decision-maker's perspective. This course is case-and-applications-oriented. Applications include credit analysis, equity valuation, and financial distress. Duplicates credit in ACCT 527.","ACCT","20233"
"14305","GSBA","ACCT-583","378","3","3","Income Tax Accounting and Auditing","C","","Y","17:30","19:00","T","0","","","ONLINE","0","Examination of FAS 109 and roles of auditors, tax professionals and corporate financial personnel in preparing, analyzing and reviewing accrual of income taxes. Prerequisite: ACCT 561T or ACCT 585. Open only to graduate students.","ACCT","20233"
"14315","GSBA","ACCT-585","1","3","3","Professional Responsibilities in Accounting","C","","Y","11:00","12:20","MW","0","","Smith, Lori, L.","JKP202","0","A case study approach to the integration of accounting and auditing knowledge; research, communication, and interpersonal skills developed through extensive written and presentation requirements.","ACCT","20233"
"14314","GSBA","ACCT-585","1","3","3","Professional Responsibilities in Accounting","C","","Y","9:30","10:50","MW","0","","Smith, Lori, L.","JKP202","0","A case study approach to the integration of accounting and auditing knowledge; research, communication, and interpersonal skills developed through extensive written and presentation requirements.","ACCT","20233"
"14312","GSBA","ACCT-585","1","3","3","Professional Responsibilities in Accounting","C","","Y","9:30","10:50","MW","0","","","JKP202","0","A case study approach to the integration of accounting and auditing knowledge; research, communication, and interpersonal skills developed through extensive written and presentation requirements.","ACCT","20233"
"14313","GSBA","ACCT-585","1","3","3","Professional Responsibilities in Accounting","C","","N","8:00","9:20","MW","0","","Smith, Lori, L.","JKP202","0","A case study approach to the integration of accounting and auditing knowledge; research, communication, and interpersonal skills developed through extensive written and presentation requirements.","ACCT","20233"
"14317","GSBA","ACCT-593","33","0.5","3","Independent Research in Accounting","C","","Y","TBA","TBA","","0","","","OFFICE","0","Independent research beyond normal course offerings. Proposal, research and written report/paper required. Graded CR/NC.","ACCT","20233"
"14326","BUS","ACCT-611","33","1.5","1.5","Selected Topics in Accounting Research","C","","Y","8:30","10:00","F","0","","","ACC312","0","Advanced Seminar to address issues/topics covered in accounting research. Open only to doctoral students.","ACCT","20233"
"40253","MED","ACMD-501","98","3","3","Introduction to Academic Medicine Worldwide","C","","Y","17:00","20:00","M","0","A","","","0","Introduces the masters program; includes historical development of training in the health professions; current issues, challenges and opportunities in academic medicine and health worldwide.","ACMD","20233"
"40254","MED","ACMD-502","98","3","3","Becoming a Leader in Academic Medicine Worldwide","C","","Y","17:00","20:00","W","0","A","","","0","Current approaches to leadership within the context of global academic medicine and health professions education; individual applications, group dynamics, teamwork, and interpersonal skill enhancement.","ACMD","20233"
"40268","MED","ACMD-514","1","3","3","Accreditation and Program Evaluation in Academic Medicine","C","","N","TBA","TBA","","0","","","","0","Evaluating health professions training programs within guidelines of relevant accreditation organizations; models of evaluation, designing plans and tools for evaluation of program elements.","ACMD","20233"
"40269","MED","ACMD-591","98","2","2","Designing Research on Innovations in Academic Medicine","C","","Y","17:00","19:00","H","0","A","","","0","Introduction to design and scholarly review of innovations in health professions education; needs assessment, problem selection, use of research methods to study an innovation.","ACMD","20233"
"40279","MED","ACMD-598","98","1","3","Fieldwork: Designing Innovations for the Health Professions","C","N","Y","TBA","TBA","M","0","A","","OFFICE","0","Individual projects designing curricular or other innovations for the home program as an application of Year 1 concepts and as part of the capstone experience. Graded CR/NC.","ACMD","20233"
"40278","MED","ACMD-605","1","2","2","Faculty Development for Health Sciences Faculty Educators","CD","Y","N","TBA","TBA","","0","","","","0","Role of faculty development programs in health professions schools; tools for delivering effective continuing education and faculty development; models for mentoring clinical faculty.","ACMD","20233"
"22620","DENT","ADNT-703A","9","0","0","Seminar: Combined Treatment Planning","C","","Y","TBA","TBA","","0","","Park, Cheryl, Jonghee","OFFICE","0","Interdisciplinary consideration of complex cases which involve several of the dental specialties.","ADNT","20233"
