"goal","keyword","pattern","color","weight"
1,"dispossessed","\b(\d*)dispossessed(\d*)\b","#E5243B",1
1,"donation","\b(\d*)donation(\d*)\b","#E5243B",1
1,"donations","\b(\d*)donations(\d*)\b","#E5243B",1
1,"dpss","\b(\d*)dpss(\d*)\b","#E5243B",1
1,"economic changes","\b(\d*)economic changes(\d*)\b","#E5243B",1
1,"economic depression","\b(\d*)economic depression(\d*)\b","#E5243B",1
1,"economic recession","\b(\d*)economic recession(\d*)\b","#E5243B",1
1,"economic recovery","\b(\d*)economic recovery(\d*)\b","#E5243B",1
1,"economic resilience","\b(\d*)economic resilience(\d*)\b","#E5243B",1
1,"economic resources","\b(\d*)economic resources(\d*)\b","#E5243B",1
1,"economic securities","\b(\d*)economic securities(\d*)\b","#E5243B",1
1,"economic security","\b(\d*)economic security(\d*)\b","#E5243B",1
1,"economically disadvantaged","\b(\d*)economically disadvantaged(\d*)\b","#E5243B",1
1,"economically secure","\b(\d*)economically secure(\d*)\b","#E5243B",1
1,"economically stable","\b(\d*)economically stable(\d*)\b","#E5243B",1
1,"economically vulnerable","\b(\d*)economically vulnerable(\d*)\b","#E5243B",1
1,"emergency cash","\b(\d*)emergency cash(\d*)\b","#E5243B",1
1,"employed","\b(\d*)employed(\d*)\b","#E5243B",1
1,"environmental disasters","\b(\d*)environmental disasters(\d*)\b","#E5243B",1
1,"environmental shocks","\b(\d*)environmental shocks(\d*)\b","#E5243B",1
1,"environmental studies","\b(\d*)environmental studies(\d*)\b","#E5243B",1
1,"eradicate","\b(\d*)eradicate(\d*)\b","#E5243B",1
1,"eradication","\b(\d*)eradication(\d*)\b","#E5243B",1
1,"evicted","\b(\d*)evicted(\d*)\b","#E5243B",1
1,"eviction notice","\b(\d*)eviction notice(\d*)\b","#E5243B",1
1,"fair compensation","\b(\d*)fair compensation(\d*)\b","#E5243B",1
1,"family","\b(\d*)family(\d*)\b","#E5243B",1
1,"family in transition","\b(\d*)family in transition(\d*)\b","#E5243B",1
1,"family patterns","\b(\d*)family patterns(\d*)\b","#E5243B",1
1,"family reorganization","\b(\d*)family reorganization(\d*)\b","#E5243B",1
1,"family unity","\b(\d*)family unity(\d*)\b","#E5243B",1
1,"federal aid","\b(\d*)federal aid(\d*)\b","#E5243B",1
1,"federal assistance","\b(\d*)federal assistance(\d*)\b","#E5243B",1
1,"fema","\b(\d*)fema(\d*)\b","#E5243B",1
1,"finance management","\b(\d*)finance management(\d*)\b","#E5243B",1
1,"financial aid","\b(\d*)financial aid(\d*)\b","#E5243B",1
1,"financial asset","\b(\d*)financial asset(\d*)\b","#E5243B",1
1,"financial assets","\b(\d*)financial assets(\d*)\b","#E5243B",1
1,"financial assistance","\b(\d*)financial assistance(\d*)\b","#E5243B",1
1,"financial benefit","\b(\d*)financial benefit(\d*)\b","#E5243B",1
1,"financial benefits","\b(\d*)financial benefits(\d*)\b","#E5243B",1
1,"financial crisis","\b(\d*)financial crisis(\d*)\b","#E5243B",1
1,"financial eligibility","\b(\d*)financial eligibility(\d*)\b","#E5243B",1
1,"financial freedom","\b(\d*)financial freedom(\d*)\b","#E5243B",1
1,"financial help","\b(\d*)financial help(\d*)\b","#E5243B",1
1,"financial holdings","\b(\d*)financial holdings(\d*)\b","#E5243B",1
1,"financial liabilities","\b(\d*)financial liabilities(\d*)\b","#E5243B",1
1,"financial loan","\b(\d*)financial loan(\d*)\b","#E5243B",1
1,"financial management","\b(\d*)financial management(\d*)\b","#E5243B",1
1,"financial portfolio","\b(\d*)financial portfolio(\d*)\b","#E5243B",1
1,"financial service","\b(\d*)financial service(\d*)\b","#E5243B",1
1,"financial services","\b(\d*)financial services(\d*)\b","#E5243B",1
1,"financial stress","\b(\d*)financial stress(\d*)\b","#E5243B",1
1,"financially stable","\b(\d*)financially stable(\d*)\b","#E5243B",1
1,"food secure","\b(\d*)food secure(\d*)\b","#E5243B",1
1,"foreclosure","\b(\d*)foreclosure(\d*)\b","#E5243B",1
1,"foreclosures","\b(\d*)foreclosures(\d*)\b","#E5243B",1
1,"gambling","\b(\d*)gambling(\d*)\b","#E5243B",1
1,"good credit","\b(\d*)good credit(\d*)\b","#E5243B",1
1,"government assistance","\b(\d*)government assistance(\d*)\b","#E5243B",1
1,"government housing","\b(\d*)government housing(\d*)\b","#E5243B",1
1,"heritance","\b(\d*)heritance(\d*)\b","#E5243B",1
1,"home loans","\b(\d*)home loans(\d*)\b","#E5243B",1
1,"house secure","\b(\d*)house secure(\d*)\b","#E5243B",1
1,"households","\b(\d*)households(\d*)\b","#E5243B",1
1,"housing access","\b(\d*)housing access(\d*)\b","#E5243B",1
1,"housing security","\b(\d*)housing security(\d*)\b","#E5243B",1
1,"impact of inflation","\b(\d*)impact of inflation(\d*)\b","#E5243B",1
1,"impoverish","\b(\d*)impoverish(\d*)\b","#E5243B",1
1,"impoverished","\b(\d*)impoverished(\d*)\b","#E5243B",1
1,"income assistance","\b(\d*)income assistance(\d*)\b","#E5243B",1
1,"increased prices","\b(\d*)increased prices(\d*)\b","#E5243B",1
1,"inflation impact","\b(\d*)inflation impact(\d*)\b","#E5243B",1
1,"inheritance","\b(\d*)inheritance(\d*)\b","#E5243B",1
1,"inherited","\b(\d*)inherited(\d*)\b","#E5243B",1
1,"investment","\b(\d*)investment(\d*)\b","#E5243B",1
1,"job secure","\b(\d*)job secure(\d*)\b","#E5243B",1
1,"job security","\b(\d*)job security(\d*)\b","#E5243B",1
1,"job-secure","\b(\d*)job-secure(\d*)\b","#E5243B",1
1,"land ownership","\b(\d*)land ownership(\d*)\b","#E5243B",1
1,"landlord","\b(\d*)landlord(\d*)\b","#E5243B",1
1,"landlords","\b(\d*)landlords(\d*)\b","#E5243B",1
1,"least developed countries","\b(\d*)least developed countries(\d*)\b","#E5243B",1
1,"living on less","\b(\d*)living on less(\d*)\b","#E5243B",1
1,"living on the streets","\b(\d*)living on the streets(\d*)\b","#E5243B",1
1,"loan","\b(\d*)loan(\d*)\b","#E5243B",1
1,"low-income","\b(\d*)low-income(\d*)\b","#E5243B",1
1,"lower social class","\b(\d*)lower social class(\d*)\b","#E5243B",1
1,"management of finances","\b(\d*)management of finances(\d*)\b","#E5243B",1
1,"microfinance","\b(\d*)microfinance(\d*)\b","#E5243B",1
1,"mobilization of resources","\b(\d*)mobilization of resources(\d*)\b","#E5243B",1
1,"mortgage payment","\b(\d*)mortgage payment(\d*)\b","#E5243B",1
1,"mortgages","\b(\d*)mortgages(\d*)\b","#E5243B",1
1,"natural disaster","\b(\d*)natural disaster(\d*)\b","#E5243B",1
1,"needy families","\b(\d*)needy families(\d*)\b","#E5243B",1
1,"ownership of land","\b(\d*)ownership of land(\d*)\b","#E5243B",1
1,"paid compensation","\b(\d*)paid compensation(\d*)\b","#E5243B",1
1,"paid family leave","\b(\d*)paid family leave(\d*)\b","#E5243B",1
1,"passive income","\b(\d*)passive income(\d*)\b","#E5243B",1
1,"paycheck","\b(\d*)paycheck(\d*)\b","#E5243B",1
1,"payroll","\b(\d*)payroll(\d*)\b","#E5243B",1
1,"payrolls","\b(\d*)payrolls(\d*)\b","#E5243B",1
1,"people without homes","\b(\d*)people without homes(\d*)\b","#E5243B",1
1,"poor","\b(\d*)poor(\d*)\b","#E5243B",1
1,"poorer","\b(\d*)poorer(\d*)\b","#E5243B",1
1,"poorest","\b(\d*)poorest(\d*)\b","#E5243B",1
1,"population growth","\b(\d*)population growth(\d*)\b","#E5243B",1
1,"population size","\b(\d*)population size(\d*)\b","#E5243B",1
1,"poverty","\b(\d*)poverty(\d*)\b","#E5243B",1
1,"prestiege and power","\b(\d*)prestiege and power(\d*)\b","#E5243B",1
1,"property owner","\b(\d*)property owner(\d*)\b","#E5243B",1
1,"property tax","\b(\d*)property tax(\d*)\b","#E5243B",1
1,"public assistance","\b(\d*)public assistance(\d*)\b","#E5243B",1
1,"public housing","\b(\d*)public housing(\d*)\b","#E5243B",1
1,"recession","\b(\d*)recession(\d*)\b","#E5243B",1
1,"refugee","\b(\d*)refugee(\d*)\b","#E5243B",1
1,"reinsurance","\b(\d*)reinsurance(\d*)\b","#E5243B",1
1,"rent","\b(\d*)rent(\d*)\b","#E5243B",1
1,"renters","\b(\d*)renters(\d*)\b","#E5243B",1
1,"rents","\b(\d*)rents(\d*)\b","#E5243B",1
1,"retiree","\b(\d*)retiree(\d*)\b","#E5243B",1
1,"retirees","\b(\d*)retirees(\d*)\b","#E5243B",1
1,"retirement","\b(\d*)retirement(\d*)\b","#E5243B",1
1,"roth ira","\b(\d*)roth ira(\d*)\b","#E5243B",1
1,"salaries","\b(\d*)salaries(\d*)\b","#E5243B",1
1,"salary","\b(\d*)salary(\d*)\b","#E5243B",1
1,"savings","\b(\d*)savings(\d*)\b","#E5243B",1
1,"section 8","\b(\d*)section 8(\d*)\b","#E5243B",1
1,"security program","\b(\d*)security program(\d*)\b","#E5243B",1
1,"shelter","\b(\d*)shelter(\d*)\b","#E5243B",1
1,"shelters","\b(\d*)shelters(\d*)\b","#E5243B",1
1,"slum","\b(\d*)slum(\d*)\b","#E5243B",1
1,"slums","\b(\d*)slums(\d*)\b","#E5243B",1
1,"social class","\b(\d*)social class(\d*)\b","#E5243B",1
1,"social exclusion","\b(\d*)social exclusion(\d*)\b","#E5243B",1
1,"social institutions","\b(\d*)social institutions(\d*)\b","#E5243B",1
1,"social justice","\b(\d*)social justice(\d*)\b","#E5243B",1
1,"social mobility","\b(\d*)social mobility(\d*)\b","#E5243B",1
1,"social outcast","\b(\d*)social outcast(\d*)\b","#E5243B",1
1,"social policies","\b(\d*)social policies(\d*)\b","#E5243B",1
1,"social program","\b(\d*)social program(\d*)\b","#E5243B",1
1,"social programme","\b(\d*)social programme(\d*)\b","#E5243B",1
1,"social programmes","\b(\d*)social programmes(\d*)\b","#E5243B",1
1,"social programs","\b(\d*)social programs(\d*)\b","#E5243B",1
1,"social protection","\b(\d*)social protection(\d*)\b","#E5243B",1
1,"social protection system","\b(\d*)social protection system(\d*)\b","#E5243B",1
1,"social protection systems","\b(\d*)social protection systems(\d*)\b","#E5243B",1
1,"social security","\b(\d*)social security(\d*)\b","#E5243B",1
1,"social services","\b(\d*)social services(\d*)\b","#E5243B",1
1,"social status","\b(\d*)social status(\d*)\b","#E5243B",1
1,"social welfare","\b(\d*)social welfare(\d*)\b","#E5243B",1
1,"socio economic","\b(\d*)socio economic(\d*)\b","#E5243B",1
1,"socioeconomic","\b(\d*)socioeconomic(\d*)\b","#E5243B",1
1,"spend","\b(\d*)spend(\d*)\b","#E5243B",1
1,"spending","\b(\d*)spending(\d*)\b","#E5243B",1
1,"status and power","\b(\d*)status and power(\d*)\b","#E5243B",1
1,"stratification","\b(\d*)stratification(\d*)\b","#E5243B",1
1,"superannuation","\b(\d*)superannuation(\d*)\b","#E5243B",1
1,"tanf","\b(\d*)tanf(\d*)\b","#E5243B",1
1,"tax credit","\b(\d*)tax credit(\d*)\b","#E5243B",1
1,"tax forgiveness","\b(\d*)tax forgiveness(\d*)\b","#E5243B",1
1,"tax refund","\b(\d*)tax refund(\d*)\b","#E5243B",1
1,"tenant rights","\b(\d*)tenant rights(\d*)\b","#E5243B",1
1,"third world","\b(\d*)third world(\d*)\b","#E5243B",1
1,"transient","\b(\d*)transient(\d*)\b","#E5243B",1
1,"underclass","\b(\d*)underclass(\d*)\b","#E5243B",1
1,"underdevelopment","\b(\d*)underdevelopment(\d*)\b","#E5243B",1
1,"underemployed","\b(\d*)underemployed(\d*)\b","#E5243B",1
1,"underprivileged","\b(\d*)underprivileged(\d*)\b","#E5243B",1
1,"underpriviliged","\b(\d*)underpriviliged(\d*)\b","#E5243B",1
1,"underserved","\b(\d*)underserved(\d*)\b","#E5243B",1
1,"underwriting","\b(\d*)underwriting(\d*)\b","#E5243B",1
1,"unemployed","\b(\d*)unemployed(\d*)\b","#E5243B",1
1,"unemployment","\b(\d*)unemployment(\d*)\b","#E5243B",1
1,"unfunded liability","\b(\d*)unfunded liability(\d*)\b","#E5243B",1
1,"unhoused","\b(\d*)unhoused(\d*)\b","#E5243B",1
1,"uninsured","\b(\d*)uninsured(\d*)\b","#E5243B",1
1,"unsheltered","\b(\d*)unsheltered(\d*)\b","#E5243B",1
1,"untouchables","\b(\d*)untouchables(\d*)\b","#E5243B",1
1,"upward mobility","\b(\d*)upward mobility(\d*)\b","#E5243B",1
1,"veteran benefits","\b(\d*)veteran benefits(\d*)\b","#E5243B",1
1,"veteran care","\b(\d*)veteran care(\d*)\b","#E5243B",1
1,"vulnerability to climate-related","\b(\d*)vulnerability to climate-related(\d*)\b","#E5243B",1
1,"vulnerable social class","\b(\d*)vulnerable social class(\d*)\b","#E5243B",1
1,"wage","\b(\d*)wage(\d*)\b","#E5243B",1
1,"wages","\b(\d*)wages(\d*)\b","#E5243B",1
1,"wealth","\b(\d*)wealth(\d*)\b","#E5243B",1
1,"welfare","\b(\d*)welfare(\d*)\b","#E5243B",1
1,"workers compensation","\b(\d*)workers compensation(\d*)\b","#E5243B",1
2,"abattoir","\b(\d*)abattoir(\d*)\b","#DDA63A",1
2,"acreage","\b(\d*)acreage(\d*)\b","#DDA63A",1
2,"acres","\b(\d*)acres(\d*)\b","#DDA63A",1
2,"ag","\b(\d*)ag(\d*)\b","#DDA63A",1
2,"agrarian","\b(\d*)agrarian(\d*)\b","#DDA63A",1
2,"agri","\b(\d*)agri(\d*)\b","#DDA63A",1
2,"agribusiness","\b(\d*)agribusiness(\d*)\b","#DDA63A",1
2,"agricultural","\b(\d*)agricultural(\d*)\b","#DDA63A",1
2,"agricultural sciences","\b(\d*)agricultural sciences(\d*)\b","#DDA63A",1
2,"agriculture","\b(\d*)agriculture(\d*)\b","#DDA63A",1
2,"agro","\b(\d*)agro(\d*)\b","#DDA63A",1
2,"agroecology","\b(\d*)agroecology(\d*)\b","#DDA63A",1
2,"agronomist","\b(\d*)agronomist(\d*)\b","#DDA63A",1
2,"algae","\b(\d*)algae(\d*)\b","#DDA63A",1
2,"almond","\b(\d*)almond(\d*)\b","#DDA63A",1
2,"almonds","\b(\d*)almonds(\d*)\b","#DDA63A",1
2,"animal husbandry","\b(\d*)animal husbandry(\d*)\b","#DDA63A",1
2,"apiculture","\b(\d*)apiculture(\d*)\b","#DDA63A",1
2,"apple","\b(\d*)apple(\d*)\b","#DDA63A",1
2,"apples","\b(\d*)apples(\d*)\b","#DDA63A",1
2,"aquaculture","\b(\d*)aquaculture(\d*)\b","#DDA63A",1
2,"arable land","\b(\d*)arable land(\d*)\b","#DDA63A",1
2,"arid","\b(\d*)arid(\d*)\b","#DDA63A",1
2,"avocado","\b(\d*)avocado(\d*)\b","#DDA63A",1
2,"avocados","\b(\d*)avocados(\d*)\b","#DDA63A",1
2,"baby formula","\b(\d*)baby formula(\d*)\b","#DDA63A",1
2,"bakery","\b(\d*)bakery(\d*)\b","#DDA63A",1
2,"barley","\b(\d*)barley(\d*)\b","#DDA63A",1
2,"barn","\b(\d*)barn(\d*)\b","#DDA63A",1
2,"barns","\b(\d*)barns(\d*)\b","#DDA63A",1
2,"bean","\b(\d*)bean(\d*)\b","#DDA63A",1
2,"beans","\b(\d*)beans(\d*)\b","#DDA63A",1
2,"bee","\b(\d*)bee(\d*)\b","#DDA63A",1
2,"beef","\b(\d*)beef(\d*)\b","#DDA63A",1
2,"beekeepers","\b(\d*)beekeepers(\d*)\b","#DDA63A",1
2,"beekeeping","\b(\d*)beekeeping(\d*)\b","#DDA63A",1
2,"bees","\b(\d*)bees(\d*)\b","#DDA63A",1
2,"berries","\b(\d*)berries(\d*)\b","#DDA63A",1
2,"berry","\b(\d*)berry(\d*)\b","#DDA63A",1
2,"biocide","\b(\d*)biocide(\d*)\b","#DDA63A",1
2,"biological control","\b(\d*)biological control(\d*)\b","#DDA63A",1
2,"biomass","\b(\d*)biomass(\d*)\b","#DDA63A",1
2,"bioscience","\b(\d*)bioscience(\d*)\b","#DDA63A",1
2,"blackbean","\b(\d*)blackbean(\d*)\b","#DDA63A",1
2,"blackberries","\b(\d*)blackberries(\d*)\b","#DDA63A",1
2,"blackberry","\b(\d*)blackberry(\d*)\b","#DDA63A",1
2,"blueberries","\b(\d*)blueberries(\d*)\b","#DDA63A",1
2,"blueberry","\b(\d*)blueberry(\d*)\b","#DDA63A",1
2,"botany","\b(\d*)botany(\d*)\b","#DDA63A",1
2,"bread","\b(\d*)bread(\d*)\b","#DDA63A",1
2,"breakfast","\b(\d*)breakfast(\d*)\b","#DDA63A",1
2,"breeder","\b(\d*)breeder(\d*)\b","#DDA63A",1
2,"breeders","\b(\d*)breeders(\d*)\b","#DDA63A",1
2,"breeding","\b(\d*)breeding(\d*)\b","#DDA63A",1
2,"bt","\b(\d*)bt(\d*)\b","#DDA63A",1
2,"butter","\b(\d*)butter(\d*)\b","#DDA63A",1
2,"calves","\b(\d*)calves(\d*)\b","#DDA63A",1
2,"canola","\b(\d*)canola(\d*)\b","#DDA63A",1
2,"cargill","\b(\d*)cargill(\d*)\b","#DDA63A",1
2,"cashew","\b(\d*)cashew(\d*)\b","#DDA63A",1
2,"cashews","\b(\d*)cashews(\d*)\b","#DDA63A",1
2,"cattle","\b(\d*)cattle(\d*)\b","#DDA63A",1
2,"cattlemen","\b(\d*)cattlemen(\d*)\b","#DDA63A",1
2,"cereal","\b(\d*)cereal(\d*)\b","#DDA63A",1
2,"cereals","\b(\d*)cereals(\d*)\b","#DDA63A",1
2,"cheese","\b(\d*)cheese(\d*)\b","#DDA63A",1
2,"chickens","\b(\d*)chickens(\d*)\b","#DDA63A",1
2,"child development","\b(\d*)child development(\d*)\b","#DDA63A",1
2,"chocolate","\b(\d*)chocolate(\d*)\b","#DDA63A",1
2,"citrus","\b(\d*)citrus(\d*)\b","#DDA63A",1
2,"cocao","\b(\d*)cocao(\d*)\b","#DDA63A",1
2,"coconut","\b(\d*)coconut(\d*)\b","#DDA63A",1
2,"coconuts","\b(\d*)coconuts(\d*)\b","#DDA63A",1
2,"community garden","\b(\d*)community garden(\d*)\b","#DDA63A",1
2,"contaminated soil","\b(\d*)contaminated soil(\d*)\b","#DDA63A",1
2,"cooking oil","\b(\d*)cooking oil(\d*)\b","#DDA63A",1
2,"cooperative extension","\b(\d*)cooperative extension(\d*)\b","#DDA63A",1
2,"corn","\b(\d*)corn(\d*)\b","#DDA63A",1
2,"cornfields","\b(\d*)cornfields(\d*)\b","#DDA63A",1
2,"cotton","\b(\d*)cotton(\d*)\b","#DDA63A",1
2,"cow","\b(\d*)cow(\d*)\b","#DDA63A",1
2,"cows","\b(\d*)cows(\d*)\b","#DDA63A",1
2,"creamery","\b(\d*)creamery(\d*)\b","#DDA63A",1
2,"crop","\b(\d*)crop(\d*)\b","#DDA63A",1
2,"cropland","\b(\d*)cropland(\d*)\b","#DDA63A",1
2,"crops","\b(\d*)crops(\d*)\b","#DDA63A",1
2,"cultivars","\b(\d*)cultivars(\d*)\b","#DDA63A",1
2,"cultivate","\b(\d*)cultivate(\d*)\b","#DDA63A",1
2,"cultivated","\b(\d*)cultivated(\d*)\b","#DDA63A",1
2,"cultivation","\b(\d*)cultivation(\d*)\b","#DDA63A",1
2,"dairies","\b(\d*)dairies(\d*)\b","#DDA63A",1
2,"dairy","\b(\d*)dairy(\d*)\b","#DDA63A",1
2,"deforestation","\b(\d*)deforestation(\d*)\b","#DDA63A",1
2,"desertification","\b(\d*)desertification(\d*)\b","#DDA63A",1
2,"diet","\b(\d*)diet(\d*)\b","#DDA63A",1
2,"dinner","\b(\d*)dinner(\d*)\b","#DDA63A",1
2,"domesticated animal","\b(\d*)domesticated animal(\d*)\b","#DDA63A",1
2,"domesticated animals","\b(\d*)domesticated animals(\d*)\b","#DDA63A",1
2,"duck","\b(\d*)duck(\d*)\b","#DDA63A",1
2,"ducks","\b(\d*)ducks(\d*)\b","#DDA63A",1
2,"dupont","\b(\d*)dupont(\d*)\b","#DDA63A",1
2,"eat","\b(\d*)eat(\d*)\b","#DDA63A",1
2,"eating","\b(\d*)eating(\d*)\b","#DDA63A",1
2,"egg","\b(\d*)egg(\d*)\b","#DDA63A",1
2,"eggs","\b(\d*)eggs(\d*)\b","#DDA63A",1
2,"environmental studies","\b(\d*)environmental studies(\d*)\b","#DDA63A",1
2,"equine","\b(\d*)equine(\d*)\b","#DDA63A",1
2,"ewes","\b(\d*)ewes(\d*)\b","#DDA63A",1
2,"export","\b(\d*)export(\d*)\b","#DDA63A",1
2,"export subsidies","\b(\d*)export subsidies(\d*)\b","#DDA63A",1
2,"fairtrade","\b(\d*)fairtrade(\d*)\b","#DDA63A",1
2,"fallow","\b(\d*)fallow(\d*)\b","#DDA63A",1
2,"famine","\b(\d*)famine(\d*)\b","#DDA63A",1
2,"famines","\b(\d*)famines(\d*)\b","#DDA63A",1
2,"farm","\b(\d*)farm(\d*)\b","#DDA63A",1
2,"farmed","\b(\d*)farmed(\d*)\b","#DDA63A",1
2,"farmer","\b(\d*)farmer(\d*)\b","#DDA63A",1
2,"farmers","\b(\d*)farmers(\d*)\b","#DDA63A",1
2,"farmhouse","\b(\d*)farmhouse(\d*)\b","#DDA63A",1
2,"farming","\b(\d*)farming(\d*)\b","#DDA63A",1
2,"farmland","\b(\d*)farmland(\d*)\b","#DDA63A",1
2,"farmlands","\b(\d*)farmlands(\d*)\b","#DDA63A",1
2,"farms","\b(\d*)farms(\d*)\b","#DDA63A",1
2,"fed","\b(\d*)fed(\d*)\b","#DDA63A",1
2,"feeding","\b(\d*)feeding(\d*)\b","#DDA63A",1
2,"feedlot","\b(\d*)feedlot(\d*)\b","#DDA63A",1
2,"feedlots","\b(\d*)feedlots(\d*)\b","#DDA63A",1
2,"feedstock","\b(\d*)feedstock(\d*)\b","#DDA63A",1
2,"feedstocks","\b(\d*)feedstocks(\d*)\b","#DDA63A",1
2,"fertile land","\b(\d*)fertile land(\d*)\b","#DDA63A",1
2,"fertilizer","\b(\d*)fertilizer(\d*)\b","#DDA63A",1
2,"fertilizers","\b(\d*)fertilizers(\d*)\b","#DDA63A",1
2,"fish","\b(\d*)fish(\d*)\b","#DDA63A",1
2,"fisheries","\b(\d*)fisheries(\d*)\b","#DDA63A",1
2,"fishermen","\b(\d*)fishermen(\d*)\b","#DDA63A",1
2,"fishes","\b(\d*)fishes(\d*)\b","#DDA63A",1
2,"food","\b(\d*)food(\d*)\b","#DDA63A",1
2,"food-service","\b(\d*)food-service(\d*)\b","#DDA63A",1
2,"foods","\b(\d*)foods(\d*)\b","#DDA63A",1
2,"foodservice","\b(\d*)foodservice(\d*)\b","#DDA63A",1
2,"forage","\b(\d*)forage(\d*)\b","#DDA63A",1
2,"fruit","\b(\d*)fruit(\d*)\b","#DDA63A",1
2,"fruits","\b(\d*)fruits(\d*)\b","#DDA63A",1
2,"fungicide","\b(\d*)fungicide(\d*)\b","#DDA63A",1
2,"garden","\b(\d*)garden(\d*)\b","#DDA63A",1
2,"gardening","\b(\d*)gardening(\d*)\b","#DDA63A",1
2,"gene bank","\b(\d*)gene bank(\d*)\b","#DDA63A",1
2,"gene banks","\b(\d*)gene banks(\d*)\b","#DDA63A",1
2,"genetically modified crops","\b(\d*)genetically modified crops(\d*)\b","#DDA63A",1
2,"gmo","\b(\d*)gmo(\d*)\b","#DDA63A",1
2,"goat","\b(\d*)goat(\d*)\b","#DDA63A",1
2,"goats","\b(\d*)goats(\d*)\b","#DDA63A",1
2,"grain","\b(\d*)grain(\d*)\b","#DDA63A",1
2,"grains","\b(\d*)grains(\d*)\b","#DDA63A",1
2,"grape","\b(\d*)grape(\d*)\b","#DDA63A",1
2,"grapes","\b(\d*)grapes(\d*)\b","#DDA63A",1
2,"grassland","\b(\d*)grassland(\d*)\b","#DDA63A",1
2,"grasslands","\b(\d*)grasslands(\d*)\b","#DDA63A",1
2,"grazing","\b(\d*)grazing(\d*)\b","#DDA63A",1
2,"greenhouse","\b(\d*)greenhouse(\d*)\b","#DDA63A",1
2,"greenhouses","\b(\d*)greenhouses(\d*)\b","#DDA63A",1
2,"grocer","\b(\d*)grocer(\d*)\b","#DDA63A",1
2,"grocery","\b(\d*)grocery(\d*)\b","#DDA63A",1
2,"grower","\b(\d*)grower(\d*)\b","#DDA63A",1
2,"growers","\b(\d*)growers(\d*)\b","#DDA63A",1
2,"growth stunt","\b(\d*)growth stunt(\d*)\b","#DDA63A",1
2,"harvest","\b(\d*)harvest(\d*)\b","#DDA63A",1
2,"harvesting","\b(\d*)harvesting(\d*)\b","#DDA63A",1
2,"harvests","\b(\d*)harvests(\d*)\b","#DDA63A",1
2,"hay","\b(\d*)hay(\d*)\b","#DDA63A",1
2,"heifer","\b(\d*)heifer(\d*)\b","#DDA63A",1
2,"heifers","\b(\d*)heifers(\d*)\b","#DDA63A",1
2,"herd","\b(\d*)herd(\d*)\b","#DDA63A",1
