SECTION,SCHOOL,COURSE_CODE.,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE.................,...............................................................................................................................................................................................................................................................................,MODE,Link    PUBLISH?,START_TIME,END_TIME,DAYS..,TOTAL_ENR,MODALITY    ASSIGNED_ROOM,TOTAL_ENR,DEPT.OWNER.NAME....................................................................................,CAMPUS,SEATS,Beg Date..,End Date..,DEPARTMENT........................................,.........................
10238,ACAD,ACAD-189,648,2,2,Digital Toolbox: Modeling Pro,ducts II,C,Y,18:00,19:50,TH,18,IYH210,18,Jimmy Iovine and Andre Young Academy,UPC,34,3/9/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10222,ACAD,ACAD-240,1,4,4,Materials: Denim to Nanotubes,,C,Y,15:00,16:50,TH,17,IYH112,17,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10232,ACAD,ACAD-245,1,4,4,Product Design I,,C,Y,18:00,20:50,TH,28,IYH112,28,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10236,ACAD,ACAD-245,1,4,4,Product Design I,,C,N,18:00,20:50,TH,0,SKS404,0,Jimmy Iovine and Andre Young Academy,UPC,16,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10244,ACAD,ACAD-260,1,4,4,Introduction to Healthcare In,novation,CL,Y,14:00,15:50,TH,7,IYH211,7,Jimmy Iovine and Andre Young Academy,UPC,34,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10209,ACAD,ACAD-275,1,4,4,Dev I,,C,Y,14:00,16:50,TH,28,IYH210,28,Jimmy Iovine and Andre Young Academy,UPC,34,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10231,ACAD,ACAD-280,1,4,4,Designing for Experiences,,C,Y,14:00,16:50,MW,28,IYH112,28,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10206,ACAD,ACAD-307,1,4,4,Multimedia for Designers and,Entrepreneurs II,C,Y,17:00,19:50,MW,4,IYH107,4,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10233,ACAD,ACAD-309,1,4,4,Dreams and Madness: The Art o,f Japan's Golden Age of Animation,C,Y,15:30,18:50,W,92,SLH100,92,Jimmy Iovine and Andre Young Academy,UPC,95,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10239,ACAD,ACAD-324,1,4,4,The Practice of Design: Ideat,ion to Innovation,C,Y,14:00,16:50,TH,26,IYH212/213,26,Jimmy Iovine and Andre Young Academy,UPC,34,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10212,ACAD,ACAD-350,1,2,2,International Experience,,C,N,TBA,TBA,,0,,0,Jimmy Iovine and Andre Young Academy,UPC,20,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10214,ACAD,ACAD-360,1,4,4,Design Consulting: Problem So,lving for Organizations,C,Y,10:00,11:50,MW,27,IYH210,27,Jimmy Iovine and Andre Young Academy,UPC,36,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10224,ACAD,ACAD-376,1,4,4,Discerning and Making I: Conc,ept and Feasibility,C,N,15:00,16:50,TH,0,,0,Jimmy Iovine and Andre Young Academy,UPC,29,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10243,ACAD,ACAD-377,1,4,4,Discerning and Making II: Cre,ation and Implementation,C,Y,15:00,16:50,MW,33,IYH210,33,Jimmy Iovine and Andre Young Academy,UPC,34,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10217,ACAD,ACAD-419,1,2,2,Professional Internship,,C,Y,TBA,TBA,,3,OFFICE,3,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10219,ACAD,ACAD-475B,1,8,8,The Garage Experience,,C,Y,12:00,14:50,MW,29,SKS404,29,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10245,ACAD,ACAD-490,1,1,8,Directed Research,,C,N,TBA,TBA,,0,A           OFFICE,0,Jimmy Iovine and Andre Young Academy,UPC,1,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10242,ACAD,ACAD-490,1,1,8,Directed Research,,C,N,TBA,TBA,,0,A           OFFICE,0,Jimmy Iovine and Andre Young Academy,UPC,1,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10227,ACAD,ACAD-490,1,1,8,Directed Research,,C,Y,TBA,TBA,,0,OFFICE,0,Jimmy Iovine and Andre Young Academy,UPC,5,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10226,ACAD,ACAD-490,1,3,3,Directed Research,,C,Y,TBA,TBA,,0,OFFICE,0,Jimmy Iovine and Andre Young Academy,UPC,5,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10220,ACAD,ACAD-490,1,1,8,Directed Research,,C,Y,TBA,TBA,,1,OFFICE,1,Jimmy Iovine and Andre Young Academy,UPC,5,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10228,ACAD,ACAD-490,1,1,8,Directed Research,,C,Y,TBA,TBA,,1,OFFICE,1,Jimmy Iovine and Andre Young Academy,UPC,5,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10241,ACAD,ACAD-491,1,1,4,Individual Instruction,,C,N       Y,TBA,TBA,,3,OFFICE,3,Jimmy Iovine and Andre Young Academy,UPC,3,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10207,ACAD,ACAD-499,1,2,2,Special Topics,,C,Y,17:00,18:50,H,3,IYH213,3,Jimmy Iovine and Andre Young Academy,UPC,16,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10211,ACAD,ACAD-499,1,4,4,Special Topics,,C,Y,10:00,11:50,TH,11,IYH212,11,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10210,ACAD,ACAD-499,1,2,2,Special Topics,,C,Y,17:30,19:20,W,15,IYH212,15,Jimmy Iovine and Andre Young Academy,UPC,30,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10225,ACAD,ACAD-499,552,2,2,Special Topics,,C,Y,TBA,TBA,,6,OFFICE,6,Jimmy Iovine and Andre Young Academy,OFC,26,2/3/2020,5/27/2020,"Arts, Technology and the Business of Innovation",
10249,ACAD,ACAD-590,1,1,3,Directed Research,,C,Y,TBA,TBA,,0,OFFICE,0,Jimmy Iovine and Andre Young Academy,UPC,20,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
10248,ACAD,ACAD-590,1,1,3,Directed Research,,C,Y,TBA,TBA,,0,OFFICE,0,Jimmy Iovine and Andre Young Academy,UPC,20,1/13/2020,5/1/2020,"Arts, Technology and the Business of Innovation",
34053,ACAD,IDSN-505,68,0.5,0.5,Intensive,,C,Y,TBA,TBA,,22,ONLINE,22,Jimmy Iovine and Andre Young Academy,OFC,30,1/13/2020,5/2/2020,"Integrated Design, Business and Technology",
34055,ACAD,IDSN-505,558,1,1,Intensive,,C,Y,9:00,17:00,SU,25,IYH212/213,25,Jimmy Iovine and Andre Young Academy,UPC,25,2/29/2020,3/1/2020,"Integrated Design, Business and Technology",
34052,ACAD,IDSN-505,68,0.5,0.5,Intensive,,C,Y,TBA,TBA,,19,ONLINE,19,Jimmy Iovine and Andre Young Academy,OFC,30,1/13/2020,5/2/2020,"Integrated Design, Business and Technology",
34056,ACAD,IDSN-505,551,1,1,Intensive,,C,Y,9:00,17:00,SU,10,ONLINE,10,Jimmy Iovine and Andre Young Academy,OFC,10,4/4/2020,4/5/2020,"Integrated Design, Business and Technology",
34062,ACAD,IDSN-515,549,2,2,Professional Practices Reside,ntial,C,Y,9:00,17:00,MHFSU,24,OFFICE,24,Jimmy Iovine and Andre Young Academy,OFC,24,2/6/2020,2/10/2020,"Integrated Design, Business and Technology",
34063,ACAD,IDSN-515,644,2,2,Professional Practices Reside,ntial,C,Y,9:00,17:00,MHFSU,18,ONLINE,18,Jimmy Iovine and Andre Young Academy,OFC,24,4/23/2020,4/27/2020,"Integrated Design, Business and Technology",
34112,ACAD,IDSN-545,68,2,2,Integrative Project,,C,Y,19:30,20:50,W,18,ONLINE,18,Jimmy Iovine and Andre Young Academy,OFC,40,1/13/2020,5/2/2020,"Integrated Design, Business and Technology",
34193,ACAD,IDSN-590,68,1,3,Directed Research,,C,Y,TBA,TBA,,1,OFFICE,1,Jimmy Iovine and Andre Young Academy,OFC,20,1/13/2020,5/2/2020,"Integrated Design, Business and Technology",
34194,ACAD,IDSN-590,1,1,1,Directed Research,,C,N,TBA,TBA,,0,OFFICE,0,Jimmy Iovine and Andre Young Academy,UPC,5,1/13/2020,5/1/2020,"Integrated Design, Business and Technology",
34192,ACAD,IDSN-590,68,1,3,Directed Research,,C,Y,TBA,TBA,,22,OFFICE,22,Jimmy Iovine and Andre Young Academy,OFC,25,1/13/2020,5/2/2020,"Integrated Design, Business and Technology",
34196,ACAD,IDSN-599,68,3,3,Special Topics,,C,Y,17:00,19:20,T,6,ONLINE,6,Jimmy Iovine and Andre Young Academy,UPC,20,1/13/2020,5/2/2020,"Integrated Design, Business and Technology",
14002,ACCT,ACCT-410,1,4,4,Foundations of Accounting,,C,Y,10:00,11:50,TH,41,JFF240,41,Elaine and Kenneth Leventhal School of Accounting,UPC,48,1/13/2020,5/1/2020,Accounting,
14006,ACCT,ACCT-410,1,4,4,Foundations of Accounting,,C,Y,14:00,15:50,TH,41,JFF240,41,Elaine and Kenneth Leventhal School of Accounting,UPC,47,1/13/2020,5/1/2020,Accounting,
14004,ACCT,ACCT-410,1,4,4,Foundations of Accounting,,C,Y,12:00,13:50,MW,37,ACC236,37,Elaine and Kenneth Leventhal School of Accounting,UPC,39,1/13/2020,5/1/2020,Accounting,
14003,ACCT,ACCT-410,1,4,4,Foundations of Accounting,,C,Y,12:00,13:50,TH,42,JFF240,42,Elaine and Kenneth Leventhal School of Accounting,UPC,46,1/13/2020,5/1/2020,Accounting,
14005,ACCT,ACCT-410,1,4,4,Foundations of Accounting,,C,Y,14:00,15:50,MW,37,ACC236,37,Elaine and Kenneth Leventhal School of Accounting,UPC,39,1/13/2020,5/1/2020,Accounting,
14001,ACCT,ACCT-410,1,4,4,Foundations of Accounting,,C,Y,8:00,9:50,TH,34,JFF240,34,Elaine and Kenneth Leventhal School of Accounting,UPC,46,1/13/2020,5/1/2020,Accounting,
14105,ACCT,ACCT-416,431,2,2,Financial Reporting and Analy,sis,C,Y,14:00,15:50,MW,46,JFF239,46,Elaine and Kenneth Leventhal School of Accounting,UPC,48,1/13/2020,3/7/2020,Accounting,
14186,ACCT,ACCT-462,431,2,2,Detecting Fraudulent Financia,l Reporting,C,Y,16:00,17:50,TH,48,JFF236,48,Elaine and Kenneth Leventhal School of Accounting,UPC,49,1/13/2020,3/7/2020,Accounting,
14140,ACCT,ACCT-474,442,2,2,Tax Issues for Business,,C,Y,14:00,15:50,MW,16,JFF239,16,Elaine and Kenneth Leventhal School of Accounting,UPC,40,3/9/2020,5/1/2020,Accounting,
14141,ACCT,ACCT-474,442,2,2,Tax Issues for Business,,C,Y,16:00,17:50,MW,17,BRI5,17,Elaine and Kenneth Leventhal School of Accounting,UPC,39,3/9/2020,5/1/2020,Accounting,
14142,ACCT,ACCT-474,442,0,0,Tax Issues for Business,,L,Y,10:00,11:50,F,33,JFF322,33,Elaine and Kenneth Leventhal School of Accounting,UPC,45,3/9/2020,5/1/2020,Accounting,
14250,ACCT,ACCT-551T,1,3,3,Taxation of Partnerships and,S-Corps,C,Y,19:30,21:00,M,8,ACC303,8,Elaine and Kenneth Leventhal School of Accounting,UPC,30,1/13/2020,5/1/2020,Accounting,
14249,ACCT,ACCT-551T,378,3,3,Taxation of Partnerships and,S-Corps,C,Y,17:30,19:00,M,15,ONLINE,15,Elaine and Kenneth Leventhal School of Accounting,UPC,30,1/13/2020,5/1/2020,Accounting,
14280,ACCT,ACCT-568T,1,3,3,International Taxation,,C,Y,9:30,10:50,MW,22,JKP104,22,Elaine and Kenneth Leventhal School of Accounting,UPC,33,1/13/2020,5/1/2020,Accounting,
14300,ACCT,ACCT-590,1,1,4,Directed Research,,C,Y,TBA,TBA,,0,OFFICE,0,Elaine and Kenneth Leventhal School of Accounting,UPC,10,1/13/2020,5/1/2020,Accounting,
14302,ACCT,ACCT-597,1,1,5,Consulting Project in Account,ing,C,N,TBA,TBA,,0,OFFICE,0,Elaine and Kenneth Leventhal School of Accounting,UPC,99,1/13/2020,5/1/2020,Accounting,
21911,ANSC,ASCJ-200,1,4,4,Navigating Media and News in,the Digital Age,C,A       Y,14:00,15:20,TH,74,ANN L105A,74,Annenberg School for Communication and Journalism,UPC,74,1/13/2020,5/1/2020,Communication and Journalism,
21910,ANSC,ASCJ-200,1,4,4,Navigating Media and News in,the Digital Age,C,A       Y,14:00,15:20,TH,71,ANN L105A,71,Annenberg School for Communication and Journalism,UPC,74,1/13/2020,5/1/2020,Communication and Journalism,
21919,ANSC,ASCJ-200,1,0,0,Navigating Media and News in,the Digital Age,L,A       Y,10:30,11:50,H,17,ANN405,17,Annenberg School for Communication and Journalism,UPC,18,1/13/2020,5/1/2020,Communication and Journalism,
21915,ANSC,ASCJ-200,1,0,0,Navigating Media and News in,the Digital Age,L,A       Y,9:00,10:20,T,18,ANN211,18,Annenberg School for Communication and Journalism,UPC,19,1/13/2020,5/1/2020,Communication and Journalism,
21917,ANSC,ASCJ-200,1,0,0,Navigating Media and News in,the Digital Age,L,A       Y,9:00,10:20,H,18,ANN211,18,Annenberg School for Communication and Journalism,UPC,19,1/13/2020,5/1/2020,Communication and Journalism,
21913,ANSC,ASCJ-200,1,0,0,Navigating Media and News in,the Digital Age,L,A       Y,12:30,13:50,T,18,ANN408,18,Annenberg School for Communication and Journalism,UPC,19,1/13/2020,5/1/2020,Communication and Journalism,
21912,ANSC,ASCJ-200,1,0,0,Navigating Media and News in,the Digital Age,L,A       Y,16:00,17:20,T,18,ANN413,18,Annenberg School for Communication and Journalism,UPC,19,1/13/2020,5/1/2020,Communication and Journalism,
21916,ANSC,ASCJ-200,1,0,0,Navigating Media and News in,the Digital Age,L,A       Y,16:00,17:20,H,18,ANN408,18,Annenberg School for Communication and Journalism,UPC,19,1/13/2020,5/1/2020,Communication and Journalism,
21918,ANSC,ASCJ-200,1,0,0,Navigating Media and News in,the Digital Age,L,A       Y,12:30,13:50,H,20,ANN308,20,Annenberg School for Communication and Journalism,UPC,20,1/13/2020,5/1/2020,Communication and Journalism,
21914,ANSC,ASCJ-200,1,0,0,Navigating Media and News in,the Digital Age,L,A       Y,16:00,17:20,T,18,ANN308,18,Annenberg School for Communication and Journalism,UPC,18,1/13/2020,5/1/2020,Communication and Journalism,
21920,ANSC,ASCJ-210,1,4,4,Contours of Change in Media a,nd Communication,C,B       Y,11:00,12:20,TH,51,ANN L101,51,Annenberg School for Communication and Journalism,UPC,51,1/13/2020,5/1/2020,Communication and Journalism,
21921,ANSC,ASCJ-210,1,0,0,Contours of Change in Media a,nd Communication,D,B       Y,10:00,10:50,W,25,ANN L115,25,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication and Journalism,
21922,ANSC,ASCJ-210,1,0,0,Contours of Change in Media a,nd Communication,D,B       Y,11:00,11:50,W,26,ANN L115,26,Annenberg School for Communication and Journalism,UPC,26,1/13/2020,5/1/2020,Communication and Journalism,
21950,ANSC,ASCJ-420,1,4,4,Annenberg Collaboratory,,C,Y,17:00,19:50,M,13,ANN209,13,Annenberg School for Communication and Journalism,UPC,15,1/13/2020,5/1/2020,Communication and Journalism,
21701,ANSC,CMGT-500,169,4,4,Managing Communication,,C,Y,TBA,TBA,,31,A           ONLINE,31,Annenberg School for Communication and Journalism,OFC,90,1/8/2020,4/21/2020,Communication Management,
21704,ANSC,CMGT-501,1,4,4,Communication Management Pro-,Seminar,C,Y,15:30,18:20,H,39,ANN L101,39,Annenberg School for Communication and Journalism,UPC,45,1/13/2020,5/1/2020,Communication Management,
21702,ANSC,CMGT-501,1,4,4,Communication Management Pro-,Seminar,C,Y,14:00,16:50,T,42,ASC204,42,Annenberg School for Communication and Journalism,UPC,45,1/13/2020,5/1/2020,Communication Management,
21703,ANSC,CMGT-501,1,4,4,Communication Management Pro-,Seminar,C,Y,18:30,21:20,T,42,ASC204,42,Annenberg School for Communication and Journalism,UPC,45,1/13/2020,5/1/2020,Communication Management,
21706,ANSC,CMGT-503,1,4,4,Strategic Communication Consu,lting,C,Y,18:30,21:20,W,15,ASC204,15,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21708,ANSC,CMGT-505,1,4,4,Communication in Work Setting,s,C,Y,18:00,20:50,W,17,ASC328,17,Annenberg School for Communication and Journalism,UPC,20,1/13/2020,5/1/2020,Communication Management,
21712,ANSC,CMGT-508,1,4,4,Communicating Strategy and Ch,ange,C,Y,18:30,21:20,H,20,ANN209,20,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21713,ANSC,CMGT-508,169,4,4,Communicating Strategy and Ch,ange,C,Y,TBA,TBA,,59,A           ONLINE,59,Annenberg School for Communication and Journalism,OFC,80,1/8/2020,4/21/2020,Communication Management,
21717,ANSC,CMGT-510,169,4,4,"Communication, Values, Attitu",des and Behavior,C,Y,TBA,TBA,,36,A           ONLINE,36,Annenberg School for Communication and Journalism,OFC,80,1/8/2020,4/21/2020,Communication Management,
21715,ANSC,CMGT-510,1,4,4,"Communication, Values, Attitu",des and Behavior,C,Y,14:00,16:50,M,7,ASC240,7,Annenberg School for Communication and Journalism,UPC,24,1/13/2020,5/1/2020,Communication Management,
21720,ANSC,CMGT-514,1,4,4,Analytical Tools for Communic,ation Decisions,C,Y,14:00,16:50,M,20,ASC328,20,Annenberg School for Communication and Journalism,UPC,20,1/13/2020,5/1/2020,Communication Management,
21721,ANSC,CMGT-515,1,4,4,Innovation and the Informatio,n Economy,C,Y,14:00,16:50,M,21,ANN L115,21,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21722,ANSC,CMGT-520,1,4,4,Social Roles of Communication,Media,C,Y,18:30,21:20,T,10,ASC G34,10,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21723,ANSC,CMGT-528,1,4,4,Web Strategies for Organizati,ons,C,Y,18:30,21:20,W,30,ANN L116,30,Annenberg School for Communication and Journalism,UPC,30,1/13/2020,5/1/2020,Communication Management,
21724,ANSC,CMGT-529,1,4,4,Social Media Entertainment: C,"reator Industry, Management and",C,Y,18:30,21:20,H,19,ASC228,19,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21725,ANSC,CMGT-531,1,4,4,Communication and the Interna,tional Economy,C,Y,15:30,18:20,T,10,ASC228,10,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21732,ANSC,CMGT-537,1,4,4,"The Industry, Science and Cul",ture of Video Games,C,Y,17:00,19:50,M,24,ANN309,24,Annenberg School for Communication and Journalism,UPC,26,1/13/2020,5/1/2020,Communication Management,
21735,ANSC,CMGT-540,169,4,4,Uses of Communication Researc,h,C,Y,TBA,TBA,,26,A           ONLINE,26,Annenberg School for Communication and Journalism,OFC,90,1/8/2020,4/21/2020,Communication Management,
21737,ANSC,CMGT-541,169,4,4,Integrated Communication Stra,tegies,C,Y,TBA,TBA,,52,A           ONLINE,52,Annenberg School for Communication and Journalism,OFC,80,1/8/2020,4/21/2020,Communication Management,
21758,ANSC,CMGT-544,1,4,4,Creating Organizational Ident,ity: Meaning Through Messages,C,Y,18:30,21:20,T,22,ASC328,22,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21761,ANSC,CMGT-546,1,4,4,Sports Media and Society,,C,Y,18:30,21:20,T,10,ANN209,10,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21766,ANSC,CMGT-551,1,4,4,Communicating Entertainment M,edia Identities,C,Y,18:30,21:20,W,21,ASC231,21,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21769,ANSC,CMGT-553,1,4,4,Marketing Communication Theor,y and Application,C,Y,17:30,20:20,M,22,ASC331,22,Annenberg School for Communication and Journalism,UPC,22,1/13/2020,5/1/2020,Communication Management,
21771,ANSC,CMGT-555,1,4,4,Online Marketing Communicatio,n Development and Analysis,C,Y,18:30,21:20,H,18,ASC204,18,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21773,ANSC,CMGT-556,1,4,4,Global Marketing Communicatio,n,C,Y,14:00,16:50,H,22,ANN L116,22,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21782,ANSC,CMGT-564,1,4,4,Methodological Fundamentals o,f Big Data in Communication,C,Y,15:30,18:20,W,19,ANN L115,19,Annenberg School for Communication and Journalism,UPC,21,1/13/2020,5/1/2020,Communication Management,
21792,ANSC,CMGT-574,1,4,4,Tele-Media: Strategic and Cri,tical Analysis,C,Y,18:30,21:20,M,21,ASC228,21,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21796,ANSC,CMGT-578,1,4,4,Non-profit Advocacy,,C,Y,18:30,21:20,M,19,ANN L101,19,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21804,ANSC,CMGT-586,1,4,4,"Entertainment Media: Content,","Theory, and Industry Practices",C,Y,18:30,21:20,W,17,ASC331,17,Annenberg School for Communication and Journalism,UPC,21,1/13/2020,5/1/2020,Communication Management,
21805,ANSC,CMGT-587,1,4,4,Audience Analysis,,C,Y,18:30,21:20,M,25,ASC328,25,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21809,ANSC,CMGT-590,1,2,2,Directed Research,,C,Y,18:30,20:10,T,20,ANN210,20,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21814,ANSC,CMGT-590,1,1,12,Directed Research,,C,Y,TBA,TBA,,2,OFFICE,2,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21810,ANSC,CMGT-590,1,1,12,Directed Research,,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21812,ANSC,CMGT-590,1,1,12,Directed Research,,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21811,ANSC,CMGT-590,1,1,12,Directed Research,,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21813,ANSC,CMGT-590,1,1,12,Directed Research,,C,Y,TBA,TBA,,3,OFFICE,3,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21826,ANSC,CMGT-591,1,1,1,Communication Internship,,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21822,ANSC,CMGT-591,1,1,1,Communication Internship,,C,Y,TBA,TBA,,3,OFFICE,3,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21824,ANSC,CMGT-591,1,1,1,Communication Internship,,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21823,ANSC,CMGT-591,1,1,1,Communication Internship,,C,Y,TBA,TBA,,6,OFFICE,6,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
21821,ANSC,CMGT-591,1,1,1,Communication Internship,,C,Y,TBA,TBA,,28,OFFICE,28,Annenberg School for Communication and Journalism,UPC,50,1/13/2020,5/1/2020,Communication Management,
21825,ANSC,CMGT-591,1,1,1,Communication Internship,,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,UPC,25,1/13/2020,5/1/2020,Communication Management,
