SECTION,SCHOOL,COURSE_CODE.,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE................................................................................................................................................................................................................................................................................................,MODE,Link    PUBLISH?,START_TIME,END_TIME,DAYS..,TOTAL_ENR,MODALITY    ASSIGNED_ROOM,TOTAL_ENR,DEPT.OWNER.NAME...................................,.................................................,CAMPUS,SEATS,Beg Date..,End Date..,DEPARTMENT.................................................................
34187,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,0,ONLINE,0,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34183,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,0,ONLINE,0,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34182,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,0,ONLINE,0,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34186,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,1,ONLINE,1,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34188,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,0,ONLINE,0,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34184,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,7,ONLINE,7,Jimmy Iovine and Andre Young Academy,,OFC,8,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34193,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,7,ONLINE,7,Jimmy Iovine and Andre Young Academy,,OFC,10,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34191,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,2,ONLINE,2,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34190,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,4,ONLINE,4,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34192,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,0,ONLINE,0,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34189,ACAD,IDSN-590,68,1,3,Directed Research,C,Y,TBA,TBA,,0,ONLINE,0,Jimmy Iovine and Andre Young Academy,,OFC,5,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34194,ACAD,IDSN-599,68,2,2,Special Topics,C,Y,10:00,12:05,S,19,ONLINE,19,Jimmy Iovine and Andre Young Academy,,OFC,22,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34198,ACAD,IDSN-599,68,2,2,Special Topics,C,Y,19:30,21:35,H,19,ONLINE,19,Jimmy Iovine and Andre Young Academy,,OFC,20,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
34196,ACAD,IDSN-599,68,2,2,Special Topics,C,Y,18:00,20:05,M,16,ONLINE,16,Jimmy Iovine and Andre Young Academy,,OFC,20,5/18/2020,8/8/2020,"Integrated Design, Business and Technology"
14271,ACCT,ACCT-561T,378,3,3,Income Tax of Corporations and Their Shareholders,C,Y,17:30,18:50,W,13,ONLINE,13,Elaine and Kenneth Leventhal School of Accounting,,UPC,30,5/18/2020,8/5/2020,Accounting
14281,ACCT,ACCT-568T,378,3,3,International Taxation,C,Y,17:30,18:50,H,7,ONLINE,7,Elaine and Kenneth Leventhal School of Accounting,,UPC,30,5/18/2020,8/5/2020,Accounting
14317,ACCT,ACCT-590,934,3,3,Directed Research,C,Y,TBA,TBA,,0,TBA,0,Elaine and Kenneth Leventhal School of Accounting,,UPC,20,7/6/2020,7/27/2020,Accounting
14319,ACCT,ACCT-590,934,1,4,Directed Research,C,N,TBA,TBA,,1,OFFICE,1,Elaine and Kenneth Leventhal School of Accounting,,UPC,20,7/6/2020,7/27/2020,Accounting
21701,ANSC,CMGT-500,169,4,4,Managing Communication,C,Y,TBA,TBA,,28,A           ONLINE,28,Annenberg School for Communication and Journalism,,OFC,90,5/6/2020,8/18/2020,Communication Management
21707,ANSC,CMGT-502,169,4,4,Strategic Corporate Communication,C,Y,TBA,TBA,,49,A           ONLINE,49,Annenberg School for Communication and Journalism,,OFC,80,5/6/2020,8/18/2020,Communication Management
21753,ANSC,CMGT-540,169,4,4,Uses of Communication Research,C,Y,TBA,TBA,,32,A           ONLINE,32,Annenberg School for Communication and Journalism,,OFC,90,5/6/2020,8/18/2020,Communication Management
21754,ANSC,CMGT-541,59,4,4,Integrated Communication Strategies,C,Y,18:00,22:10,T,21,ONLINE,21,Annenberg School for Communication and Journalism,,UPC,21,5/20/2020,8/11/2020,Communication Management
21772,ANSC,CMGT-555,169,4,4,Online Marketing Communication Development and Analysis,C,Y,TBA,TBA,,68,A           ONLINE,68,Annenberg School for Communication and Journalism,,OFC,80,5/6/2020,8/18/2020,Communication Management
21775,ANSC,CMGT-556,951,4,4,Global Marketing Communication,C,Y,TBA,TBA,,19,ONLINE,19,Annenberg School for Communication and Journalism,,UPC,24,5/20/2020,8/18/2020,Communication Management
21774,ANSC,CMGT-556,169,4,4,Global Marketing Communication,C,Y,TBA,TBA,,34,A           ONLINE,34,Annenberg School for Communication and Journalism,,OFC,80,5/6/2020,8/18/2020,Communication Management
21786,ANSC,CMGT-568,59,4,4,Influencer Strategies,C,Y,18:00,22:10,W,23,ONLINE,23,Annenberg School for Communication and Journalism,,UPC,31,5/20/2020,8/11/2020,Communication Management
21802,ANSC,CMGT-584,59,4,4,Communication and the Multicultural Marketplace,C,Y,18:00,22:10,M,21,ONLINE,21,Annenberg School for Communication and Journalism,,UPC,23,5/20/2020,8/11/2020,Communication Management
21809,ANSC,CMGT-590,51,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,25,7/1/2020,8/11/2020,Communication Management
21810,ANSC,CMGT-590,51,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,25,7/1/2020,8/11/2020,Communication Management
21812,ANSC,CMGT-590,59,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,25,5/20/2020,8/11/2020,Communication Management
21813,ANSC,CMGT-590,59,1,12,Directed Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,25,5/20/2020,8/11/2020,Communication Management
21826,ANSC,CMGT-591,59,1,1,Communication Internship,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,20,5/20/2020,8/11/2020,Communication Management
21822,ANSC,CMGT-591,51,1,1,Communication Internship,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,20,7/1/2020,8/11/2020,Communication Management
21824,ANSC,CMGT-591,59,1,1,Communication Internship,C,Y,TBA,TBA,,5,OFFICE,5,Annenberg School for Communication and Journalism,,UPC,20,5/20/2020,8/11/2020,Communication Management
21823,ANSC,CMGT-591,59,1,1,Communication Internship,C,Y,TBA,TBA,,3,OFFICE,3,Annenberg School for Communication and Journalism,,UPC,20,5/20/2020,8/11/2020,Communication Management
21821,ANSC,CMGT-591,51,1,1,Communication Internship,C,Y,TBA,TBA,,2,OFFICE,2,Annenberg School for Communication and Journalism,,UPC,50,7/1/2020,8/11/2020,Communication Management
21825,ANSC,CMGT-591,59,1,1,Communication Internship,C,Y,TBA,TBA,,3,OFFICE,3,Annenberg School for Communication and Journalism,,UPC,50,5/20/2020,8/11/2020,Communication Management
21837,ANSC,CMGT-597A,169,2,2,Communication Research Practicum,C,Y,TBA,TBA,,2,A           ONLINE,2,Annenberg School for Communication and Journalism,,OFC,20,5/6/2020,8/18/2020,Communication Management
21842,ANSC,CMGT-597B,169,2,2,Communication Research Practicum,C,Y,TBA,TBA,,4,A           ONLINE,4,Annenberg School for Communication and Journalism,,OFC,20,5/6/2020,8/18/2020,Communication Management
20374,ANSC,COMM-204,50,4,4,Public Speaking,C,Y,9:30,12:20,MWF,12,ONLINE,12,Annenberg School for Communication and Journalism,,UPC,19,5/20/2020,6/30/2020,Communication
20388,ANSC,COMM-206,51,4,4,Communication and Culture,CD,Y,9:30,13:40,TH,18,ONLINE,18,Annenberg School for Communication and Journalism,,UPC,25,7/1/2020,8/11/2020,Communication
20402,ANSC,COMM-209,50,4,4,Communication and Media Economics,CD,Y,9:30,13:40,TH,19,ONLINE,19,Annenberg School for Communication and Journalism,,UPC,20,5/20/2020,6/30/2020,Communication
20458,ANSC,COMM-301,50,4,4,Empirical Research in Communication,CL,Y,9:30,13:40,TH,21,ONLINE,21,Annenberg School for Communication and Journalism,,UPC,25,5/20/2020,6/30/2020,Communication
20510,ANSC,COMM-322,51,4,4,Argumentation and Advocacy,C,Y,9:30,12:20,MWF,12,ONLINE,12,Annenberg School for Communication and Journalism,,UPC,25,7/1/2020,8/11/2020,Communication
20540,ANSC,COMM-339,51,4,4,Communication Technology and Culture,C,Y,9:30,13:40,TH,7,ONLINE,7,Annenberg School for Communication and Journalism,,UPC,25,7/1/2020,8/11/2020,Communication
20541,ANSC,COMM-340,51,4,4,The Cultures of New Media,C,Y,13:00,15:50,MWF,19,ONLINE,19,Annenberg School for Communication and Journalism,,UPC,19,7/1/2020,8/11/2020,Communication
20628,ANSC,COMM-412,50,4,4,Communication and Social Movements,C,Y,13:00,15:50,MWF,22,ONLINE,22,Annenberg School for Communication and Journalism,,UPC,25,5/20/2020,6/30/2020,Communication
20672,ANSC,COMM-457,51,4,4,Youth and Media,C,Y,13:00,15:50,MWF,6,ONLINE,6,Annenberg School for Communication and Journalism,,UPC,25,7/1/2020,8/11/2020,Communication
20707,ANSC,COMM-490,59,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,10,5/20/2020,8/11/2020,Communication
20705,ANSC,COMM-490,51,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,10,7/1/2020,8/11/2020,Communication
20708,ANSC,COMM-490,59,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,10,5/20/2020,8/11/2020,Communication
20706,ANSC,COMM-490,51,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,10,7/1/2020,8/11/2020,Communication
20740,ANSC,COMM-494,59,2,4,Research Practicum,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,20,5/20/2020,8/11/2020,Communication
20741,ANSC,COMM-494,59,2,4,Research Practicum,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,20,5/20/2020,8/11/2020,Communication
20738,ANSC,COMM-494,51,2,4,Research Practicum,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,20,7/1/2020,8/11/2020,Communication
20739,ANSC,COMM-494,51,2,4,Research Practicum,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,20,7/1/2020,8/11/2020,Communication
20864,ANSC,COMM-590,51,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20866,ANSC,COMM-590,59,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20865,ANSC,COMM-590,51,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20867,ANSC,COMM-590,59,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20962,ANSC,COMM-675,59,1,4,Independent Study,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Communication
20960,ANSC,COMM-675,59,1,4,Independent Study,C,Y,TBA,TBA,,2,OFFICE,2,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Communication
20961,ANSC,COMM-675,59,1,4,Independent Study,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Communication
20973,ANSC,COMM-790,59,1,12,Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20977,ANSC,COMM-790,59,1,12,Research,C,Y,TBA,TBA,,2,OFFICE,2,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20971,ANSC,COMM-790,51,1,12,Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20975,ANSC,COMM-790,59,1,12,Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20974,ANSC,COMM-790,59,1,12,Research,C,Y,TBA,TBA,,2,OFFICE,2,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20970,ANSC,COMM-790,51,1,12,Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20972,ANSC,COMM-790,51,1,12,Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20976,ANSC,COMM-790,59,1,12,Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20969,ANSC,COMM-790,51,1,12,Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20967,ANSC,COMM-790,59,1,12,Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20966,ANSC,COMM-790,59,1,12,Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20968,ANSC,COMM-790,51,1,12,Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20979,ANSC,COMM-794A,59,2,2,Doctoral Dissertation,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20978,ANSC,COMM-794A,51,2,2,Doctoral Dissertation,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20981,ANSC,COMM-794B,59,2,2,Doctoral Dissertation,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20980,ANSC,COMM-794B,51,2,2,Doctoral Dissertation,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20983,ANSC,COMM-794C,59,2,2,Doctoral Dissertation,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20982,ANSC,COMM-794C,51,2,2,Doctoral Dissertation,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20985,ANSC,COMM-794D,59,2,2,Doctoral Dissertation,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20984,ANSC,COMM-794D,51,2,2,Doctoral Dissertation,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
20987,ANSC,COMM-794Z,59,0,0,Doctoral Dissertation,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Communication
20986,ANSC,COMM-794Z,51,0,0,Doctoral Dissertation,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Communication
21890,ANSC,DSM-596,59,4,4,Final Project Capstone,C,Y,18:00,22:10,T,4,ONLINE,4,Annenberg School for Communication and Journalism,,UPC,25,5/20/2020,8/11/2020,Digital Social Media
21004,ANSC,JOUR-205,50,1,2,Journalism Practicum,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,6/30/2020,Journalism
21009,ANSC,JOUR-205,59,1,2,Journalism Practicum,C,Y,TBA,TBA,,5,OFFICE,5,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Journalism
21005,ANSC,JOUR-205,51,1,2,Journalism Practicum,C,Y,TBA,TBA,,11,OFFICE,11,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Journalism
21049,ANSC,JOUR-490,50,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,6/30/2020,Journalism
21048,ANSC,JOUR-490,51,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,7/1/2020,8/11/2020,Journalism
21055,ANSC,JOUR-528,757,3,3,Summer Digital Journalism Immersion,C,Y,9:00,13:00,MWF,12,ONLINE,12,Annenberg School for Communication and Journalism,,UPC,16,7/20/2020,8/14/2020,Journalism
21056,ANSC,JOUR-528,757,3,3,Summer Digital Journalism Immersion,C,Y,9:00,13:00,MWF,11,ONLINE,11,Annenberg School for Communication and Journalism,,UPC,16,7/20/2020,8/14/2020,Journalism
21025,ANSC,JOUR-546,955,2,2,"News, Numbers and Introduction to Data Journalism",C,Y,18:00,21:20,MWF,13,ONLINE,13,Annenberg School for Communication and Journalism,,UPC,16,6/29/2020,7/17/2020,Journalism
21040,ANSC,JOUR-560,955,2,2,Seminar in Mass Communication Law,C,Y,10:00,13:20,MWF,9,ONLINE,9,Annenberg School for Communication and Journalism,,UPC,16,6/29/2020,7/17/2020,Journalism
21038,ANSC,JOUR-560,955,2,2,Seminar in Mass Communication Law,C,Y,10:00,13:20,THF,11,ONLINE,11,Annenberg School for Communication and Journalism,,UPC,16,6/29/2020,7/17/2020,Journalism
21130,ANSC,JOUR-579,59,1,1,Journalism Internship,C,Y,TBA,TBA,,2,OFFICE,2,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Journalism
21131,ANSC,JOUR-579,51,1,1,Journalism Internship,C,Y,TBA,TBA,,3,OFFICE,3,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Journalism
21139,ANSC,JOUR-590,57,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,7/28/2020,Journalism
21444,ANSC,JOUR-590,773,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,6/29/2020,8/14/2020,Journalism
21142,ANSC,JOUR-590,51,1,12,Directed Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,12,7/1/2020,8/11/2020,Journalism
21141,ANSC,JOUR-590,50,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,6/30/2020,Journalism
21143,ANSC,JOUR-590,59,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Journalism
21174,ANSC,JOUR-594A,59,2,2,Master's Thesis,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Journalism
21173,ANSC,JOUR-594A,59,2,2,Master's Thesis,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Journalism
21178,ANSC,JOUR-594B,59,2,2,Master's Thesis,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Journalism
21177,ANSC,JOUR-594B,59,2,2,Master's Thesis,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Journalism
21180,ANSC,JOUR-594Z,59,0,0,Master's Thesis,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Journalism
21181,ANSC,JOUR-594Z,59,0,0,Master's Thesis,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Journalism
21047,ANSC,PR-490,51,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,10,7/1/2020,8/11/2020,Public Relations
21045,ANSC,PR-490,714,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,6/15/2020,8/11/2020,Public Relations
21046,ANSC,PR-490,50,1,8,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,10,5/20/2020,6/30/2020,Public Relations
21062,ANSC,PR-536,57,3,3,"Digital, Social and Mass Media Public Relations Strategies",C,Y,18:00,21:45,M,23,ONLINE,23,Annenberg School for Communication and Journalism,,UPC,23,5/20/2020,7/28/2020,Public Relations
21061,ANSC,PR-539,57,3,3,Lifestyle Public Relations Audience Engagement,C,Y,18:00,21:45,H,14,ONLINE,14,Annenberg School for Communication and Journalism,,UPC,18,5/20/2020,7/28/2020,Public Relations
21193,ANSC,PR-562,169,4,4,Foundations of Effective PR Writing,C,Y,TBA,TBA,,22,A           ONLINE,22,Annenberg School for Communication and Journalism,,OFC,80,5/6/2020,8/18/2020,Public Relations
21150,ANSC,PR-590,420,1,12,Directed Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,12,6/8/2020,8/10/2020,Public Relations
21144,ANSC,PR-590,714,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,6/15/2020,8/11/2020,Public Relations
21148,ANSC,PR-590,57,1,12,Directed Research,C,Y,TBA,TBA,,2,OFFICE,2,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,7/28/2020,Public Relations
21146,ANSC,PR-590,50,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,6/30/2020,Public Relations
21149,ANSC,PR-590,57,1,12,Directed Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,7/28/2020,Public Relations
21145,ANSC,PR-590,59,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Public Relations
21147,ANSC,PR-590,51,1,12,Directed Research,C,Y,TBA,TBA,,1,OFFICE,1,Annenberg School for Communication and Journalism,,UPC,12,7/1/2020,8/11/2020,Public Relations
21175,ANSC,PR-594A,59,2,2,Master's Thesis,C,Y,TBA,TBA,,2,OFFICE,2,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Public Relations
21179,ANSC,PR-594B,59,2,2,Master's Thesis,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Public Relations
21182,ANSC,PR-594Z,59,0,0,Master's Thesis,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,12,5/20/2020,8/11/2020,Public Relations
52880,ANSC,PUBD-590,51,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,7/1/2020,8/11/2020,Public Diplomacy
52882,ANSC,PUBD-590,59,1,12,Directed Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,15,5/20/2020,8/11/2020,Public Diplomacy
52887,ANSC,PUBD-596,59,4,4,Practicum in Public Diplomacy Research,C,Y,TBA,TBA,,0,OFFICE,0,Annenberg School for Communication and Journalism,,UPC,25,5/20/2020,8/11/2020,Public Diplomacy
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
