"courseID","course_title","semester","section","course_desc","department","N.Sections","year"
"ARCH-606","Advanced Architectural Theory","SU18",11290,"Advanced Architectural Theory - Interrogates the architectural and cultural landscape of our contemporary cities through a combination of lectures and seminars on theories of place, identity, aesthetics, and technology.","ARCH",1,"AY19"
"ARCH-607","Advanced Computation","SU18",11291,"Advanced Computation - Introduction to a range of new technologies and techniques examining their technical and theoretical implications including advanced computational design techniques and geospatial design tools.","ARCH",1,"AY19"
"ARCH-608","Urban Theory: Los Angeles Case Study","SU18",11292,"Urban Theory: Los Angeles Case Study - Critically investigates the urban condition of Los Angeles through lectures, readings, and field visits. Aims to heighten awareness of the entwinement of environment, culture, architecture and the contemporary city.","ARCH",1,"AY19"
"ARCH-609","Advanced Fabrication","SU18",11293,"Advanced Fabrication - Introduction to a range of new technologies and techniques examining technical and theoretical implications including a range of digital fabrication technologies, robotics and film-making techniques.","ARCH",1,"AY19"
"ARCH-702","Advanced Graduate Architecture Design- Themes","SU18",11294,"Advanced Graduate Architecture Design- Themes - Advanced thematic topical investigations emphasizing diverse areas of specialization. Projects will be faculty-led research investigations that concentrate on diverse areas of vital concern.","ARCH",1,"AY19"
"ARCH-705","Advanced Graduate Architecture Design- Topics","SU18",11212,"Advanced Graduate Architecture Design- Topics - Advanced topical investigations emphasizing diverse areas of specialization. Projects will be faculty-led research investigations that concentrate on diverse areas of vital concern. Prerequisite: ARCH 605bL or ARCH 702L. Open only to Architecture majors.","ARCH",3,"AY19"
"ART-419","Professional Internship in the Arts","SU18",33292,"Professional Internship in the Arts - An experiential/academic opportunity in a museum, gallery, community cultural center, or related facility. Lectures, seminars, written analysis, and working internship.","ART",1,"AY19"
"ART-530","Global Art Seminar: the Globalization of Art and Culture","SU18",33326,"Global Art Seminar: the Globalization of Art and Culture - An examination of the emergence of the idea of globalism through the lens of art practice and theory.","ART",1,"AY19"
"ASTE-585","Spacecraft Attitude Control","SU18",29149,"Spacecraft Attitude Control - Review of attitude dynamics, gravity gradient stabilization,;attitude stabilization with a spin, attitude maneuvers, control;using momentum exchange devices, momentum-biased stabilization,;reaction thruster control. Recommended preparation: a course in;dynamics","ASTE",2,"AY19"
"ASTR-100","The Universe","SU18",50800,"The Universe - Survey of the universe: planets, satellites, comets, stars, nebulae, galaxies. Practical component includes planetary observations and dark-sky field trip. Not available for major credit.","ASTR",6,"AY19"
"BAEP-553","Cases in New Venture Management","SU18",14410,"Cases in New Venture Management - Cases and readings expose students to the challenges of developing long-range strategies for entrepreneurial ventures. Case work emphasizes developing new industries, growth through strategic alliances, and issues involved in the long-term strategic positioning of emerging companies.","BAEP",1,"AY19"
"BAEP-591","Social Entrepreneurship","SU18",14400,"Social Entrepreneurship - Lead and manage with entrepreneurial methodology for charities, non-government organizations, social oriented enterprises and not for profit organizations. Online registration open only to graduate business and accounting students.","BAEP",1,"AY19"
"BAEP-593","Independent Research in Business Entrepreneurship","SU18",14448,"Independent Research in Business Entrepreneurship - Independent research beyond normal course offerings. Proposal, research and written report/paper required.","BAEP",2,"AY19"
"BISC-120","General Biology: Organismal Biology and Evolution","SU18",13004,"General Biology: Organismal Biology and Evolution - In-depth survey of key topics related to advances in our knowledge of the diversity of life and evolution; origin of life; eukaryotes/prokaryotes; ecology.","BISC",2,"AY19"
"BISC-220","General Biology: Cell Biology and Physiology","SU18",13012,"General Biology: Cell Biology and Physiology - In-depth survey of key topics related to advances in our knowledge of cellular biology and physiology; cell composition/metabolism; gene action; organism structure and function. Recommended preparation: high school chemistry; BISC 120L or BISC 121L.","BISC",2,"AY19"
"BISC-428","The Biology of Tropical Diseases","SU18",13428,"The Biology of Tropical Diseases - Biological and biochemical approaches to the prevention and treatment of infectious and chronic tropical diseases. Course is offered off campus and Summer only.","BISC",1,"AY19"
"BKN-559","Readings in Biokinesiology","SU18",12406,"Readings in Biokinesiology - Independent review and synthesis of papers appearing in the;current literature.","BKN",1,"AY19"
"BME-590","Directed Research","SU18",29204,"Directed Research - Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","BME",1,"AY19"
"BUAD-280","Introduction to Financial Accounting","SU18",14510,"Introduction to Financial Accounting - Emphasis on understanding financial statements and the impact of business transactions on information presented to management and interested stakeholders. Duplicates credit in BUAD 250a, BUAD 250b, BUAD 285a, BUAD 286a, BUAD 286b, BUAD 305.","BUAD",1,"AY19"
"BUAD-281","Introduction to Managerial Accounting","SU18",14518,"Introduction to Managerial Accounting - An emphasis on how accounting information, combined with a variety of techniques and best practices, supports enhanced management decision making. Duplicates credit in BUAD 285a, BUAD 285b, BUAD 286b, BUAD 305.","BUAD",1,"AY19"
"BUAD-302","Communication Strategy in Business","SU18",14677,"Communication Strategy in Business - Theory, practice, and techniques of business communication;strategy essential to external and organizational communication;;group and interpersonal communication; development of skill in;oral and written communication.","BUAD",1,"AY19"
"BUAD-304","Organizational Behavior and Leadership","SU18",14717,"Organizational Behavior and Leadership - The role of leadership in business organizations; concepts and skills for managing oneself and others.","BUAD",1,"AY19"
"BUAD-306","Business Finance","SU18",14780,"Business Finance - Financial problems of business enterprise; function of financial manager; sources of funds; instruments, institutions, and practices of finance; problems of financial management using case studies. Prerequisites: ACCT 410 or BUAD 280 or BUAD 285a or BUAD 286b or BUAD 305 and ECON 351. Duplicates credit in BUAD 215x.","BUAD",2,"AY19"
"BUAD-307","Marketing Fundamentals","SU18",14800,"Marketing Fundamentals - Develops a managerial viewpoint in planning and evaluating marketing decisions of the firm: products, pricing, channels, promotion, information processing, legal implications, and marketing in contemporary society. Duplicates credit in MKT-385.","BUAD",1,"AY19"
"BUAD-310","Applied Business Statistics","SU18",14884,"Applied Business Statistics - Statistical methods for business analysis; data exploration and description; sampling distributions; estimation; hypothesis testing, simple and multiple regression; model building. Extensive computer applications. (Duplicates credit in ITP 251)","BUAD",1,"AY19"
"BUAD-311","Operations Management","SU18",14922,"Operations Management - Fundamentals of operations management. Skills needed to analyze,;manage, and improve business processes. Topics include: process,;capacity, service, and inventory management and optimization.;Duplicates credit in BUAD 311T.","BUAD",1,"AY19"
"BUAD-425","Data Analysis for Decision Making","SU18",15052,"Data Analysis for Decision Making - Leveraging large corporate datasets; slice and dice data; dash boards; data mining and statistical tools; neural network; multiple and logistic regression; decision tree; gain inference and decision making; clustering.","BUAD",1,"AY19"
"BUAD-495","Practicum in Business Issues (Internship)","SU18",15082,"Practicum in Business Issues (Internship) - Combined classroom discussion and structured, supervised field application of business theories and practices within a part-time employment context. Open only to: Freshmen, Sophomore, Junior, Senior. Graded CR/NC.","BUAD",4,"AY19"
"BUAD-497","Strategic Management","SU18",15092,"Strategic Management - Examination of managerial decision-making, planning, and policy under changing environments; readings, cases, exercises, simulations.","BUAD",1,"AY19"
"BUCO-552","Defining and Communicating Your Professional Value","SU18",15155,"Defining and Communicating Your Professional Value - Understand how to define and communicate your individual professional identity and value to employers across diverse professional fields using specialized applied tools.","BUCO",1,"AY19"
"BUCO-637","Communication for Doctoral Students: Succeeding;as a Teacher","SU18",15159,"Communication for Doctoral Students: Succeeding;as a Teacher - Theories of teaching and learning; strategies for developing course materials; practical advice for managing common challenges; lecturing, leading discussion, creating in-class activities.","BUCO",1,"AY19"
"CBY-583","Craniofacial Clinical Genetics","SU18",22301,"Craniofacial Clinical Genetics - Principles of human genetics; clinically oriented normal and abnormal human embryology; diagnosis and natural history of human craniofacial birth defects; genetic counseling and bioethics.;","CBY",1,"AY19"
"CBY-585","Systematic Research Writing","SU18",22302,"Systematic Research Writing - Enhancement of critical research thinking by fulfilling;anticipated conceptual components of the journal article;;perfection of writing skills by correcting inter- and;intrasentence flaws.","CBY",1,"AY19"
"CBY-590","Directed Research","SU18",22304,"Directed Research - Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","CBY",1,"AY19"
"CBY-671","Epistemology and Ethos of Bioscience","SU18",22308,"Epistemology and Ethos of Bioscience - Classical and contemporary thought on knowledge acquisition, truth, and method as applied to bioscience; characteristic spirit, beliefs, and moral assumptions of bioscientists in modern history.;","CBY",1,"AY19"
"CBY-673","Biomineralization","SU18",22309,"Biomineralization - Fundamental principles and mechanisms of matrix mediated biomineralization in model systems from bacteria to humans.;","CBY",1,"AY19"
"CE-501","Functions of the Constructor","SU18",29601,"Functions of the Constructor - Systems, processes, and constraints governing the initiation, direction, engineering, and delivery of major construction projects. Professional construction management, responsibilities, and practice.","CE",2,"AY19"
"CE-529A","Finite Element Analysis","SU18",29603,"Finite Element Analysis - Basic concepts; stiffness method; variational methods; displacement method; isoparametric formulation; plane stress and strain; plates and shells; dynamics; stability; nonlinear analysis, heat transfer; computer applications.","CE",3,"AY19"
"CE-589","Port Engineering: Planning and Operations","SU18",29609,"Port Engineering: Planning and Operations - Physical and operational characteristics of marine ports; impact;analysis of modern logistics on port operation, planning and;management; optimization and efficiency solutions for container;terminals.","CE",1,"AY19"
"CHEM-105A","General Chemistry","SU18",17205,"General Chemistry - Fundamental principles and laws of chemistry; laboratory work emphasizes quantitative procedures. Prerequisite to all more advanced courses in chemistry. Lecture, 3 hours; laboratory and discussion, 4 hours. Quiz, 1 hour.","CHEM",6,"AY19"
"CHEM-105B","General Chemistry","SU18",17215,"General Chemistry - Fundamental principles and laws of chemistry; laboratory work emphasizes quantitative procedures. Prerequisite to all more advanced courses in chemistry. Lecture, 3 hours; laboratory and discussion, 4 hours. Quiz, 1 hour. Prerequisite: one year of high school chemistry; CHEM-105aLg or 115aLg.;;;;;","CHEM",6,"AY19"
"CHEM-221","Organic Chemistry Problem Solving Workshop","SU18",17225,"Organic Chemistry Problem Solving Workshop - Distance learning course designed to bridge the gap between general and organic chemistry. Focus on problem solving and understanding the language of organic chemistry. Not for major credit for Chemistry, Chemistry (Chemical Nanoscience), Chemistry (Chemical Physics), Chemistry (Research), or Chemistry (Chemical Biology).","CHEM",1,"AY19"
"CHEM-322A","Organic Chemistry","SU18",17240,"Organic Chemistry - Chemistry of the carbon compounds of the aliphatic and aromatic series; laboratory preparation of typical compounds of both series. Lecture, jointly with 325aL and 325bL, 3 hours; laboratory and discussion, 4 hours. For premedical and predental students, and some categories of biology majors and engineers.","CHEM",8,"AY19"
"CHEM-322B","Organic Chemistry","SU18",17250,"Organic Chemistry - Chemistry of the carbon compounds of the aliphatic and aromatic;series; laboratory preparation of typical compounds of both;series. Lecture, 3 hours jointly with CHEM 325abL; laboratory and;discussion, 4 hours. For premedical and predental students, and;some categories of biology majors and engineers.;","CHEM",8,"AY19"
"CMGT-500","Managing Communication","SU18",21701,"Managing Communication - Production and distribution of information within large organizations; information networks, organization structure, control and decision-making functions. Resources necessary for effective organizational communication systems.","CMGT",1,"AY19"
"CMGT-502","Strategic Corporate Communication","SU18",21705,"Strategic Corporate Communication - Roles, responsibilities and requirements of communication functions within corporations; design and implementation of communication plans; strategic message production for internal and external audiences.","CMGT",1,"AY19"
"CMGT-510","Communication, Values, Attitudes and Behavior","SU18",21715,"Communication, Values, Attitudes and Behavior - Theory and research on value and attitude formation and change; consequences for communication and behavior.","CMGT",1,"AY19"
"CMGT-540","Uses of Communication Research","SU18",21735,"Uses of Communication Research - Applications of both data and interpretation in communications management. Topics include: audience ratings, surveys, experimental tests of programs and campaigns, formative evaluation, secondary data sources.","CMGT",1,"AY19"
"CMGT-542","Business Strategies of Communication and Entertainment Firms","SU18",21738,"Business Strategies of Communication and Entertainment Firms - An overview of business strategies in media industries. Emphasis on the Internet and changing business models. Case studies. Students prepare business plans for digital start-ups.","CMGT",1,"AY19"
"CMGT-556","Global Marketing Communication","SU18",21754,"Global Marketing Communication - Communication strategies in a global marketing environment; analysis of global _‚™ local challenges and opportunities; effective global integrated communication to create and sustain competitive advantage","CMGT",1,"AY19"
"CMGT-584","Communication and the Multicultural Marketplace","SU18",21776,"Communication and the Multicultural Marketplace - Popular culture and marketing communication; race, gender, sexual;orientation and consumer culture; consumption patterns and;identity, loyalty and self-actualization; cultural marketing;campaigns and socio-political conflict.","CMGT",1,"AY19"
"CMGT-587","Audience Analysis","SU18",21780,"Audience Analysis - Fundamental principles of audience research; critique of existing methodologies; implications for global audiences and mass media markets.","CMGT",1,"AY19"
"CMGT-591","Communication Internship","SU18",21790,"Communication Internship - Field experience in applying communication principles to settings;in organizations, campaigns, or other contexts; analysis and;assessment of issues and problems. Graded CR/NC.","CMGT",13,"AY19"
"CMGT-597A","Communication Research Practicum","SU18",21812,"Communication Research Practicum - Students design and produce an original project appropriate for their emphasis area within the Master of Communication degree. Open to Master of Communication Management students only. Prerequisites: CMGT 501 and CMGT 540. Duplicates credit in former CMGT 597.","CMGT",2,"AY19"
"CMGT-597B","Communication Research Practicum","SU18",21823,"Communication Research Practicum - Students design and produce an original project appropriate for their emphasis area within the Master of Communication degree. Open to Master of Communication Management students only. (Duplicates credit in former CMGT 597).","CMGT",2,"AY19"
"CNB-501A","Human Gross Anatomy","SU18",40455,"Human Gross Anatomy - A complete dissection of the adult human body. Supplementary lectures and demonstrations. Emphasis on correlating development, structure and function. a. focuses on the following anatomical regions: Abdomen, Pelvis, and Head and Neck. b. focuses on the following anatomical regions: Axial Skeleton, Upper and Lower Limbs, and Thoracic Cavity.","CNB",2,"AY19"
"CNB-501B","Human Gross Anatomy","SU18",40457,"Human Gross Anatomy - A complete dissection of the adult human body. Supplementary lectures and demonstrations. Emphasis on correlating development, structure and function. a. focuses on the following anatomical regions: Abdomen, Pelvis, and Head and Neck. b. focuses on the following anatomical regions: Axial Skeleton, Upper and Lower Limbs, and Thoracic Cavity.","CNB",2,"AY19"
"CNB-550","Cell and Neurobiology Seminar","SU18",40480,"Cell and Neurobiology Seminar - Reports and discussion on recent advances in cell and neurobiology. Graded CR/NC.","CNB",1,"AY19"
"CNTV-325","Film and Digital Cinematography","SU18",17818,"Film and Digital Cinematography - The craft of cinematography for film and digital media; includes;lectures, on-set film and video production exercises, and scene;studies.","CNTV",2,"AY19"
"CNTV-332","The Art of Motion Picture Editing","SU18",17807,"The Art of Motion Picture Editing - Analyzing and deconstructing all the elements of the art of creatively manipulating visual images through editing.","CNTV",1,"AY19"
"CNTV-375","Breaking Into the Entertainment Industry","SU18",17826,"Breaking Into the Entertainment Industry - An overview of the entertainment industry and the tools needed to secure jobs and survive and succeed in the market.","CNTV",1,"AY19"
"CNTV-392","Beginning Digital Filmmaking","SU18",17812,"Beginning Digital Filmmaking - The basic technical and aesthetic concepts underlying motion;picture production and an exploration of visual language.","CNTV",3,"AY19"
"CNTV-405","Studio Producing and Directing","SU18",17822,"Studio Producing and Directing - Understanding the craft and art of directing in the studio system,;and developing a working methodology for creative producing.","CNTV",3,"AY19"
"CNTV-410","Non-Fiction Filmmaking","SU18",17820,"Non-Fiction Filmmaking - Conceiving, researching, writing, producing, directing, and;editing an original non-fiction work and exploring practical;training in techniques of non-fiction film.","CNTV",1,"AY19"
"CNTV-411","Directing Intensive","SU18",17817,"Directing Intensive - An overview of the concerns, functions and responsibilities of the;director. The core of the course is casting, producing and;directing an individual project.","CNTV",2,"AY19"
"CNTV-413","Digital Editing","SU18",17816,"Digital Editing - Introduction to non-linear editing techniques, hardware,;digitizing, logging, and special effects, using the AVID Media;Composer editing system.;","CNTV",1,"AY19"
"CNTV-415","Commercial Production: The Art of the Sixty-Second Story","SU18",17815,"Commercial Production: The Art of the Sixty-Second Story - The three main components of commercials: agency creation, spot;production, and post-production. Writing, pitching, casting,;directing, and editing commercials.","CNTV",1,"AY19"
"CNTV-419","Inside the Business of Film and Television","SU18",17829,"Inside the Business of Film and Television - An overview of the contemporary studio system, independent films, and television, including script analysis, pitching, optioning properties, the marketplace, representation, career management, and networking.","CNTV",1,"AY19"
"CNTV-420","Independent Feature Filmmaking","SU18",17830,"Independent Feature Filmmaking - Independent feature film development, financing, production, and distribution. Discussions with independent filmmakers.","CNTV",1,"AY19"
"CNTV-495","Internship in Cinematic Arts","SU18",17835,"Internship in Cinematic Arts - On-the-job film, television, and interactive industry experience in the areas of interest of the individual student. Requires departmental approval.","CNTV",6,"AY19"
"CNTV-595","Professional Practicum","SU18",17847,"Professional Practicum - Film, media, archival and interactive industry experience in areas of interest to the individual student, and development of a personal brand. Requires departmental approval.","CNTV",1,"AY19"
"COMM-204","Public Speaking","SU18",20374,"Public Speaking - Principles and practices of effective oral communication; analysis;of the speaking-listening process; selection and organization of;speech materials; use of new presentation technologies.;","COMM",1,"AY19"
"COMM-205","Communication Practicum","SU18",20384,"Communication Practicum - Students address communication issues in a field setting. They will evaluate communication practices using appropriate methodology. Projects are jointly evaluated by internship supervisor and professor. Sophomore standing. Graded: CR/NC. Not for major credit for Communication majors.","COMM",4,"AY19"
"COMM-209","Communication and Media Economics","SU18",20402,"Communication and Media Economics - Economic and political economic principles for the analysis of;communication and media industries including broadcasting,;newspapers, motion pictures, music, video games, advertising and;public relations. (Duplicates credit in former COMM 207 and COMM;208)","COMM",2,"AY19"
"COMM-313","Communication and Mass Media","SU18",20498,"Communication and Mass Media - Survey of mass communication research; history, content, effects,;theories, and policy implications of various media. (Duplicates;credit in former COMM 203)","COMM",2,"AY19"
"COMM-322","Argumentation and Advocacy","SU18",20510,"Argumentation and Advocacy - Basic argumentation theory including analysis. Research and;evidence, case construction, refutation; discursive and visual;argument; diverse fields of advocacy including law, politics,;organizations, interpersonal relations.;","COMM",1,"AY19"
"COMM-387","Sports and Social Change","SU18",20592,"Sports and Social Change - Application of critical, sociological and rhetorical theories to sports events and sport media; examination of the role of sports in enacting social change.","COMM",1,"AY19"
"COMM-402","Public Communication Campaigns","SU18",20618,"Public Communication Campaigns - Theory and research in public health communication campaigns;;design, implementation, and evaluation; extensive discussion of;historical case studies and reasons for success or failure.;","COMM",1,"AY19"
"CORE-195","Summer Seminar","SU18",63581,"Summer Seminar - An honors course for high school students in summer; each section;focuses on a topic in the arts or humanities, social or natural;sciences.;;","CORE",22,"AY19"
"CORE-401","Ethics and Leadership","SU18",63576,"Ethics and Leadership - Debates concerning moral and cultural ethics in a globalizing world; paradigms of leadership, ethical conduct, moral courage, and humanitarianism.","CORE",2,"AY19"
"CSCI-103","Introduction to Programming","SU18",29900,"Introduction to Programming - Basic datatypes, assignments, control statements (if, switch, for, while), input/output (printf, scanf, cin, cout), functions, arrays, structures, recursion, dynamic memory, file handling. Programming in C/C++.","CSCI",3,"AY19"
"CSCI-104","Data Structures and Object Oriented Design","SU18",29903,"Data Structures and Object Oriented Design - Introduces the student to standard data structures (linear structures such as linked lists, (balanced) trees, priority queues, and hashtables), using the C++ programming language.Prerequisite: CSCI 103. Corequisite: CSCI 170.","CSCI",3,"AY19"
