"course_title","semester","course","course_num","course_desc","department","N.Sections"
"ACAD-188","SP19","Digital Toolbox: Modeling Products I",10234,"Digital Toolbox: Modeling Products I - Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products.","ACAD",2
"ACAD-189","SP19","Digital Toolbox: Modeling Products II",10235,"Digital Toolbox: Modeling Products II - An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products.","ACAD",2
"ACAD-207","F18","Multimedia for Designers and Entrepreneurs I",10234,"Multimedia for Designers and Entrepreneurs I - Basics of industry-standard hardware and software specific to creating effective and compelling multimedia experiences.","ACAD",1
"ACAD-207","SP19","Multimedia for Designers and Entrepreneurs I",10240,"Multimedia for Designers and Entrepreneurs I - Basics of industry-standard hardware and software specific to creating effective and compelling multimedia experiences.","ACAD",1
"ACAD-240","F18","Materials: Denim to Nanotubes",10235,"Materials: Denim to Nanotubes - Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind.","ACAD",1
"ACAD-245","F18","Product Design I",10232,"Product Design I - A wide investigation of techniques specific to dimensional design as they apply to package, product and spatial design, in analog and digital environments.","ACAD",1
"ACAD-245","SP19","Product Design I",10232,"Product Design I - A wide investigation of techniques specific to dimensional design as they apply to package, product and spatial design, in analog and digital environments.","ACAD",2
"ACAD-275","SP19","Dev I",10209,"Dev I - Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites.","ACAD",1
"ACAD-276","F18","Dev II",10210,"Dev II - Fundamentals of server-side scripting and web templates. Design and creation of data structures and databases. Visualize analytics and data.","ACAD",1
"ACAD-277","SP19","Dev III: Advanced Topics",10229,"Dev III: Advanced Topics - An accelerated approach to object-oriented programming, including foundations of applications for devices, with a focus on user interface design.","ACAD",1
"ACAD-280","SP19","Designing for Experiences",10231,"Designing for Experiences - Designing effective and elegant interfaces and experiences for the ways people interact with data, devices, systems, and environments.","ACAD",1
"ACAD-309","SP19","Dreams and Madness: The Art of Japan's Golden Age of Animation",10233,"Dreams and Madness: The Art of Japan's Golden Age of Animation - An in-depth look at the art, politics, and cultural impact of;several Japanese filmmakers including Isao Takahata, Hayao;Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","ACAD",1
"ACAD-324","SP19","The Practice of Design: Ideation to Innovation",10239,"The Practice of Design: Ideation to Innovation - History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","ACAD",1
"ACAD-345","SP19","Product Design II",10205,"Product Design II - A thorough look into developing a feasible consumer product through implementing all aspects of the R&D; process, including consumer insights, competitive analysis, ideation, and manufacturability.","ACAD",1
"ACAD-360","SP19","Design Consulting: Problem Solving for Organizations",10214,"Design Consulting: Problem Solving for Organizations - A professional, collaborative and multidisciplinary consulting approach to diagnosing problems and applying design-based solutions on behalf of organizations.","ACAD",1
"ACAD-376","F18","Discerning and Making I: Concept and Feasibility",10224,"Discerning and Making I: Concept and Feasibility - A broad look at innovation from the perspectives of designers, engineers, and entrepreneurs as applied to concept/feasibility of art, design, products, services and experiences.","ACAD",1
"ACAD-377","SP19","Discerning and Making II: Creation and Implementation",10243,"Discerning and Making II: Creation and Implementation - Students create and implement-- from conception through prototype-- new ventures, products, services, and processes; building upon the innovations of designers, engineers, and entrepreneurs. Prerequisite: ACAD 376. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1
"ACAD-475A","F18","The Garage Experience",10218,"The Garage Experience - Academy capstone experience, innovative projects leading to operational prototypes and viable enterprises, mentored by faculty and industry experts.","ACAD",1
"ACAD-475B","SP19","The Garage Experience",10219,"The Garage Experience - Academy capstone experience, innovative projects leading to operational prototypes and viable enterprises, mentored by faculty and industry experts.","ACAD",1
"ACAD-590","F18","Directed Research",10247,"Directed Research - Research leading to graduate degree. Maximum units which may be applied to degree determined by department.","ACAD",3
"ACAD-590","SP19","Directed Research",10248,"Directed Research - Research leading to graduate degree. Maximum units which may be applied to degree determined by department.","ACAD",2
"ACCT-370","F18","External Financial Reporting Issues",14025,"External Financial Reporting Issues - Understanding of decision-making, problem solving, and research skills as a supplement to financial accounting knowledge for accounting professionals. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",4
"ACCT-370","SP19","External Financial Reporting Issues",14025,"External Financial Reporting Issues - Understanding of decision-making, problem solving, and research skills as a supplement to financial accounting knowledge for accounting professionals. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",4
"ACCT-371","F18","Introduction to Accounting Systems",14040,"Introduction to Accounting Systems - Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting, auditing and taxation. Prerequisite: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305. Duplicates credit in former ACCT-371ab.","ACCT",4
"ACCT-371","SP19","Introduction to Accounting Systems",14040,"Introduction to Accounting Systems - Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting, auditing and taxation. Prerequisite: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305. Duplicates credit in former ACCT-371ab.","ACCT",4
"ACCT-372","F18","Internal Reporting Issues",14050,"Internal Reporting Issues - Understanding of decision-making, problem solving, and research skills as a supplement to managerial accounting knowledge for accounting professionals. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",3
"ACCT-372","SP19","Internal Reporting Issues",14050,"Internal Reporting Issues - Understanding of decision-making, problem solving, and research skills as a supplement to managerial accounting knowledge for accounting professionals. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",3
"ACCT-373","F18","Introduction to Auditing and Assurance Services",14055,"Introduction to Auditing and Assurance Services - Exploration of the requisite skills and knowledge needed to offer services in assurance, attestation or auditing engagements. Prerequisites: ACCT 370 and ACCT 371.","ACCT",4
"ACCT-373","SP19","Introduction to Auditing and Assurance Services",14055,"Introduction to Auditing and Assurance Services - Exploration of the requisite skills and knowledge needed to offer services in assurance, attestation or auditing engagements. Prerequisites: ACCT 370 and ACCT 371.","ACCT",4
"ACCT-374","F18","Introduction to Tax Issues",14060,"Introduction to Tax Issues - Basic tax principles, introduction to U.S. federal, state and local tax systems, income and expense definitions, property transactions, and fundamentals in individual taxation. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",3
"ACCT-374","SP19","Introduction to Tax Issues",14060,"Introduction to Tax Issues - Basic tax principles, introduction to U.S. federal, state and local tax systems, income and expense definitions, property transactions, and fundamentals in individual taxation. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",3
"ACCT-377","F18","Valuation for Financial Statement Purposes",14065,"Valuation for Financial Statement Purposes - Explores Accounting Standards Codification (ASC) 820 Fair Value Measurements and Disclosures and reviews the historical background of US GAAP fair value guidance. Prerequisite: ACCT 370.","ACCT",3
"ACCT-377","SP19","Valuation for Financial Statement Purposes",14065,"Valuation for Financial Statement Purposes - Explores Accounting Standards Codification (ASC) 820 Fair Value Measurements and Disclosures and reviews the historical background of US GAAP fair value guidance. Prerequisite: ACCT 370.","ACCT",3
"ACCT-380","F18","Introduction to Enterprise Risk Management",14010,"Introduction to Enterprise Risk Management - Understand the concept of risk, risk assessment and management frameworks; learn to identify, analyze, manage and mitigate and communicate this risk to stakeholders.","ACCT",1
"ACCT-380","SP19","Introduction to Enterprise Risk Management",14010,"Introduction to Enterprise Risk Management - Understand the concept of risk, risk assessment and management frameworks; learn to identify, analyze, manage and mitigate and communicate this risk to stakeholders.","ACCT",1
"ACCT-385","F18","Introduction to Risk Management and Insurance",14012,"Introduction to Risk Management and Insurance - Understand the underlying economics, structure, and business models of an organization (often an insurance carrier) willing to accept risk for diverse situations: property, life, healthcare.","ACCT",1
"ACCT-410","F18","Foundations of Accounting",14090,"Foundations of Accounting - Non-technical presentation of accounting for users of accounting;information; introduction to financial and managerial accounting.;Not open to students with course credits in accounting. Not;available for unit or course credit toward a degree in accounting;or business administration.;","ACCT",7
"ACCT-410","SP19","Foundations of Accounting",14001,"Foundations of Accounting - Non-technical presentation of accounting for users of accounting;information; introduction to financial and managerial accounting.;Not open to students with course credits in accounting. Not;available for unit or course credit toward a degree in accounting;or business administration.;","ACCT",6
"ACCT-415","F18","Intermediate Financial Accounting for Non-Accounting Majors",14102,"Intermediate Financial Accounting for Non-Accounting Majors - In-depth study of balance sheet, income statement, and cash flow statement issues from the perspective of a user (not preparer) of corporate financial reports. Prerequisite: ACCT-410 or BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305. Not open to accounting majors. Duplicates credit the former ACCT-411x and ACCT-412x.","ACCT",1
"ACCT-415","SP19","Intermediate Financial Accounting for Non-Accounting Majors",14100,"Intermediate Financial Accounting for Non-Accounting Majors - In-depth study of balance sheet, income statement, and cash flow statement issues from the perspective of a user (not preparer) of corporate financial reports. Prerequisite: ACCT-410 or BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305. Not open to accounting majors. Duplicates credit the former ACCT-411x and ACCT-412x.","ACCT",1
"ACCT-416","F18","Financial Reporting and Analysis",14105,"Financial Reporting and Analysis - Examination of the role of financial statement analysis in the prediction of a firm's future financial performance.","ACCT",2
"ACCT-416","SP19","Financial Reporting and Analysis",14105,"Financial Reporting and Analysis - Examination of the role of financial statement analysis in the prediction of a firm's future financial performance.","ACCT",1
"ACCT-430","F18","Accounting Ethics",14144,"Accounting Ethics - Theoretical knowledge and practical application accountants need to identify ethical issues and reconcile conflicts among competing stakeholders' interests in all major areas of accounting practice.","ACCT",3
"ACCT-430","SP19","Accounting Ethics",14143,"Accounting Ethics - Theoretical knowledge and practical application accountants need to identify ethical issues and reconcile conflicts among competing stakeholders' interests in all major areas of accounting practice.","ACCT",4
"ACCT-462","F18","Detecting Fraudulent Financial Reporting",14183,"Detecting Fraudulent Financial Reporting - Understanding/identifying methods of fraudulent financial reporting, and signals that financial statements were fictitiously prepared; major frameworks for analyzing ethical dilemmas; reforms in corporate reporting environment.","ACCT",1
"ACCT-462","SP19","Detecting Fraudulent Financial Reporting",14186,"Detecting Fraudulent Financial Reporting - Understanding/identifying methods of fraudulent financial reporting, and signals that financial statements were fictitiously prepared; major frameworks for analyzing ethical dilemmas; reforms in corporate reporting environment.","ACCT",1
"ACCT-470","F18","Advanced External Financial Reporting Issues",14120,"Advanced External Financial Reporting Issues - Develop capabilities to identify and resolve advanced external financial reporting challenges, focusing primarily on operating, financing, and investing activities of business enterprises. Duplicates credit in ACCT 470ab.","ACCT",2
"ACCT-470","SP19","Advanced External Financial Reporting Issues",14115,"Advanced External Financial Reporting Issues - Develop capabilities to identify and resolve advanced external financial reporting challenges, focusing primarily on operating, financing, and investing activities of business enterprises. Duplicates credit in ACCT 470ab.","ACCT",3
"ACCT-473","F18","Financial Statement Auditing",14135,"Financial Statement Auditing - Course builds on the background developed in ACCT 373, specifically the process used by external auditors to conduct financial statement audits. Prerequisites: ACCT-373.","ACCT",3
"ACCT-473","SP19","Financial Statement Auditing",14135,"Financial Statement Auditing - Course builds on the background developed in ACCT 373, specifically the process used by external auditors to conduct financial statement audits. Prerequisites: ACCT-373.","ACCT",3
"ACCT-474","F18","Tax Issues for Business",14140,"Tax Issues for Business - Capabilities to identify and articulate tax issues related to a;business entity's life: formation, investing, financing and;operations, and change of form.","ACCT",2
"ACCT-474","SP19","Tax Issues for Business",14140,"Tax Issues for Business - Capabilities to identify and articulate tax issues related to a;business entity's life: formation, investing, financing and;operations, and change of form.","ACCT",2
"ACCT-493","SP19","Leventhal Honors Research Seminar",14150,"Leventhal Honors Research Seminar - Provides the methodological tools to identify research problems, develop researchable hypotheses, apply appropriate methodologies, conduct research, derive meaningful conclusions from data, write a research proposal.","ACCT",1
"ACCT-494","F18","Marshall Honors Research and Thesis",14188,"Marshall Honors Research and Thesis - Experience in conducting research and writing a thesis under supervision of a faculty adviser.","ACCT",1
"ACCT-509","F18","Concepts of Financial and Management Accounting",14190,"Concepts of Financial and Management Accounting - Introduction to the concepts of financial and managerial accounting. The course will provide coverage of key concepts needed by managers of businesses in order to communicate information important in decision-making. (Duplicates credit in GSBA 510 and GSBA 518.) Not open to business or accounting majors.","ACCT",1
"ACCT-525","SU18","Intensive Accounting Principles and Practices",14191,"Intensive Accounting Principles and Practices - Technical accounting theory and principles necessary for graduate;work. Satisfies the prerequisite requirements for intermediate;and advanced accounting, auditing, and tax. Credit toward degree;limited to M.Acc. and M.B.T. students. Recommended Preparation:;Introductory accounting courses.;;;","ACCT",1
"ACCT-526","SP19","Global Accounting Experience",14232,"Global Accounting Experience - Cross-border transactions in the global economy examining accounting, legal, and tax environments, economic and political systems, and cultural differences. Includes international travel to selected region.","ACCT",1
"ACCT-527","SP19","Financial Statement Analysis - Audit Perspective",14272,"Financial Statement Analysis - Audit Perspective - Analysis of corporate financial reports to evaluate the firms past and present performance as well as to predict likely future performance from an auditors perspective. Duplicates credit in ACCT 581.","ACCT",1
"ACCT-528","F18","Fair Value Accounting: GAAP, IFRS and Emerging Issues",14238,"Fair Value Accounting: GAAP, IFRS and Emerging Issues - Case study approach to explore fair value issues in accounting; research and analysis of causes of valuation differences.","ACCT",4
"ACCT-530","SP19","Ethics for Professional Accountants",14206,"Ethics for Professional Accountants - Provides the ethical grounding that accountants need to identify ethical issues and reconcile conflicts among competing stakeholder interests. Open only to Accounting and Business majors.","ACCT",5
"ACCT-532","F18","Financial Accounting for Mergers and Acquisitions",14286,"Financial Accounting for Mergers and Acquisitions - Practical problems in accounting for business combinations. Consolidated financial statements: fair value, acquisition and equity basis accounting. Duplicates credit in former ACCT 582.","ACCT",2
"ACCT-532","SP19","Financial Accounting for Mergers and Acquisitions",14286,"Financial Accounting for Mergers and Acquisitions - Practical problems in accounting for business combinations. Consolidated financial statements: fair value, acquisition and equity basis accounting. Duplicates credit in former ACCT 582.","ACCT",2
"ACCT-533","F18","Mergers and Acquisitions: Tax Planning and Strategy",14210,"Mergers and Acquisitions: Tax Planning and Strategy - Tax planning and strategy in corporate restructuring including mergers, acquisitions, and divestitures. Tax background not required to be successful in this course. Duplicates credit in former ACCT 582.","ACCT",2
"ACCT-533","SP19","Mergers and Acquisitions: Tax Planning and Strategy",14288,"Mergers and Acquisitions: Tax Planning and Strategy - Tax planning and strategy in corporate restructuring including mergers, acquisitions, and divestitures. Tax background not required to be successful in this course. Duplicates credit in former ACCT 582.","ACCT",2
"ACCT-537","SP19","Performance Measurement, Evaluation, and Incentives",14270,"Performance Measurement, Evaluation, and Incentives - Financial responsibility centers, financial and nonfinancial performance measures, budgets and other targets, evaluation techniques and styles, incentives. Strategy implementation and execution. Corporate governance. Online registration limited to graduate accounting and business students.","ACCT",4
"ACCT-541","F18","Auditing in the Enhanced Data Age",14205,"Auditing in the Enhanced Data Age - Framework of the audit model including use of large data sets with automated audit tools. A lab environment is an integral part of the course.","ACCT",2
"ACCT-546","F18","Auditing and Assurance Services",14207,"Auditing and Assurance Services - Concepts and principles governing independent professional services that provide assurance on the reliability and relevance of information, including financial statement information. Topics include demand and supply issues for these services, basic principles of evidence, risk assessment and testing. Recommended preparation: ACCT-525x.","ACCT",2
"ACCT-547","F18","Enterprise Information Systems",14209,"Enterprise Information Systems - Focuses on accounting enterprise database models and information technology required to support those systems. Includes analysis and design of interfunctional process flows through reengineering to exploit technology capabilities.","ACCT",1
"ACCT-548","F18","IT Audit and Data Applications",14212,"IT Audit and Data Applications - Exploration of the role systems play in organizations, the technology that supports these systems and issues relating to technology risk, system/application security and system review/audit.","ACCT",2
"ACCT-549","F18","Advanced Enterprise Systems and Technologies",14201,"Advanced Enterprise Systems and Technologies - Design, control and development of advanced enterprise systems, using reengineering, focusing on accounting and financial systems, using a wide range of emerging existing technologies.","ACCT",2
"ACCT-550T","F18","Tax Research and Professional Responsibilities",14218,"Tax Research and Professional Responsibilities - Tax law research methods; interpreting statutes, cases and rulings; communicating research results; administration and professional responsibilities of tax practice.","ACCT",3
"ACCT-551T","F18","Taxation of Partnerships and S-Corps",14221,"Taxation of Partnerships and S-Corps - Federal taxation of flow-through entities, including:partnerships, S corporations, limited liability partnerships(LLPs), and limited liability companies (LLCs). Recommended preparation: ACCT-550T or ACCT-560T or LAW 600.","ACCT",3
"ACCT-551T","SP19","Taxation of Partnerships and S-Corps",14230,"Taxation of Partnerships and S-Corps - Federal taxation of flow-through entities, including:partnerships, S corporations, limited liability partnerships(LLPs), and limited liability companies (LLCs). Recommended preparation: ACCT-550T or ACCT-560T or LAW 600.","ACCT",2
"ACCT-557","SP19","Advanced Financial Statement Auditing Topics",14269,"Advanced Financial Statement Auditing Topics - Advanced coverage of topics in financial statement auditing;including market effects of auditing, auditor litigation and;client acceptance, errors and fraud, analytical procedures, and;going-concern assessment.;","ACCT",2
"ACCT-558","SP19","Advanced Accounting Valuation",14239,"Advanced Accounting Valuation - Explores complex valuation issues arising in financial reporting and the related professional standards and guidance. Prerequisite: ACCT 528.","ACCT",3
"ACCT-559","F18","Strategy and Operations Through CFO Lens",14217,"Strategy and Operations Through CFO Lens - Examination of strategic objectives and operations within specific industries and companies. Chief Financial Officers present how they view the business as a whole and measure performance effectively.","ACCT",4
"ACCT-559","SP19","Strategy and Operations Through CFO Lens",14225,"Strategy and Operations Through CFO Lens - Examination of strategic objectives and operations within specific industries and companies. Chief Financial Officers present how they view the business as a whole and measure performance effectively.","ACCT",4
"ACCT-560T","F18","Tax Theory and Ethics",14231,"Tax Theory and Ethics - Taxation and its relationship to business and investment decisions; the effects of taxation on business organization, capital structure, policies, operation, and expansion.","ACCT",3
"ACCT-561T","SU18","Income Tax of Corporations and Their Shareholders",14218,"Income Tax of Corporations and Their Shareholders - Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600.","ACCT",2
"ACCT-561T","F18","Income Tax of Corporations and Their Shareholders",14236,"Income Tax of Corporations and Their Shareholders - Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600.","ACCT",2
"ACCT-562","SP19","Methods and Motivations of Financial Reporting Fraud",14243,"Methods and Motivations of Financial Reporting Fraud - Discover and analyze signals of major and frequently committed methods of fraudulent financial reporting; explore current reforms in financial reporting, auditing, and corporate governance. Recommended preparation: ACCT 572 or other intermediate accounting course.","ACCT",1
"ACCT-563T","F18","Federal Estate and Gift Taxes",14225,"Federal Estate and Gift Taxes - Taxation of decedents' estates and lifetime gifts; valuation of property subject to estate and gift taxes.","ACCT",2
"ACCT-568T","F18","International Taxation",14232,"International Taxation - Taxation of cross-border transactions of U.S. citizens and;corporations and of U.S. source income of foreign persons and;corporations; planning for organization of international;operations under the tax laws.","ACCT",3
"ACCT-568T","SP19","International Taxation",14246,"International Taxation - Taxation of cross-border transactions of U.S. citizens and;corporations and of U.S. source income of foreign persons and;corporations; planning for organization of international;operations under the tax laws.","ACCT",1
"ACCT-569T","SP19","Advanced Partnership Taxation",14247,"Advanced Partnership Taxation - Advanced tax concepts involving partnerships and limited liability;companies, designed to produce a level of expertise in Subchapter;K of the Internal Revenue Code.;","ACCT",1
"ACCT-570T","SP19","State and Local Tax Concepts",14255,"State and Local Tax Concepts - State income taxes; property tax; other state and local taxes; the effect of state and local taxes on multistate operations.","ACCT",2
"ACCT-571T","SU18","Taxation of Individuals",14253,"Taxation of Individuals - Application of tax law in areas of compensation planning, investment planning, tax shelters, and current developments relating to the individual taxpayer. Prerequisite: ACCT 550T.","ACCT",2
"ACCT-571T","SP19","Taxation of Individuals",14258,"Taxation of Individuals - Application of tax law in areas of compensation planning, investment planning, tax shelters, and current developments relating to the individual taxpayer. Prerequisite: ACCT 550T.","ACCT",1
"ACCT-572","SP19","Corporate Accounting and Reporting",14256,"Corporate Accounting and Reporting - A study of financial reporting and disclosure issues with an;emphasis on the use of corporate financial statements and their;accompanying footnotes. Not open to students with credit in;equivalent subjects.","ACCT",1
"ACCT-573T","SU18","Federal Tax Procedure",14225,"Federal Tax Procedure - Tax reporting and collection procedures; administrative and;judicial procedures governing tax controversies; the rights and;obligations of the taxpayer.;","ACCT",2
"ACCT-574","SP19","Accounting and Corporate Governance in Global Business",14201,"Accounting and Corporate Governance in Global Business - How corporate governance and financial reporting systems are influenced by business environments internationally. Global perspective of governance and reporting challenges and mechanisms for their remedy. Recommended preparation: GSBA 510 or other Financial Accounting course.","ACCT",4
"ACCT-578T","SU18","Advanced Corporate Taxation",14245,"Advanced Corporate Taxation - Analysis of corporate divisions and reorganizations, carryovers,;and other advanced topics in corporate taxation.","ACCT",2
"ACCT-580T","SP19","Tax Accounting Methods",14273,"Tax Accounting Methods - Concepts governing timing of recognition of income and deductions for income tax purposes. Covers differences between GAAP and income tax accounting for all taxpayers. Prerequisite: ACCT-550T.","ACCT",2
"ACCT-581","F18","Financial Statement Analysis",14268,"Financial Statement Analysis - Analysis of corporate financial reports from a decision-maker's perspective. This course is case-and-applications-oriented. Applications include credit analysis, equity valuation, and financial distress. Duplicates credit in ACCT 527.","ACCT",7
"ACCT-581","SP19","Financial Statement Analysis",14276,"Financial Statement Analysis - Analysis of corporate financial reports from a decision-maker's perspective. This course is case-and-applications-oriented. Applications include credit analysis, equity valuation, and financial distress. Duplicates credit in ACCT 527.","ACCT",2
"ACCT-583","F18","Income Tax Accounting and Auditing",14290,"Income Tax Accounting and Auditing - Examination of FAS 109 and roles of auditors, tax professionals and corporate financial personnel in preparing, analyzing and reviewing accrual of income taxes. Prerequisite: ACCT 561T or ACCT 585. Open only to graduate students.","ACCT",2
"ACCT-583","SP19","Income Tax Accounting and Auditing",14291,"Income Tax Accounting and Auditing - Examination of FAS 109 and roles of auditors, tax professionals and corporate financial personnel in preparing, analyzing and reviewing accrual of income taxes. Prerequisite: ACCT 561T or ACCT 585. Open only to graduate students.","ACCT",1
"ACCT-584","SP19","Family Wealth Preservation",14292,"Family Wealth Preservation - Analysis of transfer of property during lifetime or at death from a tax saving perspective.","ACCT",3
"ACCT-585","SP19","Professional Responsibilities in Accounting",14213,"Professional Responsibilities in Accounting - A case study approach to the integration of accounting and auditing knowledge; research, communication, and interpersonal skills developed through extensive written and presentation requirements.","ACCT",3
"ACCT-587","F18","Forensic Accounting",14296,"Forensic Accounting - Role of the accountant in litigation matters. Identification and exploration of the analytical and communication tools necessary to be an effective forensic accountant. Prerequisite: ACCT 572.","ACCT",2
"ACCT-595","SP19","Internship in Accounting",14204,"Internship in Accounting - Supervised on-the-job business experience in the field of Accounting. (Curricular Practical Training). Application required. Recommended preparation: Completion of required MAcc or MBT coursework. Graded CR/NC.","ACCT",2
"ACCT-605","F18","Survey of Financial Reporting Research",14315,"Survey of Financial Reporting Research - Survey of major topics and methods in research on financial reporting with coverage of both key research questions and frequently used methods. Open only to Business Administration doctoral students.","ACCT",2
"ACCT-608","F18","Positive Accounting Research",14299,"Positive Accounting Research - Survey of major topics related to positive accounting research;with coverage of both key research questions and frequently used;methods.","ACCT",1
"ACCT-611","F18","Selected Topics in Accounting Research",14321,"Selected Topics in Accounting Research - Advanced Seminar to address issues/topics covered in accounting research. Open only to doctoral students.","ACCT",1
"ACCT-611","SP19","Selected Topics in Accounting Research",14321,"Selected Topics in Accounting Research - Advanced Seminar to address issues/topics covered in accounting research. Open only to doctoral students.","ACCT",1
"ACCT-621","F18","Research Forum",14301,"Research Forum - Seminar. Review and discuss current research in Accounting. Presentations by faculty, visiting researchers, and advanced students. Open only to Marshall Ph.D. students. Graded CR/NC.","ACCT",1
"ACMD-501","F18","Introduction to Academic Medicine Worldwide",40253,"Introduction to Academic Medicine Worldwide - Introduces the masters program; includes historical development of training in the health professions; current issues, challenges and opportunities in academic medicine and health worldwide.","ACMD",1
"ACMD-502","F18","Becoming a Leader in Academic Medicine Worldwide",40255,"Becoming a Leader in Academic Medicine Worldwide - Current approaches to leadership within the context of global academic medicine and health professions education; individual applications, group dynamics, teamwork, and interpersonal skill enhancement.","ACMD",1
"ACMD-503","SP19","Leading Change in Academic Medical Centers",40254,"Leading Change in Academic Medical Centers - Exploration and practice of skills for promoting programs within academic medicine and health professions' education; building trust, organizational change, conflict resolution, negotiation, and managing resources.","ACMD",1
"ACMD-511","SP19","Competencies in Academic Medicine and Health I",40264,"Competencies in Academic Medicine and Health I - Acquisition of cognitive knowledge and problem solving skills in health professions worldwide; instructional methods, assessment techniques, designing curricula for health professions education.","ACMD",1
"ACMD-514","SU18","Accreditation and Program Evaluation in Academic Medicine",40254,"Accreditation and Program Evaluation in Academic Medicine - Evaluating health professions training programs within guidelines of relevant accreditation organizations; models of evaluation, designing plans and tools for evaluation of program elements.","ACMD",1
"ACMD-591","F18","Designing Research on Innovations in Academic Medicine",40269,"Designing Research on Innovations in Academic Medicine - Introduction to design and scholarly review of innovations in health professions education; needs assessment, problem selection, use of research methods to study an innovation.","ACMD",1
"ACMD-592","SP19","Implementing Research on Innovation in Academic Medicine",40270,"Implementing Research on Innovation in Academic Medicine - Mentored research on an innovation in academic medicine leading to the master's degree. The project will result in a formal written research report.","ACMD",1
"ACMD-604","SU18","Supporting the Educational Enterprise in Academic Medicine",40269,"Supporting the Educational Enterprise in Academic Medicine - Explores support functions in academic medical centers and health professions schools; financial, scientific, educational, faculty and student affairs departments, and offices of medical education.","ACMD",1
