"course_title","semester","courseID","section","course_desc","department","N.Sections","year","clean_course_desc"
"Dreams and Madness: The Art of Japan's Golden Age of Animation","SP19","ACAD-309",10233,"Dreams and Madness: The Art of Japan's Golden Age of Animation - An in-depth look at the art, politics, and cultural impact of;several Japanese filmmakers including Isao Takahata, Hayao;Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai.","ACAD",1,"AY19","Dreams and Madness The Art of Japan's Golden Age of Animation An in depth look at the art politics and cultural impact of several Japanese filmmakers including Isao Takahata Hayao Miyazaki Satoshi Kon Mamoru Hosoda and Makoto Shinkai"
"The Practice of Design: Ideation to Innovation","SP19","ACAD-324",10239,"The Practice of Design: Ideation to Innovation - History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","ACAD",1,"AY19","The Practice of Design Ideation to Innovation History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation"
"Product Design II","SP19","ACAD-345",10205,"Product Design II - A thorough look into developing a feasible consumer product through implementing all aspects of the R&D; process, including consumer insights, competitive analysis, ideation, and manufacturability.","ACAD",1,"AY19","Product Design II A thorough look into developing a feasible consumer product through implementing all aspects of the R D process including consumer insights competitive analysis ideation and manufacturability"
"Design Consulting: Problem Solving for Organizations","SP19","ACAD-360",10214,"Design Consulting: Problem Solving for Organizations - A professional, collaborative and multidisciplinary consulting approach to diagnosing problems and applying design-based solutions on behalf of organizations.","ACAD",1,"AY19","Design Consulting Problem Solving for Organizations A professional collaborative and multidisciplinary consulting approach to diagnosing problems and applying design based solutions on behalf of organizations"
"Discerning and Making I: Concept and Feasibility","F18","ACAD-376",10224,"Discerning and Making I: Concept and Feasibility - A broad look at innovation from the perspectives of designers, engineers, and entrepreneurs as applied to concept/feasibility of art, design, products, services and experiences.","ACAD",1,"AY19","Discerning and Making I Concept and Feasibility A broad look at innovation from the perspectives of designers engineers and entrepreneurs as applied to concept feasibility of art design products services and experiences"
"Discerning and Making II: Creation and Implementation","SP19","ACAD-377",10243,"Discerning and Making II: Creation and Implementation - Students create and implement-- from conception through prototype-- new ventures, products, services, and processes; building upon the innovations of designers, engineers, and entrepreneurs. Prerequisite: ACAD 376. Open only to Arts, Technology and the Business of Innovation students.","ACAD",1,"AY19","Discerning and Making II Creation and Implementation Students create and implement from conception through prototype new ventures products services and processes building upon the innovations of designers engineers and entrepreneurs Prerequisite ACAD 376 Open only to Arts Technology and the Business of Innovation students"
"The Garage Experience","F18","ACAD-475A",10218,"The Garage Experience - Academy capstone experience, innovative projects leading to operational prototypes and viable enterprises, mentored by faculty and industry experts.","ACAD",1,"AY19","The Garage Experience Academy capstone experience innovative projects leading to operational prototypes and viable enterprises mentored by faculty and industry experts"
"The Garage Experience","SP19","ACAD-475B",10219,"The Garage Experience - Academy capstone experience, innovative projects leading to operational prototypes and viable enterprises, mentored by faculty and industry experts.","ACAD",1,"AY19","The Garage Experience Academy capstone experience innovative projects leading to operational prototypes and viable enterprises mentored by faculty and industry experts"
"Directed Research","F18","ACAD-590",10247,"Directed Research - Research leading to graduate degree. Maximum units which may be applied to degree determined by department.","ACAD",3,"AY19","Directed Research Research leading to graduate degree Maximum units which may be applied to degree determined by department"
"Directed Research","SP19","ACAD-590",10248,"Directed Research - Research leading to graduate degree. Maximum units which may be applied to degree determined by department.","ACAD",2,"AY19","Directed Research Research leading to graduate degree Maximum units which may be applied to degree determined by department"
"External Financial Reporting Issues","F18","ACCT-370",14025,"External Financial Reporting Issues - Understanding of decision-making, problem solving, and research skills as a supplement to financial accounting knowledge for accounting professionals. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",4,"AY19","External Financial Reporting Issues Understanding of decision making problem solving and research skills as a supplement to financial accounting knowledge for accounting professionals Prerequisites BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305"
"External Financial Reporting Issues","SP19","ACCT-370",14025,"External Financial Reporting Issues - Understanding of decision-making, problem solving, and research skills as a supplement to financial accounting knowledge for accounting professionals. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",4,"AY19","External Financial Reporting Issues Understanding of decision making problem solving and research skills as a supplement to financial accounting knowledge for accounting professionals Prerequisites BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305"
"Introduction to Accounting Systems","F18","ACCT-371",14040,"Introduction to Accounting Systems - Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting, auditing and taxation. Prerequisite: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305. Duplicates credit in former ACCT-371ab.","ACCT",4,"AY19","Introduction to Accounting Systems Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting auditing and taxation Prerequisite BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305 Duplicates credit in former ACCT 371ab"
"Introduction to Accounting Systems","SP19","ACCT-371",14040,"Introduction to Accounting Systems - Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting, auditing and taxation. Prerequisite: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305. Duplicates credit in former ACCT-371ab.","ACCT",4,"AY19","Introduction to Accounting Systems Understanding of technology and controls needed to capture data used by professionals in financial and managerial accounting auditing and taxation Prerequisite BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305 Duplicates credit in former ACCT 371ab"
"Internal Reporting Issues","F18","ACCT-372",14050,"Internal Reporting Issues - Understanding of decision-making, problem solving, and research skills as a supplement to managerial accounting knowledge for accounting professionals. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",3,"AY19","Internal Reporting Issues Understanding of decision making problem solving and research skills as a supplement to managerial accounting knowledge for accounting professionals Prerequisites BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305"
"Internal Reporting Issues","SP19","ACCT-372",14050,"Internal Reporting Issues - Understanding of decision-making, problem solving, and research skills as a supplement to managerial accounting knowledge for accounting professionals. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",3,"AY19","Internal Reporting Issues Understanding of decision making problem solving and research skills as a supplement to managerial accounting knowledge for accounting professionals Prerequisites BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305"
"Introduction to Auditing and Assurance Services","F18","ACCT-373",14055,"Introduction to Auditing and Assurance Services - Exploration of the requisite skills and knowledge needed to offer services in assurance, attestation or auditing engagements. Prerequisites: ACCT 370 and ACCT 371.","ACCT",4,"AY19","Introduction to Auditing and Assurance Services Exploration of the requisite skills and knowledge needed to offer services in assurance attestation or auditing engagements Prerequisites ACCT 370 and ACCT 371"
"Introduction to Auditing and Assurance Services","SP19","ACCT-373",14055,"Introduction to Auditing and Assurance Services - Exploration of the requisite skills and knowledge needed to offer services in assurance, attestation or auditing engagements. Prerequisites: ACCT 370 and ACCT 371.","ACCT",4,"AY19","Introduction to Auditing and Assurance Services Exploration of the requisite skills and knowledge needed to offer services in assurance attestation or auditing engagements Prerequisites ACCT 370 and ACCT 371"
"Introduction to Tax Issues","F18","ACCT-374",14060,"Introduction to Tax Issues - Basic tax principles, introduction to U.S. federal, state and local tax systems, income and expense definitions, property transactions, and fundamentals in individual taxation. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",3,"AY19","Introduction to Tax Issues Basic tax principles introduction to U S federal state and local tax systems income and expense definitions property transactions and fundamentals in individual taxation Prerequisites BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305"
"Introduction to Tax Issues","SP19","ACCT-374",14060,"Introduction to Tax Issues - Basic tax principles, introduction to U.S. federal, state and local tax systems, income and expense definitions, property transactions, and fundamentals in individual taxation. Prerequisites: BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305.","ACCT",3,"AY19","Introduction to Tax Issues Basic tax principles introduction to U S federal state and local tax systems income and expense definitions property transactions and fundamentals in individual taxation Prerequisites BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305"
"Valuation for Financial Statement Purposes","F18","ACCT-377",14065,"Valuation for Financial Statement Purposes - Explores Accounting Standards Codification (ASC) 820 Fair Value Measurements and Disclosures and reviews the historical background of US GAAP fair value guidance. Prerequisite: ACCT 370.","ACCT",3,"AY19","Valuation for Financial Statement Purposes Explores Accounting Standards Codification ASC 820 Fair Value Measurements and Disclosures and reviews the historical background of US GAAP fair value guidance Prerequisite ACCT 370"
"Valuation for Financial Statement Purposes","SP19","ACCT-377",14065,"Valuation for Financial Statement Purposes - Explores Accounting Standards Codification (ASC) 820 Fair Value Measurements and Disclosures and reviews the historical background of US GAAP fair value guidance. Prerequisite: ACCT 370.","ACCT",3,"AY19","Valuation for Financial Statement Purposes Explores Accounting Standards Codification ASC 820 Fair Value Measurements and Disclosures and reviews the historical background of US GAAP fair value guidance Prerequisite ACCT 370"
"Introduction to Enterprise Risk Management","F18","ACCT-380",14010,"Introduction to Enterprise Risk Management - Understand the concept of risk, risk assessment and management frameworks; learn to identify, analyze, manage and mitigate and communicate this risk to stakeholders.","ACCT",1,"AY19","Introduction to Enterprise Risk Management Understand the concept of risk risk assessment and management frameworks learn to identify analyze manage and mitigate and communicate this risk to stakeholders"
"Introduction to Enterprise Risk Management","SP19","ACCT-380",14010,"Introduction to Enterprise Risk Management - Understand the concept of risk, risk assessment and management frameworks; learn to identify, analyze, manage and mitigate and communicate this risk to stakeholders.","ACCT",1,"AY19","Introduction to Enterprise Risk Management Understand the concept of risk risk assessment and management frameworks learn to identify analyze manage and mitigate and communicate this risk to stakeholders"
"Introduction to Risk Management and Insurance","F18","ACCT-385",14012,"Introduction to Risk Management and Insurance - Understand the underlying economics, structure, and business models of an organization (often an insurance carrier) willing to accept risk for diverse situations: property, life, healthcare.","ACCT",1,"AY19","Introduction to Risk Management and Insurance Understand the underlying economics structure and business models of an organization often an insurance carrier willing to accept risk for diverse situations property life healthcare"
"Foundations of Accounting","F18","ACCT-410",14090,"Foundations of Accounting - Non-technical presentation of accounting for users of accounting;information; introduction to financial and managerial accounting.;Not open to students with course credits in accounting. Not;available for unit or course credit toward a degree in accounting;or business administration.;","ACCT",7,"AY19","Foundations of Accounting Non technical presentation of accounting for users of accounting information introduction to financial and managerial accounting Not open to students with course credits in accounting Not available for unit or course credit toward a degree in accounting or business administration"
"Foundations of Accounting","SP19","ACCT-410",14001,"Foundations of Accounting - Non-technical presentation of accounting for users of accounting;information; introduction to financial and managerial accounting.;Not open to students with course credits in accounting. Not;available for unit or course credit toward a degree in accounting;or business administration.;","ACCT",6,"AY19","Foundations of Accounting Non technical presentation of accounting for users of accounting information introduction to financial and managerial accounting Not open to students with course credits in accounting Not available for unit or course credit toward a degree in accounting or business administration"
"Intermediate Financial Accounting for Non-Accounting Majors","F18","ACCT-415",14102,"Intermediate Financial Accounting for Non-Accounting Majors - In-depth study of balance sheet, income statement, and cash flow statement issues from the perspective of a user (not preparer) of corporate financial reports. Prerequisite: ACCT-410 or BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305. Not open to accounting majors. Duplicates credit the former ACCT-411x and ACCT-412x.","ACCT",1,"AY19","Intermediate Financial Accounting for Non Accounting Majors In depth study of balance sheet income statement and cash flow statement issues from the perspective of a user not preparer of corporate financial reports Prerequisite ACCT 410 or BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305 Not open to accounting majors Duplicates credit the former ACCT 411x and ACCT 412x"
"Intermediate Financial Accounting for Non-Accounting Majors","SP19","ACCT-415",14100,"Intermediate Financial Accounting for Non-Accounting Majors - In-depth study of balance sheet, income statement, and cash flow statement issues from the perspective of a user (not preparer) of corporate financial reports. Prerequisite: ACCT-410 or BUAD-281 or BUAD-285b or BUAD-286b or BUAD-305. Not open to accounting majors. Duplicates credit the former ACCT-411x and ACCT-412x.","ACCT",1,"AY19","Intermediate Financial Accounting for Non Accounting Majors In depth study of balance sheet income statement and cash flow statement issues from the perspective of a user not preparer of corporate financial reports Prerequisite ACCT 410 or BUAD 281 or BUAD 285b or BUAD 286b or BUAD 305 Not open to accounting majors Duplicates credit the former ACCT 411x and ACCT 412x"
"Financial Reporting and Analysis","F18","ACCT-416",14105,"Financial Reporting and Analysis - Examination of the role of financial statement analysis in the prediction of a firm's future financial performance.","ACCT",2,"AY19","Financial Reporting and Analysis Examination of the role of financial statement analysis in the prediction of a firm's future financial performance"
"Financial Reporting and Analysis","SP19","ACCT-416",14105,"Financial Reporting and Analysis - Examination of the role of financial statement analysis in the prediction of a firm's future financial performance.","ACCT",1,"AY19","Financial Reporting and Analysis Examination of the role of financial statement analysis in the prediction of a firm's future financial performance"
"Accounting Ethics","F18","ACCT-430",14144,"Accounting Ethics - Theoretical knowledge and practical application accountants need to identify ethical issues and reconcile conflicts among competing stakeholders' interests in all major areas of accounting practice.","ACCT",3,"AY19","Accounting Ethics Theoretical knowledge and practical application accountants need to identify ethical issues and reconcile conflicts among competing stakeholders' interests in all major areas of accounting practice"
"Accounting Ethics","SP19","ACCT-430",14143,"Accounting Ethics - Theoretical knowledge and practical application accountants need to identify ethical issues and reconcile conflicts among competing stakeholders' interests in all major areas of accounting practice.","ACCT",4,"AY19","Accounting Ethics Theoretical knowledge and practical application accountants need to identify ethical issues and reconcile conflicts among competing stakeholders' interests in all major areas of accounting practice"
"Detecting Fraudulent Financial Reporting","F18","ACCT-462",14183,"Detecting Fraudulent Financial Reporting - Understanding/identifying methods of fraudulent financial reporting, and signals that financial statements were fictitiously prepared; major frameworks for analyzing ethical dilemmas; reforms in corporate reporting environment.","ACCT",1,"AY19","Detecting Fraudulent Financial Reporting Understanding identifying methods of fraudulent financial reporting and signals that financial statements were fictitiously prepared major frameworks for analyzing ethical dilemmas reforms in corporate reporting domain"
"Detecting Fraudulent Financial Reporting","SP19","ACCT-462",14186,"Detecting Fraudulent Financial Reporting - Understanding/identifying methods of fraudulent financial reporting, and signals that financial statements were fictitiously prepared; major frameworks for analyzing ethical dilemmas; reforms in corporate reporting environment.","ACCT",1,"AY19","Detecting Fraudulent Financial Reporting Understanding identifying methods of fraudulent financial reporting and signals that financial statements were fictitiously prepared major frameworks for analyzing ethical dilemmas reforms in corporate reporting domain"
"Advanced External Financial Reporting Issues","F18","ACCT-470",14120,"Advanced External Financial Reporting Issues - Develop capabilities to identify and resolve advanced external financial reporting challenges, focusing primarily on operating, financing, and investing activities of business enterprises. Duplicates credit in ACCT 470ab.","ACCT",2,"AY19","Advanced External Financial Reporting Issues Develop capabilities to identify and resolve advanced external financial reporting challenges focusing primarily on operating financing and investing activities of business enterprises Duplicates credit in ACCT 470ab"
"Advanced External Financial Reporting Issues","SP19","ACCT-470",14115,"Advanced External Financial Reporting Issues - Develop capabilities to identify and resolve advanced external financial reporting challenges, focusing primarily on operating, financing, and investing activities of business enterprises. Duplicates credit in ACCT 470ab.","ACCT",3,"AY19","Advanced External Financial Reporting Issues Develop capabilities to identify and resolve advanced external financial reporting challenges focusing primarily on operating financing and investing activities of business enterprises Duplicates credit in ACCT 470ab"
"Financial Statement Auditing","F18","ACCT-473",14135,"Financial Statement Auditing - Course builds on the background developed in ACCT 373, specifically the process used by external auditors to conduct financial statement audits. Prerequisites: ACCT-373.","ACCT",3,"AY19","Financial Statement Auditing Course builds on the background developed in ACCT 373 specifically the process used by external auditors to conduct financial statement audits Prerequisites ACCT 373"
"Financial Statement Auditing","SP19","ACCT-473",14135,"Financial Statement Auditing - Course builds on the background developed in ACCT 373, specifically the process used by external auditors to conduct financial statement audits. Prerequisites: ACCT-373.","ACCT",3,"AY19","Financial Statement Auditing Course builds on the background developed in ACCT 373 specifically the process used by external auditors to conduct financial statement audits Prerequisites ACCT 373"
"Tax Issues for Business","F18","ACCT-474",14140,"Tax Issues for Business - Capabilities to identify and articulate tax issues related to a;business entity's life: formation, investing, financing and;operations, and change of form.","ACCT",2,"AY19","Tax Issues for Business Capabilities to identify and articulate tax issues related to a business entity's life formation investing financing and operations and change of form"
"Tax Issues for Business","SP19","ACCT-474",14140,"Tax Issues for Business - Capabilities to identify and articulate tax issues related to a;business entity's life: formation, investing, financing and;operations, and change of form.","ACCT",2,"AY19","Tax Issues for Business Capabilities to identify and articulate tax issues related to a business entity's life formation investing financing and operations and change of form"
"Leventhal Honors Research Seminar","SP19","ACCT-493",14150,"Leventhal Honors Research Seminar - Provides the methodological tools to identify research problems, develop researchable hypotheses, apply appropriate methodologies, conduct research, derive meaningful conclusions from data, write a research proposal.","ACCT",1,"AY19","Leventhal Honors Research Seminar Provides the methodological tools to identify research problems develop researchable hypotheses apply appropriate methodologies conduct research derive meaningful conclusions from data write a research proposal"
"Marshall Honors Research and Thesis","F18","ACCT-494",14188,"Marshall Honors Research and Thesis - Experience in conducting research and writing a thesis under supervision of a faculty adviser.","ACCT",1,"AY19","Marshall Honors Research and Thesis Experience in conducting research and writing a thesis under supervision of a faculty adviser"
"Concepts of Financial and Management Accounting","F18","ACCT-509",14190,"Concepts of Financial and Management Accounting - Introduction to the concepts of financial and managerial accounting. The course will provide coverage of key concepts needed by managers of businesses in order to communicate information important in decision-making. (Duplicates credit in GSBA 510 and GSBA 518.) Not open to business or accounting majors.","ACCT",1,"AY19","Concepts of Financial and Management Accounting Introduction to the concepts of financial and managerial accounting The course will provide coverage of key concepts needed by managers of businesses in order to communicate information important in decision making Duplicates credit in GSBA 510 and GSBA 518 Not open to business or accounting majors"
"Intensive Accounting Principles and Practices","SU18","ACCT-525",14191,"Intensive Accounting Principles and Practices - Technical accounting theory and principles necessary for graduate;work. Satisfies the prerequisite requirements for intermediate;and advanced accounting, auditing, and tax. Credit toward degree;limited to M.Acc. and M.B.T. students. Recommended Preparation:;Introductory accounting courses.;;;","ACCT",1,"AY19","Intensive Accounting Principles and Practices Technical accounting theory and principles necessary for graduate work Satisfies the prerequisite requirements for intermediate and advanced accounting auditing and tax Credit toward degree limited to M Acc and M B T students Recommended Preparation Introductory accounting courses"
"Global Accounting Experience","SP19","ACCT-526",14232,"Global Accounting Experience - Cross-border transactions in the global economy examining accounting, legal, and tax environments, economic and political systems, and cultural differences. Includes international travel to selected region.","ACCT",1,"AY19","Global Accounting Experience Cross border transactions in the global economy examining accounting legal and tax domain economic and political systems and cultural differences Includes international travel to selected region"
"Financial Statement Analysis - Audit Perspective","SP19","ACCT-527",14272,"Financial Statement Analysis - Audit Perspective - Analysis of corporate financial reports to evaluate the firms past and present performance as well as to predict likely future performance from an auditors perspective. Duplicates credit in ACCT 581.","ACCT",1,"AY19","Financial Statement Analysis Audit Perspective Analysis of corporate financial reports to evaluate the firms past and present performance as well as to predict likely future performance from an auditors perspective Duplicates credit in ACCT 581"
"Fair Value Accounting: GAAP, IFRS and Emerging Issues","F18","ACCT-528",14238,"Fair Value Accounting: GAAP, IFRS and Emerging Issues - Case study approach to explore fair value issues in accounting; research and analysis of causes of valuation differences.","ACCT",4,"AY19","Fair Value Accounting GAAP IFRS and Emerging Issues Case study approach to explore fair value issues in accounting research and analysis of causes of valuation differences"
"Ethics for Professional Accountants","SP19","ACCT-530",14206,"Ethics for Professional Accountants - Provides the ethical grounding that accountants need to identify ethical issues and reconcile conflicts among competing stakeholder interests. Open only to Accounting and Business majors.","ACCT",5,"AY19","Ethics for Professional Accountants Provides the ethical grounding that accountants need to identify ethical issues and reconcile conflicts among competing stakeholder interests Open only to Accounting and Business majors"
"Financial Accounting for Mergers and Acquisitions","F18","ACCT-532",14286,"Financial Accounting for Mergers and Acquisitions - Practical problems in accounting for business combinations. Consolidated financial statements: fair value, acquisition and equity basis accounting. Duplicates credit in former ACCT 582.","ACCT",2,"AY19","Financial Accounting for Mergers and Acquisitions Practical problems in accounting for business combinations Consolidated financial statements fair value acquisition and equity basis accounting Duplicates credit in former ACCT 582"
"Financial Accounting for Mergers and Acquisitions","SP19","ACCT-532",14286,"Financial Accounting for Mergers and Acquisitions - Practical problems in accounting for business combinations. Consolidated financial statements: fair value, acquisition and equity basis accounting. Duplicates credit in former ACCT 582.","ACCT",2,"AY19","Financial Accounting for Mergers and Acquisitions Practical problems in accounting for business combinations Consolidated financial statements fair value acquisition and equity basis accounting Duplicates credit in former ACCT 582"
"Mergers and Acquisitions: Tax Planning and Strategy","F18","ACCT-533",14210,"Mergers and Acquisitions: Tax Planning and Strategy - Tax planning and strategy in corporate restructuring including mergers, acquisitions, and divestitures. Tax background not required to be successful in this course. Duplicates credit in former ACCT 582.","ACCT",2,"AY19","Mergers and Acquisitions Tax Planning and Strategy Tax planning and strategy in corporate restructuring including mergers acquisitions and divestitures Tax background not required to be successful in this course Duplicates credit in former ACCT 582"
