"course_title","all_goals","sustainability_classification"
"Ethics for Professional Accountants","8,9,12","Inclusive"
"Financial Accounting for Mergers and Acquisitions","8,9,10","Inclusive"
"Mergers and Acquisitions: Tax Planning and Strategy","1,8,9,10,12","Inclusive"
"Performance Measurement, Evaluation, and Incentives","1,8,9,10","Inclusive"
"Auditing in the Enhanced Data Age","9","Inclusive"
"Auditing and Assurance Services","8,9,10,17","Inclusive"
"Enterprise Information Systems","9,8,12","Inclusive"
"IT Audit and Data Applications","1,9","Inclusive"
"Advanced Enterprise Systems and Technologies","8,9,10,17","Inclusive"
"Tax Research and Professional Responsibilities","1,17","Inclusive"
"Taxation of Partnerships and S-Corps","1,8,9","Inclusive"
"Advanced Financial Statement Auditing Topics","8,9,10,16,17","Inclusive"
"Advanced Accounting Valuation","8,9,10","Inclusive"
"Strategy and Operations Through CFO Lens","8,9,10","Inclusive"
"Tax Theory and Ethics","1,8,9","Inclusive"
"Income Tax of Corporations and Their Shareholders","1,8,9","Inclusive"
"Methods and Motivations of Financial Reporting Fraud","1,8,10,16","Inclusive"
"Federal Estate and Gift Taxes","1,8","Inclusive"
"International Taxation","1,10,12","Inclusive"
"Advanced Partnership Taxation","1,2,8,9","Inclusive"
"State and Local Tax Concepts","1,8,9","Inclusive"
"Taxation of Individuals","1,8,9,12","Inclusive"
"Corporate Accounting and Reporting","8,10,17","Inclusive"
"Federal Tax Procedure","1,16","Inclusive"
"Accounting and Corporate Governance in Global Business","1,8,9,10,13","Focused"
"Advanced Corporate Taxation","9","Inclusive"
"Tax Accounting Methods","1,9,10","Inclusive"
"Financial Statement Analysis","8,9,10","Inclusive"
"Income Tax Accounting and Auditing","1,8,10","Inclusive"
"Family Wealth Preservation","1,8,11,15","Focused"
"Professional Responsibilities in Accounting","9,17","Inclusive"
"Forensic Accounting","9","Inclusive"
"Internship in Accounting","1,8,9","Inclusive"
"Survey of Financial Reporting Research","8,9,10,17","Inclusive"
"Positive Accounting Research","17","Inclusive"
"Selected Topics in Accounting Research","9,17","Inclusive"
"Research Forum","9,17","Inclusive"
"Introduction to Academic Medicine Worldwide","1,8,9,11,17","Inclusive"
"Becoming a Leader in Academic Medicine Worldwide","1,4,8,13","Focused"
"Leading Change in Academic Medical Centers","1,4,13","Focused"
"Competencies in Academic Medicine and Health I","1,4","Inclusive"
"Accreditation and Program Evaluation in Academic Medicine","1,4,9","Inclusive"
"Designing Research on Innovations in Academic Medicine","1,4,8,9,12,17","Inclusive"
"Implementing Research on Innovation in Academic Medicine","8,9,12,17","Inclusive"
"Supporting the Educational Enterprise in Academic Medicine","1,4,8,10","Inclusive"
"Faculty Development for Health Sciences Faculty Educators","1,4,8,9,17","Inclusive"
"Research Methodologies in Dentistry","8,9,17","Inclusive"
"Physical Diagnosis","3,9","Inclusive"
"Seminar: Combined Treatment Planning","9,12,17","Inclusive"
"Oral Biology","4,8,9,17","Inclusive"
"Seminar: Diseases of Childhood","2,3,6,17","Inclusive"
"Behavior of the Child Patient","5,8,9,17","Inclusive"
"Internship: Dental Education","1,4","Inclusive"
"Aerospace Studies I (Air Force Mission and Organization)","9","Inclusive"
"Leadership Laboratory I","4,8","Inclusive"
"Aerospace Studies II (Air Force History)","7,8,9,11,17","Inclusive"
"Leadership Laboratory II","4,8,12,15","Focused"
"Aerospace Studies III (Air Force Management and Leadership)","4,8,9","Inclusive"
"Leadership Laboratory III","4,8","Inclusive"
"Aerospace Studies IV (National Security Forces in Contemporary American Society)","1,9,10,16","Inclusive"
"Leadership Laboratory IV","4,8,9,17","Inclusive"
"Introduction to Visual Culture","11","Inclusive"
"Foundations of Western Art","1,11","Inclusive"
"Art and Society: Renaissance to Modern","1,9,11","Inclusive"
"Arts of Asia: Antiquity to 1300","5,10,11,16","Inclusive"
"Arts of Latin America","11","Inclusive"
"Digging into the Past","1,11","Inclusive"
"Studies in Architecture and Urbanism","","Not Related"
"Medieval Visual Culture","11","Inclusive"
"Art and Culture in Early Modern Europe","1,9,11","Inclusive"
"Art, Modernity and Difference","9","Inclusive"
"Greek Art and Archaeology","9,11","Inclusive"
"Roman Art and Archaeology","11","Inclusive"
"Medieval Art","11","Inclusive"
"Baroque Art","","Not Related"
"Modern Art I: 1700-1850","9,11","Inclusive"
"Modern Art II: 1851-1940","9","Inclusive"
"Modern Art III: 1940 to the Present","1,9,16,17","Inclusive"
"History and Theory of Photography","9,11","Inclusive"
"Later Japanese Art","9,11","Inclusive"
"Studies in Baroque Art","","Not Related"
"Studies in 18th and 19th Century Art","","Not Related"
"Studies in American Art","11","Inclusive"
"19th Century French Art","8,10,11","Inclusive"
"Studies in Contemporary Art","","Not Related"
"Studies in Visual and Material Culture","11","Inclusive"
"Studies in Japanese Art","","Not Related"
"Introduction to Museums: Past, Present, and Future","11","Inclusive"
"Undergraduate Proseminar in Art History","11,17","Inclusive"
"Paintings in the Prado Museum","11","Inclusive"
"Methods and Theory of Art History","11","Inclusive"
"Seminar in Chinese Art","17","Inclusive"
"Low Intermediate Oral Skills","8,10","Inclusive"
"Low Intermediate Writing Skills","8,10,17","Inclusive"
"Intermediate Oral Skills","8,10","Inclusive"
"Intermediate Writing Skills","8,10,17","Inclusive"
"High Intermediate Pronunciation","","Not Related"
"High Intermediate Oral Skills","8,10","Inclusive"
"High Intermediate Writing Skills","8,10,17","Inclusive"
"Intermediate Oral Communication for ITAs","9","Inclusive"
"Advanced Pronunciation","9","Inclusive"
"Advanced Oral Skills","9","Inclusive"
"Advanced Writing Skills","9,17","Inclusive"
"High Intermediate Oral Communication for ITAs","9","Inclusive"
"Advanced Oral Communication for ITAs","4,9","Inclusive"
"Language Tutorial for International Teaching Assistants","4","Inclusive"
"Advanced Academic and Professional Spoken English","9","Inclusive"
"Writing for Publication and Dissertations","9,17","Inclusive"
"Workshop for International Teaching Assistants","4","Inclusive"
"Introduction to Mechanical Engineering and Graphics","4,9","Inclusive"
"Introduction to Aerospace Engineering","6,9,12,13","Focused"
"Statics","7,9,13","Focused"
"Strength of Materials","7,8,9,12,13","Focused"
"Mechanical Behavior of Materials","7,8,9,12","Inclusive"
"Dynamics","9,7,8,10,13","Focused"
"Dynamic Systems","9","Inclusive"
"Mechanical Design","9","Inclusive"
"Computer-Aided Analyses for Aero-Mechanical Design","9","Inclusive"
"Dynamics of Fluids","2,6,7,8,12,13,14,15","Focused"
"Engineering Thermodynamics I","6,7,9,12,13,14","Focused"
"Engineering Thermodynamics II","4,7,9","Inclusive"
"Heat Transfer","6","Inclusive"
"Mechoptronics Laboratory I and II","9","Inclusive"
"Mechoptronics Laboratory","9","Inclusive"
"Stress Analysis","7,8,13","Focused"
"Computational Solutions to Engineering Problems","4,9","Inclusive"
"Functional Approach to Computational Methods","4,7,9","Inclusive"
"Computer-Aided Design of Mechanical Systems","6,8,9","Inclusive"
"Senior Design Project","9,17,2,8,10","Inclusive"
"Engineering Design Theory and Methodology","9,12","Inclusive"
"Turbine Design and Analysis","7,8,9,17","Inclusive"
"Engineering Vibrations I","9,16","Inclusive"
"Thermal Systems Design","6,7,8,9,11,12,13,14","Focused"
"Energy and Propulsion","6,7,8,9,12,13,14,15","Focused"
"Senior Projects Laboratory","9","Inclusive"
"Control Systems Laboratory","9","Inclusive"
"Linear Control Systems I","8,9,10","Inclusive"
"Engineering Fluid Dynamics","9","Inclusive"
"Flight Mechanics","7","Inclusive"
"Aerodynamic Theory","","Not Related"
"Aircraft Design","9","Inclusive"
"Aerospace Structures I","4,9","Inclusive"
"Mechanics of Composite Materials for Modern Structures","8,9,12","Inclusive"
"Undergraduate Design Projects II","9,17","Inclusive"
"Modern Topics in Aerospace Design","9,17","Inclusive"
"Advanced Mechanical Design","9","Inclusive"
"Engineering Information Modeling","8,9,12","Inclusive"
"Compressible Gas Dynamics","6,7,9,11,13","Focused"
"Principles of Combustion","6,9,12,13","Focused"
"Applications of Combustion and Reacting Flows","6,8,9,12,13,14,15","Focused"
"Advanced Problems in Heat Conduction","9","Inclusive"
"Engineering Vibrations II","9,16","Inclusive"
"Nonlinear Dynamical Systems, Vibrations, and Chaos","8,9,13","Focused"
"Advanced Engineering Dynamics","9","Inclusive"
"Engineering Analysis","6,9,14","Focused"
"Engineering Analytical Methods","9","Inclusive"
"Elements of Vehicle and Energy Systems Design","6,7,8,9,13,17","Focused"
"Aircraft Structures Analysis","7,9,13","Focused"
"Dynamics of Incompressible Fluids","9,11","Inclusive"
"Flight Vehicle Stability and Control","9","Inclusive"
"Multiphase Flows","8,9","Inclusive"
"Introduction to Computational Fluid Mechanics","9","Inclusive"
"Linear Control Systems II","8,9","Inclusive"
"Computer Control of Mechanical Systems","9","Inclusive"
"Design for Manufacturing and Assembly","8,9","Inclusive"
"Foundations for Manufacturing Automation","8,9","Inclusive"
"Nonlinear Control Systems","9","Inclusive"
"Survey of Energy and Power for a Sustainable Future","2,6,7,8,9,10,12,13,14,15","Focused"
"Modern Alternative Energy Conversion Devices","2,6,7,8,9,12,13,14,15","Focused"
"Singular Perturbation Methods","1,9","Inclusive"
"Emergency Medicine","3,11","Inclusive"
"Pain and Anxiety Control","8,10","Inclusive"
"Physical Evaluation and Anesthesia","","Not Related"
"Race and Class in Los Angeles","1,5,8,9,10,11,16","Inclusive"
"Peoples and Cultures of the Americas","1,8,9,10,11","Inclusive"
"Borderlands in a Global Context","8,11,13","Focused"
"The American War in Viet Nam","8,10","Inclusive"
"Introduction to American Studies and Ethnicity","5,9,10","Inclusive"
"Introduction to Native Studies","4,11","Inclusive"
"Introduction to American Popular Culture","11","Inclusive"
"The Politics and Culture of the 1960s","10,11,13,16","Focused"
"The Making of Asian America","1,4,5,10,11","Inclusive"
"The African Diaspora","1,8,10,11,16","Inclusive"
"Black Social Movements in the U.S.","1,5,8,10,16","Inclusive"
"Exploring Ethnicity Through Film","5,10","Inclusive"
"African American Popular Culture","9,11","Inclusive"
"America, the Frontier, and the New West","1,11,16,17","Inclusive"
"Post-Civil Rights Black America","1,5,7,8,9,10,11,16","Inclusive"
"Latina/o LA","1,8,9,10,11","Inclusive"
"Food, Health and Culture in Los Angeles","1,2,10,11","Inclusive"
"Law and American Indian Studies","11","Inclusive"
"Junior Seminar in American Studies and Ethnicity: Theories and Methods","1,5,9,10,17","Inclusive"
"Latino Social Movements","1,10,16","Inclusive"
"History of the Mexican American","1,5,10,11","Inclusive"
"Undergraduate Research Methods","4,8,17","Inclusive"
"Graphic America: Reading American Culture;Through Graphic Novels","1,5,10,11,16","Inclusive"
"Chicano and Latino Literature","8,9,10,17","Inclusive"
"Asian American Literature","8,9,17","Inclusive"
"Race, Gender and Sexuality","1,4,5,8,10,16","Inclusive"
"Readings in Chicano/Latino Studies","8,9,10,17","Inclusive"
"Archives and Subcultures","1,5,10,11,16,17","Inclusive"
"Readings on Los Angeles and Urban Culture","1,4,11,17","Inclusive"
"Topics in Cultural Theory","7,11","Inclusive"
"Practicum in Teaching the Liberal Arts: American Studies","4,5,8,9,10,17","Inclusive"
"Interdisciplinary Research Seminar in Race and Ethnicity","5,9,10,17","Inclusive"
"Head and Neck Anatomy","","Not Related"
"Advanced Head & Neck Anatomy","9,17","Inclusive"
"Advanced Pharmacology of Anesthesia Practice I","3,9","Inclusive"
"Principles of Nurse Anesthesia Practice","8,9,10,17","Inclusive"
"Advanced Pharmacology of Anesthesia Practice II","3,9","Inclusive"
"Advanced Physiology/Pathophysiology for Anesthetists","3,9,17","Inclusive"
"Advanced Principles of Nurse Anesthesia Practice","8,9,10,12","Inclusive"
"Research: Investigative Inquiry","17","Inclusive"
"Advanced Clinical Residency in Nurse Anesthesia III","9","Inclusive"
"Gateway Tools","1,4,9","Inclusive"
"Professional Integration to the Clinical Environment","","Not Related"
"Analytical Methods for Evidence-Based Practice","9,17","Inclusive"
"Anatomy and Advanced Health Assessment","1,3,9","Inclusive"
"Healthcare Policy for Advocacy in Health Care","1,5,8,9,10,16,17","Inclusive"
"Clinical Prevention and Population Health","1,8,9,10","Inclusive"
"Leadership and Collaborative Practice","4,8,9,16","Inclusive"
"Clinical Residency in Nurse Anesthesia I","","Not Related"
"Clinical Residency in Nurse Anesthesia II","","Not Related"
"Advanced Clinical Residency in Nurse Anesthesia I","3,9","Inclusive"
"Clinical Synthesis I","4,12","Inclusive"
"Doctoral Capstone Proposal","17","Inclusive"
"Doctoral Capstone Project","17","Inclusive"
"Body, Mind and Healing: Introduction to Medical;Anthropology","3,9,11","Inclusive"
"Mesoamerican Cosmovision and Culture","9,11,15","Focused"
"Principles of Human Organization","1,2,5,8,9,10,11,16","Inclusive"
"Archaeology: Our Human Past","11","Inclusive"
"Introduction to Global Studies and Overseas Research","1,8,9,10,11,12,13,17","Focused"
"Race and Sexual Politics in Southeast Asia","1,5,10,11,16","Inclusive"
"Exploring Culture Through Film","1,9,11","Inclusive"
"The Global Performance of Healing","8,11,13,17","Focused"
"Childhood, Birth and Reproduction","11","Inclusive"
"The Nature of Maya Civilization","11,15,17","Focused"
"North American Indians","11","Inclusive"
"North American Indians in American Public Life","","Not Related"
"Global Studies Research Methods","8,13,17","Focused"
"Forms of Folklore","11,17","Inclusive"
"Cultures of Food: The Anthropology of What We Eat and Why","2,11,17","Inclusive"
"Symbolic Anthropology","1,11","Inclusive"
"Sex, Love, and Marriage: An Introduction to Kinship","1,5,16","Inclusive"
"Cross-Cultural Research on Urban Gangs","1,4,5,11,17","Inclusive"
"Interpretation of Myth and Narrative","1,9","Inclusive"
"Magic, Witchcraft and Healing","5,16","Inclusive"
"Indigenous Languages in the Contemporary World","4,11","Inclusive"
"Ethnographic Field Methods and Practicum","8,9,17","Inclusive"
"Global Studies Senior Seminar","8,9,13,17","Focused"
"History of Anthropological Theory","9,11,17","Inclusive"
"Visual Techniques in Anthropology: Stills","17","Inclusive"
"Global Studies Senior Thesis Seminar","8,13,17","Focused"
"Contemporary Theory in Anthropology","1","Inclusive"
"The Practice of Ethnography","","Not Related"
"Seminar in Ethnographic Film","9,11,15,17","Focused"
"Anthropological Media Seminar","9,17","Inclusive"
"Advanced Anthropological Media Seminar","9,17","Inclusive"
"The Anthropology of Popular Culture","11","Inclusive"
"Arabic I","8,9,10,11,17","Inclusive"
"Arabic II","8,10","Inclusive"
"Arabic III","8,9,10,17","Inclusive"
"Arabic IV","8,9,10,17","Inclusive"
"Architectural Design I","8,9,11,17","Inclusive"
"Fundamentals of Design Communication","9","Inclusive"
"Workshop in Architecture","8,10","Inclusive"
"Architecture: Culture and Community","1,4,11,15","Focused"
"Architectural Design II","1,8,9,11,17","Inclusive"
"Visualizing and Experiencing the Built Environment","17","Inclusive"
"Building Science I","4,9","Inclusive"
"Computer Applications in Architecture","9","Inclusive"
"Materials and Methods of Building Construction","9,12","Inclusive"
"Building Structures and Seismic Design","9,11,12,7","Inclusive"
"World History of Architecture","1,5,9,10,11,16","Inclusive"
"Design for the Thermal and Atmospheric Environment","7,8,9,12,13,15","Focused"
"The Architect's Sketchbook","17","Inclusive"
"Architectural Design III","1,8,9,11","Inclusive"
"Principles of Spatial Design I","1,8,9,11,17","Inclusive"
"Intensive Survey: Prehistory to the Present","1,8,10,11,13","Focused"
"Building Science II","4,9","Inclusive"
"Digital Tools for Architecture","2,7,8,9,12,13,15","Focused"
"Design of Building Structures","9","Inclusive"
"History of Architecture: Contemporary Issues","11","Inclusive"
"Design for the Luminous and Sonic Environment","9","Inclusive"
"Place and Culture","11,17","Inclusive"
"Architectural Studies- Expanding the Field","8,9,11","Inclusive"
"Architectural Design IV","9,11","Inclusive"
"Principles of Spatial Design II","1,2,4,8,9,11,12,14,15","Focused"
"Topics in Modern Architecture in Southern California","9,11","Inclusive"
"Building Science III","4,9","Inclusive"
"Global Studies: Topics in;Architecture, Urbanism, History and Art","8,11,13,17","Focused"
"Advanced Computer Applications","8,9","Inclusive"
"Design Foundation","9,11","Inclusive"
"Computer Transformations","9,11","Inclusive"
"Architectural Technology","8,9,11","Inclusive"
"Perspectives in History and Theory in Architecture","8,10,11","Inclusive"
"Designing with Natural Forces","","Not Related"
"Visual Communication and Graphic Expression","9,12,17","Inclusive"
"Digital Architectural Photography","8,9,11","Inclusive"
"Architectural Photography- Film and Digital","11","Inclusive"
"Light, Color and the Character of Material","9","Inclusive"
"Field Studies in Architecture","","Not Related"
"Field Studies in Urbanism","","Not Related"
"Field Studies in Tectonics","","Not Related"
"People, Places and Culture: Architecture of the Public Realm","9,11","Inclusive"
"Landscape Architecture Media Workshop","2,11,15","Focused"
"Women's Spaces in History: 'Hussies,' 'Harems,' and 'Housewi","1,4,5,10,11","Inclusive"
"Great Houses of Los Angeles","11","Inclusive"
"Ecological Factors in Design","1,2,4,8,9,11,12,13,14,15","Focused"
"Contemporary Asian Architecture","","Not Related"
"Architectural Studies Capstone","11,17,9","Inclusive"
"Furniture Design","9","Inclusive"
"Comprehensive Architectural Design","9,11","Inclusive"
"Critical Topics in Architecture","8,9,17","Inclusive"
"Architectural Design V","9,11,17","Inclusive"
"Graduate Architecture Design I","9,11","Inclusive"
"Theories of Computer Technology","9,11","Inclusive"
"Building Systems: Materials and Construction","8,9,11,12,17","Inclusive"
"Material + Process: Material Systems","4,9","Inclusive"
"Seminar: Advanced Structures","8,9,17","Inclusive"
"Global History of Architecture","1,5,8,9,10,11,13,16","Focused"
"Seminar: Advanced Environmental Systems","6,7,8,9,12,13,14,15,17","Focused"
"Current Topics in Building Science","4,7,8,9,12,13,15","Focused"
"Advanced Surface Tectonics; Methods in Material;and Enclosure","9,17","Inclusive"
"Sustainability in the Environment:;Infrastructures, Urban Landscapes, and Buildings","1,2,7,8,9,11,12,13,15","Focused"
"Housing and Community Design for an Aging Population","1,4,8,9,10,11","Inclusive"
"Structural Design and Analysis","7,9,11,12","Inclusive"
"Professional Practicum","8,9,17","Inclusive"
"Professional Practice: Pre-Design, Project and;Office Administration","8,9,17","Inclusive"
"Professional Practice: Legal and Economic;Context, Project Documentation","1,8,9,17","Inclusive"
"Case Studies: The Development of Urban Housing","1,8,9,11,17","Inclusive"
"Landscape Architecture Practice","2,15","Focused"
"The Natural Landscape","2,15","Focused"
"Landscape Construction: Topographic Design","2,6,9,11,12,15","Focused"
"Landscape Construction: Performance Approaches","2,8,9,11,12,13,14,15","Focused"
"Urban Plant Ecology: Environmental Perspectives","1,2,6,7,8,9,11,12,13,14,15","Focused"
"Urban Plant Ecology: Cultural Perspectives","1,2,8,9,11,12,13,14,15","Focused"
"Media for Landscape Architecture","1,2,8,9,11,12,15,17","Focused"
"Topics in Media for Landscape Architecture","2,8,10,15,17","Focused"
"Landscape Architecture Design","1,2,8,9,11,12,13,14,15,17,6","Focused"
"Urban Landscape: Contemporary History and Prospect","1,2,9,11,15,17","Focused"
"Topics in Landscape Architecture: Issues and Practices","1,2,8,11,13,15","Focused"
"Media for Landscape Architecture: 3D Design","2,9,15","Focused"
"Fundamentals of Heritage Conservation","2,6,8,9,11,12,13,14,15","Focused"
"Heritage Conservation Policy and Planning","1,2,5,6,7,8,9,10,11,12,13,14,15,16,17","Focused"
"Conservation Methods and Materials","2,6,8,9,12,13,14,15,17","Focused"
"Introduction to Historic Site Documentation","9,11,15","Focused"
"History of American Architecture and Urbanism","11","Inclusive"
"Heritage Conservation Practicum Advanced Documentation","2,6,8,9,10,11,12,13,14,15,17","Focused"
"Global Perspectives in Heritage Conservation","2,6,8,10,11,12,13,14,15","Focused"
"Readings in Heritage Conservation Theory","2,6,8,11,12,13,14,15","Focused"
"Sustainable Conservation of the Historic Built Environment","2,6,7,8,9,11,12,13,14,15","Focused"
"Fundamentals of Place-Making","1,2,6,8,9,11,12,13,14,15","Focused"
"A History of Architectural Theory: 1400-1914","11,17","Inclusive"
"Urbanism Themes and Case Studies","1,5,7,8,9,10,11,12,13,15","Focused"
"Architecture Themes and Case Studies","2,8,9,11,17","Inclusive"
"Contemporary Architectural Theory","9,11","Inclusive"
"Descriptive and Computational Architectural Geometry","9,11","Inclusive"
"Global History of Landscape Architecture","1,2,5,6,7,8,9,10,11,12,13,14,15,16","Focused"
"Cross Cultural Topics in Landscape Architecture History","2,8,9,10,11,15","Focused"
"Seismic Design","1,7,8,9,11,12,13,15","Focused"
"Parametric Design","9","Inclusive"
"Systems","7,8,9,12,13,15","Focused"
"Lighting Design","9,11","Inclusive"
"Sustainable Building and Environment using LEED Metrics","2,6,7,8,9,12,13,14,15","Focused"
"Field Studies","","Not Related"
"Techniques in Digital Fabrication","9,12","Inclusive"
"City Cine: Visuality, Media and Urban Experience","1,11","Inclusive"
"Interactive Architecture: Computing and the;Physical World","6,7,8,9,12,13,14,15","Focused"
"Graduate Architecture Design II","2,7,8,9,11,12,13,15","Focused"
"Graduate Architecture Design- Comprehensive","9,17","Inclusive"
"Advanced Architectural Theory","2,9,11,15","Focused"
"Advanced Computation","9","Inclusive"
"Urban Theory: Los Angeles Case Study","1,8,11,12,15,17","Focused"
"Advanced Fabrication","9","Inclusive"
"Advanced Building Systems Integration","1,2,7,8,9,11,12,13,15,17","Focused"
"Seminar: Structures Research","9,17","Inclusive"
"Seminar: Environmental Systems Research","6,7,8,9,11,12,13,14,15,17","Focused"
"Landscape Construction: Assembly and Documentation","2,9,12,15","Focused"
"Heritage Conservation Thesis Preparation and Thesis","2,6,8,9,11,12,13,14,15,17,10","Focused"
"Building Science Thesis","4,8,10,17","Inclusive"
"Research Publication Methods for Building Science","4,9,17","Inclusive"
"MLArch Thesis","17","Inclusive"
"Advanced Graduate Architecture Design- Themes","7,9,17","Inclusive"
"Advanced Graduate Architecture Design- Topics","7,9,17","Inclusive"
"Architecture Directed Design Research Option I","8,9,10,17","Inclusive"
"Art and Design Studio I","9","Inclusive"
"Art and Design Studio II","9","Inclusive"
"Drawing for Art and Design","9","Inclusive"
"Painting I","7,9","Inclusive"
"Ceramics","9,15","Focused"
"Sculpture I","","Not Related"
"Creating and Understanding Visuals","9,11","Inclusive"
"Modeling and Mold Making","9,12","Inclusive"
"Introduction to Photography","9","Inclusive"
"Digital Photography","9","Inclusive"
"Drawing II","9","Inclusive"
"Painting II","4,11","Inclusive"
"Wheel Throwing","","Not Related"
"Metal","9","Inclusive"
"Photography II","9,11","Inclusive"
"Video and Time-based Media","9","Inclusive"
"Studio Critique I","9,12,17","Inclusive"
"Anatomical Drawing from Life","9,17","Inclusive"
"Comics Project","9,17","Inclusive"
"Advanced Painting","4,8,9,17","Inclusive"
"Advanced Ceramics","4,8,9,17","Inclusive"
"Clay and Glazes","9,12","Inclusive"
"Advanced Sculpture","8,9,17","Inclusive"
"Advanced Photography","9,11","Inclusive"
"Ideas in Intermedia","9,11","Inclusive"
"Printmaking","","Not Related"
"Independent Studies in Studio Arts","17","Inclusive"
"Professional Internship in the Arts","4,11,17","Inclusive"
"Topics in Advanced Painting","9","Inclusive"
"Topics in Advanced Ceramics","4,8,9,17","Inclusive"
"Topics in Advanced Sculpture","9,17","Inclusive"
"Topics in Advanced Photography","9","Inclusive"
"Topics in Advanced Printmaking","9","Inclusive"
"Contemporary Issues in Art","9","Inclusive"
"Studio Capstone","8,9,17","Inclusive"
"Visiting Artist and Scholar Seminar","8,10,17","Inclusive"
"Individual Studies","8,9,10","Inclusive"
"Global Art Seminar: the Globalization of Art and Culture","1,5,8,10,11,13,17","Focused"
"Group Critique","","Not Related"
"The Changing World of Communication and Journalism","9","Inclusive"
"Navigating Media and News in the Digital Age","2,9,15","Focused"
"Contours of Change in Media and Communication","1,9,10,11,13,16","Focused"
"Annenberg Collaboratory","9,17","Inclusive"
"Introduction to Astronautics","8,9","Inclusive"
"Foundations of Astronautical Engineering","8,9,12,15","Focused"
"Thermal and Statistical Systems","9","Inclusive"
"Introduction to Spacecraft Systems and the Space Environment","6,7,8,9,12,15","Focused"
"Space Mission Design","1,8,9,10,17","Inclusive"
"Spacecraft Propulsion","6,7,9,13","Focused"
"Spacecraft Dynamics","","Not Related"
"Team Projects II","9,17","Inclusive"
"Spacecraft System Design","7,9","Inclusive"
"Design of Low Cost Space Missions","4,9","Inclusive"
"Human Spaceflight","9","Inclusive"
"Space Exploration Architectures Concept Synthesis Studio","4,9,12","Inclusive"
"Safety of Space Systems and Space Missions","4,9","Inclusive"
"Space Environments and Spacecraft Interactions","6,9,14,15","Focused"
"Computational Plasma Dynamics","9","Inclusive"
"Systems for Remote Sensing from Space","2,9","Inclusive"
"Spacecraft Structural Dynamics","4,9,16","Inclusive"
"Ground Communications for Satellite Operations","9","Inclusive"
"Liquid Rocket Propulsion","6,7,9,13","Focused"
"Advanced Spacecraft Propulsion","4,6,7,9,12,13","Focused"
"Space Launch Vehicle Design","9","Inclusive"
"Entry and Landing Systems for Planetary Surface Exploration","9","Inclusive"
"Orbital Mechanics I","","Not Related"
"Orbital Mechanics II","","Not Related"
"Spacecraft Attitude Control","5,9","Inclusive"
"The Universe","8,9,10","Inclusive"
"Special Laboratory","8,9,10","Inclusive"
"Life in the Universe","7,13","Focused"
"Galaxies and Large-Scale Structures in the Universe","9","Inclusive"
"Stellar Astrophysics","9","Inclusive"
"Management of Small Businesses","8,9,10","Inclusive"
"Fundamentals of Entrepreneurship","4,8,9,10,12,17","Inclusive"
