SECTION    ,SCHOOL    ,COURSE_CODE.    ,SESSION    ,MIN_UNITS    ,MAX_UNITS    ,COURSE_TITLE................................................................................................................................................................................................................................................................................................    ,MODE    ,Link    ,PUBLISH?    ,START_TIME    ,END_TIME    ,DAYS..    ,TOTAL_ENR    ,MODALITY    ,INSTRUCTOR_NAME.........................    ,ASSIGNED_ROOM    ,TOTAL_ENR    ,COURSE_DESCRIPTION..........................................................................................................................................................................................................................................................................................    ,DEPT.OWNER.NAME....................................................................................
34116,ACAD      ,IDSN-546        ,68,2,2,Integrative Studio                                                                                                                                                                                                                                                                                              ,C       ,        ,Y           ,17:15,19:20,H         ,13,A           ,"Clewis, Jay                                 ",ONLINE           ,13,A project-based course that uses human-centered design research and methodologies to identify and explore a specific problem space or context.                                                                                                                                                                  ,Jimmy Iovine and Andre Young Academy
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Armanini, Scott",,,,
34167,ACAD      ,IDSN-577        ,68,3,3,Finance for Entrepreneurs                                                                                                                                                                                                                                                                                       ,C       ,        ,Y           ,17:30,20:35,T         ,18,A           ,"Alexander, Joshua                           ",ONLINE           ,18,The life cycle of a new venture from idea to construction of an                                                                                                                                                                                                                                                 ,Jimmy Iovine and Andre Young Academy
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,enterprise to a decision about financial viability. Recommended,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,preparation: IDSN 525 Business Essentials.,
34185,ACAD      ,IDSN-590        ,68,1,3,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Delgatty, Grant                             ",OFFICE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34188,ACAD      ,IDSN-590        ,68,1,3,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,2,            ,"Krohn, Lisa                                 ",OFFICE           ,2,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34184,ACAD      ,IDSN-590        ,68,1,3,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,3,            ,"Crowley, Michael, Gregory                   ",OFFICE           ,3,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34191,ACAD      ,IDSN-590        ,68,1,3,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Thomas, Doug                                ",OFFICE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34190,ACAD      ,IDSN-590        ,68,1,3,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Siegel, Aaron                               ",OFFICE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34189,ACAD      ,IDSN-590        ,68,1,3,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Manos, Matthew                              ",OFFICE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34197,ACAD      ,IDSN-599        ,68,3,3,Special Topics                                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,10:00,13:25,S         ,25,A           ,"Swain, Chris                                ",ONLINE           ,25,"Selected topics in design, business and technology.                                                                                                                                                                                                                                                             ",Jimmy Iovine and Andre Young Academy
34725,ACAD      ,PRIN-550        ,59,2,2,Industry Lab                                                                                                                                                                                                                                                                                                    ,C       ,        ,N           ,TBA           ,TBA         ,          ,0,            ,"Dent, Patrick, H                            ",OFFICE           ,0,"Practicum through which student teams serve as design strategists for industry collaborators, and learn advanced methods and processes to solve problems in collaborative, field-specific environments.                                                                                                         ",Jimmy Iovine and Andre Young Academy
34728,ACAD      ,PRIN-550        ,50,2,2,Industry Lab                                                                                                                                                                                                                                                                                                    ,CL      ,        ,Y           ,TBA           ,TBA         ,          ,1,            ,"Delgatty, Grant                             ",OFFICE           ,1,"Practicum through which student teams serve as design strategists for industry collaborators, and learn advanced methods and processes to solve problems in collaborative, field-specific environments.                                                                                                         ",Jimmy Iovine and Andre Young Academy
14272,ACCT      ,ACCT-561T       ,419,3,3,Income Tax of Corporations and Their Shareholders                                                                                                                                                                                                                                                               ,C       ,        ,N           ,19:30,21:00,M         ,0,A           ,"Kling, Greg                                 ",ONLINE           ,0," Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600.                                                             ",Elaine and Kenneth Leventhal School of Accounting
14271,ACCT      ,ACCT-561T       ,378,3,3,Income Tax of Corporations and Their Shareholders                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,17:30,19:00,M         ,26,A           ,"Kling, Greg                                 ",ONLINE           ,26," Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600.                                                             ",Elaine and Kenneth Leventhal School of Accounting
14281,ACCT      ,ACCT-568T       ,378,3,3,International Taxation                                                                                                                                                                                                                                                                                          ,C       ,        ,Y           ,17:30,19:00,M         ,10,A           ,"Bader, Paul                                 ",ONLINE           ,10,Taxation of cross-border transactions of U.S. citizens and                                                                                                                                                                                                                                                      ,Elaine and Kenneth Leventhal School of Accounting
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,corporations and of U.S. source income of foreign persons and,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,corporations; planning for organization of international,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,operations under the tax laws.,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Maxey, Shirley, Orechwa",,,,
14282,ACCT      ,ACCT-568T       ,419,3,3,International Taxation                                                                                                                                                                                                                                                                                          ,C       ,        ,N           ,19:30,21:00,TH        ,0,A           ,"Bader, Paul                                 ",ONLINE           ,0,Taxation of cross-border transactions of U.S. citizens and                                                                                                                                                                                                                                                      ,Elaine and Kenneth Leventhal School of Accounting
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,corporations and of U.S. source income of foreign persons and,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,corporations; planning for organization of international,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,operations under the tax laws.,
21701,ANSC      ,CMGT-500        ,169,4,4,Managing Communication                                                                                                                                                                                                                                                                                          ,C       ,        ,Y           ,TBA           ,TBA         ,          ,44,A           ,"Neff, Jessica, Janine                       ",ONLINE           ,44," Production and distribution of information within large organizations; information networks, organization structure, control and decision-making functions. Resources necessary for effective organizational communication systems.                                                                            ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Demetriades, Stefanie, Zoe",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Matthews, Julia, Maggie",,,,
21715,ANSC      ,CMGT-508        ,169,4,4,Communicating Strategy and Change                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,25,A           ,"Martinez, Cynthia, A.                       ",ONLINE           ,25,"Examination of role of communication in developing and implementing business strategy; critical assessment and practice with models, tools, and techniques for communicating change.                                                                                                                            ",Annenberg School for Communication and Journalism
21719,ANSC      ,CMGT-510        ,169,4,4,"Communication, Values, Attitudes and Behavior                                                                                                                                                                                                                                                                   ",C       ,        ,Y           ,TBA           ,TBA         ,          ,76,A           ,"Muthuswamy, Nithya                          ",ONLINE           ,76,Theory and research on value and attitude formation and change; consequences for communication and behavior.                                                                                                                                                                                                    ,Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Rhoads, Kelton, L",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Felt, Laurel, J.",,,,
21753,ANSC      ,CMGT-540        ,169,4,4,Uses of Communication Research                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,TBA           ,TBA         ,          ,38,A           ,"Curtis, Mathew, Henry                       ",ONLINE           ,38,"Applications of both data and interpretation in communications management. Topics include: audience ratings, surveys, experimental tests of programs and campaigns, formative evaluation, secondary data sources.                                                                                               ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Kirschner, Julianna, Jeanine",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Muthuswamy, Nithya",,,,
21772,ANSC      ,CMGT-555        ,169,4,4,Online Marketing Communication Development and Analysis                                                                                                                                                                                                                                                         ,C       ,        ,Y           ,TBA           ,TBA         ,          ,53,A           ,"Framroze, Mayanna                           ",ONLINE           ,53,"Analysis and development of online communication and marketing campaigns; exploration of current Internet best practices in social media, SEM, privacy, location-based marketing, and online measurement.                                                                                                       ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Pade, Courtney",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Neff, Jessica, Janine",,,,
21786,ANSC      ,CMGT-568        ,59,4,4,Influencer Strategies                                                                                                                                                                                                                                                                                           ,C       ,        ,Y           ,18:00,22:10,W         ,27,A           ,"Nager, Freddy, Tran                         ",ONLINE           ,27,"Students master skills and strategies to distinguish the truly influential from the merely popular, manage international influencer campaigns and develop successful influencers.                                                                                                                               ",Annenberg School for Communication and Journalism
21802,ANSC      ,CMGT-584        ,59,4,4,Communication and the Multicultural Marketplace                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,18:00,22:10,M         ,24,A           ,"Turndorf, Ariela, Nerubay                   ",ONLINE           ,24,"Popular culture and marketing communication; race, gender, sexual                                                                                                                                                                                                                                               ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,orientation and consumer culture; consumption patterns and,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,"identity, loyalty and self-actualization; cultural marketing",
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,campaigns and socio-political conflict.,
21808,ANSC      ,CMGT-589        ,169,4,4,"Storytelling, Culture and Experiential Communication                                                                                                                                                                                                                                                            ",C       ,        ,Y           ,TBA           ,TBA         ,          ,76,A           ,"Framroze, Mayanna                           ",ONLINE           ,76,"How to communicate through storytelling in contemporary culture. Strategic story development for brands, for self-branding, and for social impact. Story creation utilizes narrative theories and workshop-style participatory activities.                                                                      ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Akira, Styles, Infinite",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Kirschner, Julianna, Jeanine",,,,
21809,ANSC      ,CMGT-590        ,51,1,12,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,1,            ,"Riley, Patricia                             ",OFFICE           ,1, Research leading to the master's degree. Maximum units which may                                                                                                                                                                                                                                               ,Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,be applied to the degree to be determined by the school. Graded,
