SECTION,SCHOOL,COURSE_CODE,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE,MODE,Link,PUBLISH?,START_TIME,END_TIME,DAYS,TOTAL_ENR,MODALITY,INSTRUCTOR_NAME,ASSIGNED_ROOM,TOTAL_ENR,COURSE_DESCRIPTION
20256,ANSC,DMM-555,758,2,2,Digital Media Management Capstone,C,,Y,TBA,TBA,,19,A,"Itaya, Joseph, James",ONLINE,19,Students create an innovative idea or initiative that solves a problem or achieves a goal within a digital media organization or business unit.
21890,ANSC,DSM-596,59,4,4,Final Project Capstone,C,,Y,18:00,22:10,T,2,,"A, Shub",ANN210,2,"Students produce a working site, app or embedded social platform project with digital/multimedia elements. Development includes pitching, conceptualization and launching of the final project."
21891,ANSC,DSM-596,59,4,4,Final Project Capstone,C,,Y,18:00,22:10,T,5,,"Richards, Todd, Sherman",ANN406,5,"Students produce a working site, app or embedded social platform project with digital/multimedia elements. Development includes pitching, conceptualization and launching of the final project."
21004,ANSC,JOUR-205,50,1,2,Journalism Practicum,C,,Y,TBA,TBA,,0,,,OFFICE,0,"Field experience in journalism, public relations, or related field."
21009,ANSC,JOUR-205,59,1,2,Journalism Practicum,C,,Y,TBA,TBA,,0,,,OFFICE,0,"Field experience in journalism, public relations, or related field."
21005,ANSC,JOUR-205,51,1,2,Journalism Practicum,C,,Y,TBA,TBA,,0,,,OFFICE,0,"Field experience in journalism, public relations, or related field."
21060,ANSC,JOUR-462,57,4,4,Law of Mass Communication,C,,Y,18:00,20:30,TH,7,,,ONLINE,7,Press law; government controls on the news media; legal responsibilities of the journalist.
21038,ANSC,JOUR-482,53,4,4,Comparative Media in Europe,C,,N,TBA,TBA,,0,,,OFFICE,0,"Examines print, broadcast and public relations media and their interactive roles in multi-national and supra-national settings at sites in both Western and Eastern Europe."
21049,ANSC,JOUR-490,50,1,8,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Individual research and readings. Not available for graduate credit.
21048,ANSC,JOUR-490,51,1,8,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Individual research and readings. Not available for graduate credit.
21189,ANSC,JOUR-501,773,1,1,On-Air Training,C,,Y,13:00,15:00,H,0,,"Pecot-Hebert, Lisa",ANN210,0,Principles of on-camera presentation with an emphasis on performing journalism for television and online media.
21194,ANSC,JOUR-503,773,1,1,Visual Literacy and Introduction to Documentary Storytelling,C,,Y,13:00,15:00,M,0,,"Birman, Daniel, H",ANN210,0,An introduction to visual literacy and documentary storytelling. Explore the choices behind visual storytelling that can be applied to long form video journalism.
21199,ANSC,JOUR-504,773,1,1,Introduction to Emerging Technology,C,,Y,13:00,15:00,T,0,,"Hernandez, Robert",ANN211,0,"Introduction to software to produce augmented reality and virtual reality experiences using wearable devices (watches and glasses), sensors and drones."
21041,ANSC,JOUR-505,166,1,1,The Practice: Journalism's Evolution as a Profession,C,,Y,8:30,21:00,FS,0,,"Cowan, Geoffrey",ANN L105A,0,"Analyzes the history, ethics and evolution of journalism; Students will be introduced to key innovations and innovators in journalism history as well as multimedia platforms."
21045,ANSC,JOUR-506,773,1,1,Introduction to International Reporting,C,,Y,13:00,15:00,W,0,,"Hirsch, Afua, Caroline",ANN210,0,"Examines how globalization has changed the ways in which the world is reported, and the challenges and opportunities for journalists involved in international newsgathering."
21197,ANSC,JOUR-508,773,1,1,Introduction to Video Reporting,C,,Y,13:00,15:00,M,0,,"Gonzales, Vince",ANN211,0,"Write, shoot and edit video under deadline; produce high quality work in the Media Center."
21192,ANSC,JOUR-511,773,1,1,Introduction to Narrative Non-Fiction,C,,N,13:00,15:00,T,0,,,ANN308,0,"Summer intensive focusing on long-form, narrative non-fiction; read and critique exemplary long-form pieces; write short exercises that prepare for longer ones."
21190,ANSC,JOUR-511,773,1,1,Introduction to Narrative Non-Fiction,C,,Y,13:00,15:00,T,0,,,ANN210,0,"Summer intensive focusing on long-form, narrative non-fiction; read and critique exemplary long-form pieces; write short exercises that prepare for longer ones."
21191,ANSC,JOUR-511,773,1,1,Introduction to Narrative Non-Fiction,C,,Y,13:00,15:00,T,0,,,ANN307,0,"Summer intensive focusing on long-form, narrative non-fiction; read and critique exemplary long-form pieces; write short exercises that prepare for longer ones."
21196,ANSC,JOUR-515,773,1,1,Introduction to Audio Storytelling,C,,Y,13:00,15:00,W,0,,,ANN305,0,"Introduction to audio reporting and production skills: recording, interviewing, writing and editing for audio, and vocal delivery. Skills applicable for broadcast, podcasting or Web."
21054,ANSC,JOUR-528,773,3,3,Summer Digital Journalism Immersion,C,,N,9:00,12:00,MTWHF,0,,,ANN406,0,"A journalism immersion experience that orients and familiarizes students with the best practices and standards of cutting-edge multimedia, multi-platform fact gathering, reporting and storytelling."
21050,ANSC,JOUR-528,773,3,3,Summer Digital Journalism Immersion,C,,Y,9:00,12:00,MTWHF,0,,,ANN210,0,"A journalism immersion experience that orients and familiarizes students with the best practices and standards of cutting-edge multimedia, multi-platform fact gathering, reporting and storytelling."
21055,ANSC,JOUR-528,773,3,3,Summer Digital Journalism Immersion,C,,N,9:00,12:00,MTWHF,0,,,ANN307,0,"A journalism immersion experience that orients and familiarizes students with the best practices and standards of cutting-edge multimedia, multi-platform fact gathering, reporting and storytelling."
21051,ANSC,JOUR-528,773,3,3,Summer Digital Journalism Immersion,C,,Y,9:00,12:00,MTWHF,0,,,ANN211,0,"A journalism immersion experience that orients and familiarizes students with the best practices and standards of cutting-edge multimedia, multi-platform fact gathering, reporting and storytelling."
21053,ANSC,JOUR-528,773,3,3,Summer Digital Journalism Immersion,C,,Y,9:00,12:00,MTWHF,0,,,ANN405,0,"A journalism immersion experience that orients and familiarizes students with the best practices and standards of cutting-edge multimedia, multi-platform fact gathering, reporting and storytelling."
21052,ANSC,JOUR-528,773,3,3,Summer Digital Journalism Immersion,C,,Y,9:00,12:00,MTWHF,0,,,ANN305,0,"A journalism immersion experience that orients and familiarizes students with the best practices and standards of cutting-edge multimedia, multi-platform fact gathering, reporting and storytelling."
21023,ANSC,JOUR-546,773,2,2,"News, Numbers and Introduction to Data Journalism",C,,N,17:00,20:40,M,0,,,ANN307,0,An overview of the basic quantitative analysis tools and techniques essential to give perspective to a journalistic story or to put it in context.
21020,ANSC,JOUR-546,773,2,2,"News, Numbers and Introduction to Data Journalism",C,,Y,17:00,20:40,T,1,,,ANN307,1,An overview of the basic quantitative analysis tools and techniques essential to give perspective to a journalistic story or to put it in context.
21022,ANSC,JOUR-546,773,2,2,"News, Numbers and Introduction to Data Journalism",C,,Y,18:00,21:40,H,0,,,ANN307,0,An overview of the basic quantitative analysis tools and techniques essential to give perspective to a journalistic story or to put it in context.
21036,ANSC,JOUR-560,773,2,2,Seminar in Mass Communication Law,C,,Y,13:00,16:40,W,0,,"Kotler, Jonathan",ANN L115,0,"Analysis of major elements of mass communication law, legal issues in contemporary mass communication, and the impact of legal trends on professional journalists."
21037,ANSC,JOUR-560,773,2,2,Seminar in Mass Communication Law,C,,N,13:00,16:40,H,0,,,ANN L115,0,"Analysis of major elements of mass communication law, legal issues in contemporary mass communication, and the impact of legal trends on professional journalists."
21033,ANSC,JOUR-560,773,2,2,Seminar in Mass Communication Law,C,,N,17:00,20:40,H,0,,,ANN L115,0,"Analysis of major elements of mass communication law, legal issues in contemporary mass communication, and the impact of legal trends on professional journalists."
21035,ANSC,JOUR-560,773,2,2,Seminar in Mass Communication Law,C,,Y,13:00,16:40,T,0,,"Kotler, Jonathan",ANN L115,0,"Analysis of major elements of mass communication law, legal issues in contemporary mass communication, and the impact of legal trends on professional journalists."
21034,ANSC,JOUR-560,773,2,2,Seminar in Mass Communication Law,C,,Y,13:00,16:40,M,0,,,ANN305,0,"Analysis of major elements of mass communication law, legal issues in contemporary mass communication, and the impact of legal trends on professional journalists."
21134,ANSC,JOUR-579,59,1,2,Journalism Internship,C,,Y,TBA,TBA,,1,,"Pecot-Hebert, Lisa",OFFICE,1,"Field experience in journalism, public relations, or related field."
21133,ANSC,JOUR-579,51,1,2,Journalism Internship,C,,Y,TBA,TBA,,0,,"Pecot-Hebert, Lisa",OFFICE,0,"Field experience in journalism, public relations, or related field."
21444,ANSC,JOUR-590,773,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the Master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
21139,ANSC,JOUR-590,57,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the Master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
21140,ANSC,JOUR-590,50,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the Master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
21142,ANSC,JOUR-590,51,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the Master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
21141,ANSC,JOUR-590,50,1,11,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the Master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
21143,ANSC,JOUR-590,59,1,12,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Research leading to the Master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.
,,,,,,,,,,,,,,,,,,
21174,ANSC,JOUR-594A,59,2,2,Master's Thesis,C,,Y,TBA,TBA,,0,,"Tolan, Sandy",OFFICE,0,Credit on acceptance of thesis.
,,,,,,,,,,,,,,,,,,
21173,ANSC,JOUR-594A,59,2,2,Master's Thesis,C,,Y,TBA,TBA,,0,,"Garza, Oscar, G",OFFICE,0,Credit on acceptance of thesis.
,,,,,,,,,,,,,,,,,,
21178,ANSC,JOUR-594B,59,2,2,Master's Thesis,C,,Y,TBA,TBA,,0,,"Tolan, Sandy",OFFICE,0,Credit on acceptance of thesis.
,,,,,,,,,,,,,,,,,,
