SECTION    ,SCHOOL    ,COURSE_CODE.    ,SESSION    ,MIN_UNITS    ,MAX_UNITS    ,COURSE_TITLE................................................................................................................................................................................................................................................................................................    ,MODE    ,Link    ,PUBLISH?    ,START_TIME    ,END_TIME    ,DAYS..    ,TOTAL_ENR    ,MODALITY    ,INSTRUCTOR_NAME.........................    ,ASSIGNED_ROOM    ,TOTAL_ENR    ,COURSE_DESCRIPTION..........................................................................................................................................................................................................................................................................................    ,DEPT.OWNER.NAME....................................................................................
34181,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,3,            ,"Wolter, Davina                              ",ONLINE           ,3,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34185,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Delgatty, Grant                             ",ONLINE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34187,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Jones, Wayne                                ",ONLINE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34183,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Child, Stephen, C.                          ",ONLINE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34182,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Alexander, Joshua                           ",ONLINE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34186,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,1,            ,"Hanson, Matthew                             ",ONLINE           ,1,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34188,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Overing, Michael                            ",ONLINE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34184,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,7,            ,"Clewis, Jay                                 ",ONLINE           ,7,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34193,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,7,            ,"Crowley, Michael, Gregory                   ",ONLINE           ,7,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34191,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,2,            ,"Tan, Sue-Tze                                ",ONLINE           ,2,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34190,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,4,            ,"Swain, Chris                                ",ONLINE           ,4,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34192,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Thomas, Doug                                ",ONLINE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34189,ACAD      ,IDSN-590        ,68,1.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Siegel, Aaron                               ",ONLINE           ,0,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC.                                                                                                                                                                   ",Jimmy Iovine and Andre Young Academy
34194,ACAD      ,IDSN-599        ,68,2.0,2.0,Special Topics                                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,10:00         ,12:05       ,S         ,19,            ,"Swain, Chris                                ",ONLINE           ,19,"Selected topics in design, business and technology.                                                                                                                                                                                                                                                             ",Jimmy Iovine and Andre Young Academy
34198,ACAD      ,IDSN-599        ,68,2.0,2.0,Special Topics                                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,19:30         ,21:35       ,H         ,19,            ,"Jones, Wayne                                ",ONLINE           ,19,"Selected topics in design, business and technology.                                                                                                                                                                                                                                                             ",Jimmy Iovine and Andre Young Academy
34196,ACAD      ,IDSN-599        ,68,2.0,2.0,Special Topics                                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,18:00         ,20:05       ,M         ,16,            ,"Overing, Michael                            ",ONLINE           ,16,"Selected topics in design, business and technology.                                                                                                                                                                                                                                                             ",Jimmy Iovine and Andre Young Academy
14271,ACCT      ,ACCT-561T       ,378,3.0,3.0,Income Tax of Corporations and Their Shareholders                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,17:30         ,18:50       ,W         ,13,            ,"Kling, Gregory                              ",ONLINE           ,13," Concepts and principles governing the taxation of corporations and their shareholders; the effect of taxes on corporate formation, capital structure, distributions, and liquidations. Recommended preparation: ACCT-550T or ACCT-560T or LAW-600.                                                             ",Elaine and Kenneth Leventhal School of Accounting
14281,ACCT      ,ACCT-568T       ,378,3.0,3.0,International Taxation                                                                                                                                                                                                                                                                                          ,C       ,        ,Y           ,17:30         ,18:50       ,H         ,7,            ,"Bader, Paul                                 ",ONLINE           ,7,Taxation of cross-border transactions of U.S. citizens and                                                                                                                                                                                                                                                      ,Elaine and Kenneth Leventhal School of Accounting
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,corporations and of U.S. source income of foreign persons and,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,corporations; planning for organization of international,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,operations under the tax laws.,
14317,ACCT      ,ACCT-590        ,934,3.0,3.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,0,            ,"Owens, John, D.                             ",TBA              ,0,Research leading to the master's degree. Maximum units which may                                                                                                                                                                                                                                                ,Elaine and Kenneth Leventhal School of Accounting
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,be applied to the degree to be determined by the School of,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,Accounting. Graded CR/NC.,
,,,,,,,,,,,,,,,,,,,
14319,ACCT      ,ACCT-590        ,934,1.0,4.0,Directed Research                                                                                                                                                                                                                                                                                               ,C       ,        ,N           ,TBA           ,TBA         ,          ,1,            ,"Owens, John, D.                             ",OFFICE           ,1,Research leading to the master's degree. Maximum units which may                                                                                                                                                                                                                                                ,Elaine and Kenneth Leventhal School of Accounting
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,be applied to the degree to be determined by the School of,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,Accounting. Graded CR/NC.,
,,,,,,,,,,,,,,,,,,,
21701,ANSC      ,CMGT-500        ,169,4.0,4.0,Managing Communication                                                                                                                                                                                                                                                                                          ,C       ,        ,Y           ,TBA           ,TBA         ,          ,28,A           ,"Martinez, Cynthia, A.                       ",ONLINE           ,28," Production and distribution of information within large organizations; information networks, organization structure, control and decision-making functions. Resources necessary for effective organizational communication systems.                                                                            ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Neff, Jessica, Janine",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Kirschner, Julianna, Jeanine",,,,
21707,ANSC      ,CMGT-502        ,169,4.0,4.0,Strategic Corporate Communication                                                                                                                                                                                                                                                                               ,C       ,        ,Y           ,TBA           ,TBA         ,          ,49,A           ,"Weintraub, Rebecca                          ",ONLINE           ,49,"Roles, responsibilities and requirements of communication functions within corporations; design and implementation of communication plans; strategic message production for internal and external audiences.                                                                                                    ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Felt, Laurel, J.",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Noyes, Allison, Leigh",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Gregorian, Tamar, Grace",,,,
21753,ANSC      ,CMGT-540        ,169,4.0,4.0,Uses of Communication Research                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,TBA           ,TBA         ,          ,32,A           ,"Curtis, Mathew, Henry                       ",ONLINE           ,32,"Applications of both data and interpretation in communications management. Topics include: audience ratings, surveys, experimental tests of programs and campaigns, formative evaluation, secondary data sources.                                                                                               ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Elsayed, Yomna, Mostafa Mahmoud",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Muthuswamy, Nithya",,,,
21754,ANSC      ,CMGT-541        ,59,4.0,4.0,Integrated Communication Strategies                                                                                                                                                                                                                                                                             ,C       ,        ,Y           ,18:00         ,22:10       ,T         ,21,            ,"Hirsch, Jeffrey                             ",ONLINE           ,21,Communication strategies for product marketing and advertising; communication's role in developing domestic and international marketplaces; practical applications of persuasion theory.                                                                                                                        ,Annenberg School for Communication and Journalism
21772,ANSC      ,CMGT-555        ,169,4.0,4.0,Online Marketing Communication Development and Analysis                                                                                                                                                                                                                                                         ,C       ,        ,Y           ,TBA           ,TBA         ,          ,68,A           ,"Framroze, Mayanna                           ",ONLINE           ,68,"Analysis and development of online communication and marketing campaigns; exploration of current Internet best practices in social media, SEM, privacy, location-based marketing, and online measurement.                                                                                                       ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Pade, Courtney",,,,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Schrock, Andrew, Richard",,,,
21775,ANSC      ,CMGT-556        ,951,4.0,4.0,Global Marketing Communication                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,TBA           ,TBA         ,          ,19,            ,"Muthuswamy, Nithya                          ",ONLINE           ,19,Communication strategies in a global marketing environment; analysis of global – local challenges and opportunities; effective global integrated communication to create and sustain competitive advantage                                                                                                    An,nenberg School for Communication and Journalism
21774,ANSC      ,CMGT-556        ,169,4.0,4.0,Global Marketing Communication                                                                                                                                                                                                                                                                                  ,C       ,        ,Y           ,TBA           ,TBA         ,          ,34,A           ,"Sigismondi, Paolo                           ",ONLINE           ,34,Communication strategies in a global marketing environment; analysis of global – local challenges and opportunities; effective global integrated communication to create and sustain competitive advantage                                                                                                    An,nenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,"Akira, Styles, Infinite",,,,
21786,ANSC      ,CMGT-568        ,59,4.0,4.0,Influencer Strategies                                                                                                                                                                                                                                                                                           ,C       ,        ,Y           ,18:00         ,22:10       ,W         ,23,            ,"Nager, Freddy, Tran                         ",ONLINE           ,23,"Students master skills and strategies to distinguish the truly influential from the merely popular, manage international influencer campaigns and develop successful influencers.                                                                                                                               ",Annenberg School for Communication and Journalism
21802,ANSC      ,CMGT-584        ,59,4.0,4.0,Communication and the Multicultural Marketplace                                                                                                                                                                                                                                                                 ,C       ,        ,Y           ,18:00         ,22:10       ,M         ,21,            ,"Turndorf, Ariela, Nerubay                   ",ONLINE           ,21,"Popular culture and marketing communication; race, gender, sexual                                                                                                                                                                                                                                               ",Annenberg School for Communication and Journalism
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,orientation and consumer culture; consumption patterns and,
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,"identity, loyalty and self-actualization; cultural marketing",
           ,          ,                ,           ,             ,             ,                                                                                                                                                                                                                                                                                                                ,        ,        ,            ,              ,            ,          ,             ,            ,                                            ,                 ,             ,campaigns and socio-political conflict.,
